minute,value
0.0,0
1.0,3
2.0,-112
3.0,-55
4.0,-34
5.0,-98
6.0,-56
7.0,-23
8.0,-13
9.0,-6
10.0,5
11.0,46
12.0,27
13.0,64
14.0,40
15.0,-89
16.0,-46
17.0,42
18.0,8
19.0,42
20.0,-38
21.0,-57
22.0,-9
23.0,13
24.0,-3
25.0,1
26.0,2
27.0,-1
28.0,-2
29.0,3
30.0,10
31.0,14
32.0,11
33.0,10
34.0,13
35.0,10
36.0,3
37.0,-28
38.0,-19
39.0,-50
40.0,-27
41.0,-54
42.0,-49
43.0,-32
44.0,-15
45.0,-7
45.5,105
46.0,-3
47.0,-100
48.0,-48
49.0,63
50.0,23
51.0,11
52.0,17
53.0,22
54.0,46
55.0,35
56.0,54
57.0,10
58.0,-53
59.0,-79
60.0,-45
61.0,33
62.0,4
63.0,5
64.0,14
65.0,12
66.0,-33
67.0,-20
68.0,-9
69.0,-8
70.0,-3
71.0,4
72.0,6
73.0,6
74.0,7
75.0,12
76.0,90
77.0,56
78.0,31
79.0,21
80.0,55
81.0,29
82.0,20
83.0,15
84.0,100
85.0,87
86.0,80
87.0,50
88.0,37
89.0,20
90.0,4
90.5,10
