match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,challengeLost,dispossessed,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,aerialLost,totalClearance,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,onTargetScoringAttempt,goals,blockedScoringAttempt,hitWoodwork,totalOffside,keyPass,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,bigChanceCreated
14015598,home,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,False,7.0,6.0,,,0.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,,75.0,18.0,6.5,8.0,20.846823370694,4.0,6.9459986544004,0.0,"{'original': 6.5, 'alternative': 7.2}",1,-0.12,0.05,0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,9,2,0,2,85.71428571428571,,,,,,,8.0,,1.0,,1.0,,,,5.0,0.32,6.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,
14015598,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,9.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,6.0,,1.0,,,31.0,12.0,6.4,3.0,38.533663704036,4.0,10.950576704601,1.0,"{'original': 6.4, 'alternative': 6.4}",0,0.0,0.14,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,88.88888888888889,100.0,,,,,,3.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,12.484168689014,16.956804681307,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,F,97,True,9.0,7.0,1.0,,0.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,,31.0,14.0,6.3,4.0,26.000812160642,5.0,12.226171476535,0.0,"{'original': 6.3, 'alternative': 6.4}",0,-0.1,0.05,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,0,1,77.77777777777779,,,,,1.0,,5.0,,,,,,,,,,4.0,2.0,,1.0,,,,,,,,,2.0,,,,,,
14015598,home,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,9.0,7.0,,,0.0,5.0,6.0,2.0,3.0,,,1.0,,15.0,10.0,6.4,2.0,29.676797560509,5.0,-19.187831014535,0.0,"{'original': 6.4, 'alternative': 6.5}",0,0.02,-0.35,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,1384025,Lamonth Rochester,lamonth-rochester,D,14,True,,,,,0.0,,,,,,,,,1.0,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,2456158,Petar Maslovarić,petar-maslovaric,G,91,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,home,25737,FK Radnički Niš,605446,Bubacar Djaló,bubacar-djalo,M,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,30.0,12.0,23.0,5.0,0.0,10.0,12.0,2.0,18.0,,,8.0,,90.0,32.0,6.0,18.0,81.466013451155,8.0,-8.0108330252292,0.0,"{'original': 6, 'alternative': 6}",0,0.1,-0.04,-0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,21.73913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.049,-0.42,
14015598,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,29.0,20.0,6.0,2.0,0.0,12.0,15.0,8.0,14.0,1.0,4.0,6.0,,90.0,56.0,6.5,19.0,87.025930079381,10.0,-1.1183007362987,1.0,"{'original': 6.5, 'alternative': 6.7}",0,0.11,0.02,-0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,68.96551724137932,33.33333333333333,50.0,,,2.0,1.0,3.0,,2.0,,,,3.0,2.0,1.0,,1.0,5.0,,,20.772521291419,20.78976769952,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,791176,Vukašin Jovanović,vukasin-jovanovic,D,6,False,62.0,51.0,11.0,5.0,0.0,38.0,39.0,13.0,23.0,4.0,5.0,4.0,,90.0,67.0,6.6,11.0,328.11051060625,36.0,55.434695222336,2.0,"{'original': 6.6, 'alternative': 6.6}",0,0.2,0.17,-0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,1,0,82.25806451612904,45.45454545454545,,100.0,,,,2.0,,,,,3.0,,,,,2.0,1.0,,,17.097932612495,42.238676406882,1.0,1.0,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,False,62.0,55.0,,,0.0,37.0,39.0,18.0,23.0,6.0,7.0,2.0,,90.0,71.0,7.6,7.0,206.01934101814,27.0,14.693626209844,0.0,"{'original': 7.6, 'alternative': 7.4}",1,0.18,0.04,-0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,1,0,88.70967741935483,,,,,,,,,,,,,1.0,,,0.45,,4.0,,1.0,,,,,1.0,1.0,,,,,,,,,
14015598,away,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,False,43.0,27.0,14.0,5.0,0.0,15.0,18.0,12.0,25.0,2.0,5.0,2.0,,90.0,65.0,6.1,23.0,188.54429471924,26.0,-21.060206219506,0.0,"{'original': 6.1, 'alternative': 6.4}",0,0.04,-0.32,-0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,62.7906976744186,35.714285714285715,,,,2.0,,4.0,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
