match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,unsuccessfulTouch,onTargetScoringAttempt,blockedScoringAttempt,goals,bigChanceCreated,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,hitWoodwork
14015503,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,24.0,9.0,22.0,7.0,0.0,3.0,4.0,6.0,20.0,6.0,2.0,2.0,90.0,28.0,7.0,15.0,0.6394,"{'original': 7, 'alternative': 7}",0,0.02,-0.04,0.2,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,37.5,31.818181818181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,37.0,23.0,10.0,1.0,0.0,3.0,4.0,20.0,33.0,5.0,,,90.0,80.0,7.6,27.0,,"{'original': 7.6, 'alternative': 7.9}",1,0.37,0.32,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,62.16216216216216,10.0,33.33333333333333,50.0,,6.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,-0.2,,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,19.0,13.0,7.0,4.0,1.0,6.0,8.0,7.0,11.0,3.0,,,90.0,33.0,7.2,6.0,,"{'original': 7.2, 'alternative': 7.4}",0,0.27,0.04,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,68.42105263157895,57.14285714285714,,,,,,1.0,2.0,4.0,4.0,,,,,,9.0,1.0,1.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,16.0,11.0,3.0,1.0,0.0,9.0,9.0,2.0,7.0,2.0,,,90.0,28.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7}",1,0.02,0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,68.75,33.33333333333333,,,,,,4.0,2.0,7.0,4.0,1.0,,,,1.0,5.0,,,2.0,,,2.0,1.0,-0.35,1.0,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,26.0,15.0,6.0,,0.0,8.0,10.0,7.0,16.0,2.0,,,90.0,51.0,7.1,15.0,,"{'original': 7.1, 'alternative': 7.3}",1,0.19,0.04,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,57.692307692307686,,,,,,,1.0,2.0,2.0,7.0,,,,,1.0,4.0,,3.0,5.0,3.0,,2.0,1.0,-0.08,2.0,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,26.0,21.0,4.0,4.0,0.0,9.0,10.0,12.0,16.0,6.0,,,90.0,42.0,8.4,7.0,,"{'original': 8.4, 'alternative': 7.6}",2,0.46,0.34,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,80.76923076923077,100.0,,,,,,,,3.0,3.0,,,1.0,,,2.0,,,2.0,1.0,1.0,2.0,,0.5,1.0,1.0,1.0,1.0,,,,,,,
14015503,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,63.0,40.0,15.0,6.0,1.0,14.0,19.0,26.0,44.0,10.0,,,90.0,74.0,7.8,25.0,,"{'original': 7.8, 'alternative': 7}",0,0.8,0.04,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,63.49206349206349,40.0,,,,2.0,,,2.0,5.0,6.0,3.0,,,,,1.0,,,1.0,,3.0,2.0,2.0,,,,,,1.0,,,,,,
14015503,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,30.0,24.0,,,0.0,3.0,3.0,21.0,27.0,6.0,,,90.0,46.0,6.7,12.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.04,0.27,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,80.0,,,75.0,,1.0,,1.0,,5.0,6.0,,2.0,4.0,3.0,1.0,1.0,,1.0,,,3.0,1.0,2.0,-0.14,2.0,,,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,False,30.0,25.0,2.0,1.0,0.0,7.0,7.0,18.0,23.0,7.0,,,89.0,59.0,6.6,16.0,,"{'original': 6.6, 'alternative': 7.4}",3,0.27,0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,83.33333333333334,50.0,,66.66666666666666,,,,2.0,2.0,8.0,8.0,,,3.0,2.0,1.0,,,,4.0,3.0,,5.0,2.0,-0.13,10.0,,2.0,,,,,,,,
14015503,home,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,False,22.0,16.0,3.0,2.0,0.0,6.0,8.0,10.0,14.0,4.0,,,80.0,38.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.5}",3,0.04,0.22,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,3,7,72.72727272727273,66.66666666666666,,75.0,,,,3.0,,10.0,3.0,2.0,1.0,4.0,3.0,,,,,,,,3.0,,0.51,3.0,3.0,,1.0,,,,,,,
