player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Vuk Striković', 'firstName': '', 'lastName': '', 'slug': 'vuk-strikovic', 'shortName': 'V. Striković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 17, 'gender': 'M', 'id': 1034556, 'fieldTranslations': {'nameTranslation': {'ar': 'فوك ستريركوفيتش', 'hi': 'वुक स्ट्रिकोविक', 'bn': 'ভুক স্ট্রিকোভিচ'}, 'shortNameTranslation': {'ar': 'ف. ستريركوفيتش', 'hi': 'डब्ल्यू. स्ट्रिकोविक', 'bn': 'ভি. স্ট্রিকোভিচ'}}}",False,miss,regular,"{'x': 11, 'y': 73, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.2, 'z': 53.9}",0.003073,6543952,60,3575,"{'start': {'x': 73, 'y': 11}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 46.1}}",31,1825,875,shot,,,
"{'name': 'Boris Kopitović', 'slug': 'boris-kopitovic', 'shortName': 'B. Kopitović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 19, 'gender': 'M', 'id': 138937, 'fieldTranslations': {'nameTranslation': {'ar': 'بوريس كوفيتوفيتش', 'hi': 'बोरिस कोपिटोविक', 'bn': 'বরিস কোপিটোভিচ'}, 'shortNameTranslation': {'ar': 'ب. كوفيتوفيتش', 'hi': 'बी. कोपिटोविक', 'bn': 'বি. কোপিটোভিচ'}}}",True,goal,corner,"{'x': 2, 'y': 50, 'z': 0}",head,high-centre,"{'x': 0, 'y': 48.6, 'z': 29.3}",0.6933,6543951,58,3434,"{'start': {'x': 50, 'y': 2}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 70.7}}",33,1966,734,shot,,regular,0.9028
"{'name': 'Boris Kopitović', 'slug': 'boris-kopitovic', 'shortName': 'B. Kopitović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 19, 'gender': 'M', 'id': 138937, 'fieldTranslations': {'nameTranslation': {'ar': 'بوريس كوفيتوفيتش', 'hi': 'बोरिस कोपिटोविक', 'bn': 'বরিস কোপিটোভিচ'}, 'shortNameTranslation': {'ar': 'ب. كوفيتوفيتش', 'hi': 'बी. कोपिटोविक', 'bn': 'বি. কোপিটোভিচ'}}}",True,save,corner,"{'x': 2, 'y': 50, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 9.2}",0.5907,6543950,58,3432,"{'start': {'x': 50, 'y': 2}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 90.8}}",33,1968,732,shot,,,0.865
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,save,throw-in-set-piece,"{'x': 12, 'y': 35, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 7.1}",0.1261,6543949,57,3401,"{'start': {'x': 35, 'y': 12}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 92.9}}",34,1999,701,shot,,,0.307
"{'name': 'Aleksandar Šćekić', 'slug': 'aleksandar-scekic', 'shortName': 'A. Šćekić', 'position': 'M', 'jerseyNumber': '55', 'userCount': 232, 'gender': 'M', 'id': 836566, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر شيكيتش', 'hi': 'अलेक्जेंडर सेकिच', 'bn': 'আলেকসান্ডার স্কিকিচ'}, 'shortNameTranslation': {'ar': 'أ. شيكيتش', 'hi': 'ए. सेकिच', 'bn': 'এ. স্কিকিচ'}}}",True,miss,regular,"{'x': 12, 'y': 38, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.8, 'z': 55.6}",0.181,6543948,56,3317,"{'start': {'x': 38, 'y': 12}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 44.4}}",35,2083,617,shot,,,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,block,regular,"{'x': 10, 'y': 57, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.3236,6543947,53,3178,"{'start': {'x': 57, 'y': 10}, 'block': {'x': 57, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",38,2222,478,shot,"{'x': 10, 'y': 57, 'z': 0}",,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,block,regular,"{'x': 7, 'y': 32, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.08749,6543946,52,3109,"{'start': {'x': 32, 'y': 7}, 'block': {'x': 32, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",39,2291,409,shot,"{'x': 7, 'y': 32, 'z': 0}",,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,block,regular,"{'x': 7, 'y': 75, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009439,6543945,48,2850,"{'start': {'x': 75, 'y': 7}, 'block': {'x': 75, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",43,2550,150,shot,"{'x': 7, 'y': 75, 'z': 0}",,
"{'name': 'Aleksa Golubović', 'slug': 'aleksa-golubovic', 'shortName': 'A. Golubović', 'position': 'M', 'jerseyNumber': '2', 'userCount': 6, 'gender': 'M', 'id': 1030493, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. غولوبوفيتش'}}}",True,goal,regular,"{'x': 8, 'y': 58, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.6, 'z': 4.3}",0.1733,6543944,47,2792,"{'start': {'x': 58, 'y': 8}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 95.7}}",44,2608,92,shot,,regular,0.6701
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,post,regular,"{'x': 18, 'y': 41, 'z': 0}",right-foot,high,"{'x': 0, 'y': 55, 'z': 41.3}",0.04786,6543943,40,2376,"{'start': {'x': 41, 'y': 18}, 'end': {'x': 45, 'y': 0}, 'goal': {'x': 45, 'y': 58.7}}",6,324,2376,shot,,,
