minute,value
1.0,-8
2.0,-9
3.0,-20
4.0,-17
5.0,-6
6.0,5
7.0,1
8.0,1
9.0,1
10.0,-3
11.0,-34
12.0,-17
13.0,-11
14.0,-18
15.0,-47
16.0,-52
17.0,-28
18.0,-17
19.0,-91
20.0,-52
21.0,-25
22.0,-15
23.0,-8
24.0,8
25.0,6
26.0,4
27.0,28
28.0,23
29.0,13
30.0,8
31.0,5
32.0,-6
33.0,-4
34.0,-3
35.0,31
36.0,18
37.0,6
38.0,-75
39.0,-42
40.0,-32
41.0,-19
42.0,-36
43.0,-26
44.0,-21
45.0,-12
45.5,-20
46.0,1
47.0,-25
48.0,-15
49.0,-9
50.0,-11
51.0,30
52.0,12
53.0,2
54.0,1
55.0,-5
56.0,6
57.0,11
58.0,-35
59.0,-37
60.0,-16
61.0,-10
62.0,-2
63.0,-60
64.0,-38
65.0,-53
66.0,-31
67.0,-19
68.0,-7
69.0,16
70.0,85
71.0,52
72.0,31
73.0,24
74.0,9
75.0,1
76.0,1
77.0,41
78.0,25
79.0,6
80.0,5
81.0,9
82.0,3
83.0,-10
84.0,-4
85.0,6
86.0,-40
87.0,26
88.0,4
89.0,-75
90.0,-44
90.5,-35
