match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,outfielderBlock,aerialLost,aerialWon,interceptionWon,dispossessed,onTargetScoringAttempt,penaltyConceded,shotValueNormalized,shotOffTarget,blockedScoringAttempt,penaltyWon,bigChanceMissed,goals,bigChanceCreated,errorLeadToAShot,errorLeadToAGoal
14015614,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,False,10.0,8.0,,,0.0,5.0,5.0,3.0,5.0,,1.0,,,,90.0,22.0,6.6,9.0,33.862651614118,7.0,5.5766915945955,1.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.04,0.28,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.0,,,,,,,3.0,4.0,1.0,,,,,7.0,4.0,1.0,4.4755817533536,4.4865087763204,,,1.0,,,,,,-0.21,,1.0,,,,,1.0,
14015614,home,111127,FK Radnik Surdulica,1006673,Axel Urie,urie-axel,F,7,True,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,,,,27.0,9.0,6.4,2.0,62.883350894024,8.0,15.450294879492,1.0,,"{'original': 6.4, 'alternative': 6.8}",1,-0.02,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,85.71428571428571,,,,,1.0,,1.0,,,,,,,,,1.0,16.64427306797,18.163517528276,1.0,,,,,,1.0,,-0.13,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,3.0,,,,0.0,,1.0,0.0,2.0,,1.0,,,,17.0,10.0,6.4,8.0,12.646066140166,3.0,-5.2544452543966,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.17,-0.34,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,,,50.0,,,2.0,1.0,2.0,,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,2456275,Andrija Milićević,andrija-milicevic,F,44,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,9.0,3.0,6.4,1.0,,,,,,"{'original': 6.4, 'alternative': 6.4}",0,-0.02,,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,1047505,Filip Samurović,filip-samurovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,931313,Christ Kouadio,christ-kouadio,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
