match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,onTargetScoringAttempt,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,shotValueNormalized,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,outfielderBlock,totalContest,dispossessed,wonContest,shotOffTarget,totalOffside,blockedScoringAttempt,goals,bigChanceCreated,bigChanceMissed
14015559,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,43.0,30.0,20.0,9.0,0.0,26.0,32.0,4.0,11.0,1.0,1.0,1.0,3.0,10.0,3.0,5.0,3.0,3.0,90.0,60.0,7.0,14.0,77.378933588381,14.0,18.9,6.405,0.3778,"{'original': 7, 'alternative': 7.5}",1,-0.17,-0.02,-0.03,0.13,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,69.76744186046511,45.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
14015559,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,47.0,37.0,5.0,2.0,0.0,18.0,19.0,19.0,28.0,,4.0,,2.0,6.0,,,,,89.0,67.0,6.7,17.0,176.91403109066,24.0,56.28,14.595,,"{'original': 6.7, 'alternative': 6.8}",0,,0.24,0.11,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,78.72340425531915,40.0,25.0,,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,17.388338879836,1.0,1.0,,,,,,,,,,
14015559,home,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,70.0,63.0,9.0,4.0,0.0,35.0,35.0,28.0,35.0,,6.0,,1.0,5.0,,,,,90.0,81.0,6.7,8.0,297.5928716427,36.0,168.42,17.64,,"{'original': 6.7, 'alternative': 6.9}",0,,0.29,0.33,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,6,3,90.0,44.44444444444444,,,,,,3.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,63.335547800727,4.0,1.0,,,,,,,,,,
14015559,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,75.0,68.0,5.0,2.0,0.0,47.0,48.0,21.0,27.0,,1.0,,4.0,1.0,,,,,85.0,84.0,6.4,8.0,291.22087348716,38.0,74.655,14.805,,"{'original': 6.4, 'alternative': 6.6}",0,,0.0,0.1,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,90.66666666666666,40.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
14015559,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,False,56.0,42.0,10.0,2.0,0.0,23.0,31.0,19.0,25.0,2.0,8.0,,2.0,5.0,,,,,90.0,88.0,7.3,21.0,223.97479883233,27.0,103.11,24.045,,"{'original': 7.3, 'alternative': 7}",0,,0.24,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,6,3,75.0,20.0,,,,2.0,,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,24.334124701743,1.0,1.0,1.0,1.0,,,,,,,,
14015559,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,61.0,58.0,6.0,3.0,0.0,42.0,42.0,16.0,19.0,,8.0,,1.0,14.0,,,,,90.0,77.0,7.1,5.0,261.55984323412,33.0,23.415,19.95,,"{'original': 7.1, 'alternative': 7.3}",1,0.02,0.14,0.23,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,8,6,95.08196721311475,50.0,,100.0,,,,,6.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,35.669730193281,2.0,,,1.0,1.0,1.0,1.0,,,,,
14015559,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,23.0,16.0,1.0,,0.0,2.0,2.0,14.0,21.0,,5.0,,,2.0,,,,,89.0,52.0,6.8,25.0,168.80350350323,20.0,70.35,18.27,,"{'original': 6.8, 'alternative': 6.6}",2,-0.2,0.36,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,69.56521739130434,,14.285714285714285,28.57142857142857,,14.0,2.0,1.0,7.0,,,1.0,1.0,,2.0,,30.525485659951,2.0,1.0,,7.0,1.0,2.0,2.0,3.0,,,,
14015559,home,5153,OFK Beograd,1153956,Jovan Šljivić,jovan-sljivic,M,20,False,11.0,7.0,,,0.0,3.0,3.0,4.0,8.0,1.0,4.0,,,2.0,,,,,57.0,27.0,6.5,10.0,69.58359947538,9.0,-4.095,12.495,,"{'original': 6.5, 'alternative': 6.4}",2,-0.14,-0.11,0.15,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,63.63636363636363,,,25.0,,,,,5.0,,1.0,,,2.0,2.0,2.0,7.3995134975213,1.0,1.0,,4.0,1.0,1.0,,,2.0,,,
14015559,home,5153,OFK Beograd,1068813,Egor Prutsev,egor-prutsev,M,11,False,27.0,18.0,2.0,1.0,0.0,6.0,6.0,12.0,21.0,1.0,12.0,,,4.0,,,,,90.0,66.0,7.2,23.0,347.98772435899,33.0,206.85,40.215,,"{'original': 7.2, 'alternative': 7.7}",1,-0.32,-0.33,0.63,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,11,5,66.66666666666666,50.0,25.0,55.55555555555556,,8.0,2.0,,5.0,1.0,,,,4.0,6.0,,129.31651585428,7.0,4.0,,9.0,,5.0,1.0,,,,,
14015559,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,False,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,,2.0,,,2.0,,,,,45.0,12.0,6.5,3.0,26.533498397509,3.0,11.55,9.135,,"{'original': 6.5, 'alternative': 6.6}",0,,-0.14,0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,87.5,,,,,,,2.0,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
