player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType,addedTime
"{'name': 'Andrej Bajović', 'firstName': '', 'lastName': '', 'slug': 'andrej-bajovic', 'shortName': 'A. Bajović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 29, 'gender': 'M', 'id': 1005614, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بايوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بايوفيتش'}}}",True,miss,regular,"{'x': 13, 'y': 55, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 40.8, 'z': 36.7}",0.07428,6543155,88,5227,"{'start': {'x': 55, 'y': 13}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 63.3}}",3,173,2527,shot,,,,
"{'name': 'Nemanja Bojanić', 'slug': 'nemanja-bojanic', 'shortName': 'N. Bojanić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 3, 'gender': 'M', 'id': 1396429, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بوجانيتش'}, 'shortNameTranslation': {'ar': 'ن. بوجانيتش'}}}",False,miss,regular,"{'x': 25, 'y': 53, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.8, 'z': 12.7}",0.03886,6543154,85,5079,"{'start': {'x': 53, 'y': 25}, 'end': {'x': 43.2, 'y': 0}, 'goal': {'x': 43.2, 'y': 87.3}}",6,321,2379,shot,,,,
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 33, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'hi': 'अलेक्सा सेत्कोविक', 'bn': 'আলেক্সা চেটকোভিচ'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'hi': 'ए. सेत्कोविक', 'bn': 'এ. চেটকোভিচ'}}}",False,block,set-piece,"{'x': 12, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02744,6543153,83,4963,"{'start': {'x': 46, 'y': 12}, 'block': {'x': 46, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,437,2263,shot,"{'x': 12, 'y': 46, 'z': 0}",,,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,miss,free-kick,"{'x': 21, 'y': 58, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 48.9, 'z': 53.3}",0.001366,6543157,79,4722,"{'start': {'x': 58, 'y': 21}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 46.7}}",12,678,2022,shot,,,,
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",False,save,regular,"{'x': 5, 'y': 60, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.9, 'z': 1.6}",0.1686,6543152,78,4637,"{'start': {'x': 60, 'y': 5}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 98.4}}",13,763,1937,shot,,0.3702,,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",False,goal,throw-in-set-piece,"{'x': 9, 'y': 45, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 8.9}",0.1344,6543151,69,4133,"{'start': {'x': 45, 'y': 9}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 91.1}}",22,1267,1433,shot,,0.7042,regular,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",False,block,regular,"{'x': 21, 'y': 64, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02477,6543150,62,3714,"{'start': {'x': 64, 'y': 21}, 'block': {'x': 64, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",29,1686,1014,shot,"{'x': 21, 'y': 64, 'z': 0}",,,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",True,goal,regular,"{'x': 13, 'y': 39, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48, 'z': 11.5}",0.1219,6543149,61,3622,"{'start': {'x': 39, 'y': 13}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 88.5}}",30,1778,922,shot,,0.6301,regular,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",False,save,regular,"{'x': 19, 'y': 77, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.3, 'z': 24.4}",0.01686,6543148,54,3200,"{'start': {'x': 77, 'y': 19}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 75.6}}",37,2200,500,shot,,0.03546,,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",True,goal,regular,"{'x': 11, 'y': 55, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 1.8}",0.307,6543147,46,2735,"{'start': {'x': 55, 'y': 11}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 98.2}}",45,2665,35,shot,,0.6448,regular,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",False,block,corner,"{'x': 23, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009545,6543146,45,2740,"{'start': {'x': 49, 'y': 23}, 'block': {'x': 49, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,2660,40,shot,"{'x': 23, 'y': 49, 'z': 0}",,,1.0
"{'name': 'Leon Ujkaj', 'firstName': '', 'lastName': '', 'slug': 'leon-ujkaj', 'shortName': 'L. Ujkaj', 'position': 'D', 'jerseyNumber': '17', 'userCount': 6, 'gender': 'M', 'id': 1063206, 'fieldTranslations': {'nameTranslation': {'ar': 'ليون أوجكاي'}, 'shortNameTranslation': {'ar': 'ل. أوجكاي'}}}",True,goal,corner,"{'x': 5, 'y': 48, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.2, 'z': 20.8}",0.1987,6543145,42,2488,"{'start': {'x': 48, 'y': 5}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 79.2}}",4,212,2488,shot,,0.6484,regular,
"{'name': 'Ibrahima Mame Ndiaye', 'slug': 'ibrahima-mame-ndiaye', 'shortName': 'I. M. Ndiaye', 'position': 'F', 'jerseyNumber': '72', 'userCount': 56, 'gender': 'M', 'id': 325325, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيما مامي ندياي', 'hi': 'इब्राहीमा मामे नदिये', 'bn': 'ইব্রাহিম মামে নাদিয়ায়'}, 'shortNameTranslation': {'ar': 'إ. م. ندياي', 'hi': 'आई. एम. नदिये', 'bn': 'আই.এম. নাদিয়ায়'}}}",True,goal,set-piece,"{'x': 11, 'y': 51, 'z': 0}",head,high-right,"{'x': 0, 'y': 46, 'z': 21.9}",0.1042,6543144,39,2327,"{'start': {'x': 51, 'y': 11}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 78.1}}",7,373,2327,shot,,0.3346,regular,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 11, 'y': 70, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41, 'z': 7.6}",0.05729,6543143,36,2149,"{'start': {'x': 70, 'y': 11}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 92.4}}",10,551,2149,shot,,,,
