match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt,bigChanceMissed
15188250,away,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,39.0,30.0,9.0,4.0,0.0,7.0,7.0,22.0,31.0,4.0,0.0,1.0,0.0,11.0,7.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,55.0,6.9,13.0,0.02,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,7,10,76.92307692307693,44.44444444444444,0.0,75.0,,1.0,1.0,,1.0,
15188250,away,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,32.0,21.0,4.0,2.0,0.0,9.0,11.0,12.0,21.0,2.0,0.0,1.0,0.0,11.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,90.0,45.0,7.1,10.0,0.51,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,1,19,9,10,65.625,50.0,0.0,100.0,,,1.0,2.0,,1.0
15188250,away,5143,FK Budućnost Podgorica,357712,Zoran Petrović,zoran-petrovic,M,25,False,29.0,15.0,4.0,1.0,0.0,2.0,3.0,13.0,26.0,3.0,0.0,3.0,3.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,90.0,40.0,6.8,14.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,3,5,51.724137931034484,25.0,0.0,100.0,,,,,1.0,
15188250,away,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,F,11,False,8.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,6.0,2.0,0.0,5.0,3.0,23.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,90.0,25.0,6.4,15.0,0.25,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,8,19,1,18,50.0,0.0,0.0,33.33333333333333,,,,,,
15188250,away,241802,FK Budućnost Podgorica,1871041,Matija Jovanovic,matija-jovanovic,M,99,True,11.0,8.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,1.0,0.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,32.0,18.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,72.72727272727273,,0.0,100.0,,,,,,
15188250,away,241802,FK Budućnost Podgorica,858601,Marin Galić,marin-galic,M,23,True,9.0,6.0,1.0,1.0,0.0,1.0,2.0,5.0,7.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,22.0,15.0,6.6,4.0,0.0,0.01,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,66.66666666666666,100.0,0.0,100.0,,,1.0,,,
15188250,away,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,D,70,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,
15188250,away,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15188250,away,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15188250,away,287219,FK Budućnost Podgorica,2169941,Novak Fatić,novak-fatic,D,54,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15188250,away,287219,FK Budućnost Podgorica,2081027,Petar Vujović,petar-vujovic,M,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
