minute,value
0.0,0
1.0,-29
2.0,-12
3.0,-15
4.0,-11
5.0,-10
6.0,27
7.0,56
8.0,25
9.0,8
10.0,2
11.0,-4
12.0,-8
13.0,-6
14.0,-5
15.0,-5
16.0,-4
17.0,-9
18.0,-2
19.0,-8
20.0,-11
21.0,59
22.0,57
23.0,38
24.0,52
25.0,31
26.0,18
27.0,8
28.0,3
29.0,-12
30.0,-10
31.0,-48
32.0,-29
33.0,-24
34.0,-15
35.0,-25
36.0,-8
37.0,-1
38.0,-1
39.0,70
40.0,42
41.0,25
42.0,15
43.0,9
44.0,36
45.0,17
45.5,5
46.0,1
47.0,11
48.0,8
49.0,6
50.0,-45
51.0,-95
52.0,-67
53.0,-44
54.0,-26
55.0,-6
56.0,8
57.0,11
58.0,-30
59.0,-18
60.0,-10
61.0,-3
62.0,-1
63.0,3
64.0,14
65.0,25
66.0,17
67.0,6
68.0,30
69.0,19
70.0,-44
71.0,-20
72.0,-11
73.0,-2
74.0,-1
75.0,4
76.0,4
77.0,3
78.0,-25
79.0,-14
80.0,-53
81.0,-76
82.0,-40
83.0,-66
84.0,-44
85.0,-27
86.0,-22
87.0,36
88.0,-25
89.0,6
90.0,100
90.5,0
