player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Nikola Bogdanovski', 'firstName': 'Nikola', 'lastName': 'Bogdanovski', 'slug': 'nikola-bogdanovski', 'shortName': 'N. Bogdanovski', 'position': 'M', 'jerseyNumber': '33', 'userCount': 16, 'gender': 'M', 'id': 956793, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بوغدانوفيسكي'}, 'shortNameTranslation': {'ar': 'ن. بوغدانوفيسكي'}}}",False,miss,regular,"{'x': 25, 'y': 51.9, 'z': 0}",right-foot,left,"{'x': 0, 'y': 62.4, 'z': 9.7}",5655560,83,4974,"{'start': {'x': 51.9, 'y': 25}, 'end': {'x': 37.6, 'y': 0}, 'goal': {'x': 37.6, 'y': 90.3}}",8,426,2274,shot,,,
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",False,save,assisted,"{'x': 11.7, 'y': 46.6, 'z': 0}",head,low-centre,"{'x': 0, 'y': 51.4, 'z': 18.4}",5655465,75,4455,"{'start': {'x': 46.6, 'y': 11.7}, 'block': {'x': 47.7, 'y': 2.7}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 81.6}}",16,945,1755,shot,"{'x': 2.7, 'y': 47.7, 'z': 0}",,
"{'name': 'Vanja Ilić', 'slug': 'vanja-ilic', 'shortName': 'V. Ilić', 'position': 'M', 'jerseyNumber': '23', 'userCount': 66, 'gender': 'M', 'id': 889059, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا إيلتش'}, 'shortNameTranslation': {'ar': 'ف. إيلتش'}}}",True,miss,corner,"{'x': 9.1, 'y': 39.9, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57.3, 'z': 59.7}",5655401,67,3990,"{'start': {'x': 39.9, 'y': 9.1}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 40.3}}",24,1410,1290,shot,,,
"{'name': 'Vanja Ilić', 'slug': 'vanja-ilic', 'shortName': 'V. Ilić', 'position': 'M', 'jerseyNumber': '23', 'userCount': 66, 'gender': 'M', 'id': 889059, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا إيلتش'}, 'shortNameTranslation': {'ar': 'ف. إيلتش'}}}",True,save,assisted,"{'x': 9.1, 'y': 30.1, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.5, 'z': 24.1}",5655315,64,3816,"{'start': {'x': 30.1, 'y': 9.1}, 'block': {'x': 45.8, 'y': 1.5}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 75.9}}",27,1584,1116,shot,"{'x': 1.5, 'y': 45.8, 'z': 0}",,
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",True,goal,assisted,"{'x': 7.3, 'y': 46.6, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.4, 'z': 18.4}",5655285,60,3579,"{'start': {'x': 46.6, 'y': 7.3}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81.6}}",31,1821,879,shot,,regular,
"{'name': 'Radomir Milosavljević', 'slug': 'radomir-milosavljevic', 'shortName': 'R. Milosavljević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 30, 'gender': 'M', 'id': 112321, 'fieldTranslations': {'nameTranslation': {'ar': 'رادومير ميلوسافليفيتش'}, 'shortNameTranslation': {'ar': 'ر. ميلوسافليفيتش'}}}",True,miss,corner,"{'x': 11.4, 'y': 51.5, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 58.7, 'z': 48.6}",5655244,56,3339,"{'start': {'x': 51.5, 'y': 11.4}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 51.4}}",35,2061,639,shot,,,
"{'name': 'Nikola Srećković', 'slug': 'nikola-sreckovic', 'shortName': 'N. Srećković', 'position': 'M', 'jerseyNumber': '20', 'userCount': 42, 'gender': 'M', 'id': 810663, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سريتشكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. سريتشكوفيتش'}}}",True,save,regular,"{'x': 5.5, 'y': 30.5, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.5, 'z': 32.9}",5655243,56,3304,"{'start': {'x': 30.5, 'y': 5.5}, 'block': {'x': 46.2, 'y': 1.2}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 67.1}}",35,2096,604,shot,"{'x': 1.2, 'y': 46.2, 'z': 0}",,
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",False,miss,regular,"{'x': 23.8, 'y': 45.6, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 56.5, 'z': 58.3}",5655158,53,3152,"{'start': {'x': 45.6, 'y': 23.8}, 'end': {'x': 43.5, 'y': 0}, 'goal': {'x': 43.5, 'y': 41.7}}",38,2248,452,shot,,,
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",False,miss,corner,"{'x': 2.8, 'y': 40.3, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58, 'z': 11.1}",5711320,45,2730,"{'start': {'x': 40.3, 'y': 2.8}, 'block': {'x': 42.1, 'y': 0.3}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 88.9}}",1,2670,30,shot,"{'x': 0.3, 'y': 42.1, 'z': 0}",,1.0
"{'name': 'Stefan Bukorac', 'firstName': '', 'lastName': '', 'slug': 'stefan-bukorac', 'shortName': 'S. Bukorac', 'position': 'D', 'jerseyNumber': '5', 'userCount': 19, 'gender': 'M', 'id': 795871, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بوكوراك'}, 'shortNameTranslation': {'ar': 'س. بوكوراك'}}}",False,miss,corner,"{'x': 8, 'y': 53.1, 'z': 0}",head,left,"{'x': 0, 'y': 60.5, 'z': 6.9}",5654814,45,2728,"{'start': {'x': 53.1, 'y': 8}, 'block': {'x': 44.6, 'y': 2.2}, 'end': {'x': 39.5, 'y': 0}, 'goal': {'x': 39.5, 'y': 93.1}}",1,2672,28,shot,"{'x': 2.2, 'y': 44.6, 'z': 0}",,1.0
