match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,bigChanceCreated,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,aerialLost,duelLost,fouls,accurateCross,totalContest,wonContest,shotOffTarget,dispossessed,challengeLost,bigChanceMissed,blockedScoringAttempt,clearanceOffLine,totalOffside
14015449,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,41.0,22.0,25.0,6.0,0.0,18.0,21.0,4.0,20.0,2.0,1.0,9.0,2.0,1.0,1.0,90.0,52.0,7.1,19.0,0.0012,"{'original': 7.1, 'alternative': 7}",0,0.06,0.17,0.45,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,53.65853658536586,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015449,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,40.0,32.0,4.0,2.0,0.0,23.0,28.0,9.0,12.0,5.0,6.0,3.0,2.0,,,90.0,71.0,8.8,15.0,,"{'original': 8.8, 'alternative': 8.3}",1,0.46,0.01,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,4,0,80.0,50.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.53,,,,,,,,,,,,,
14015449,home,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,False,53.0,42.0,12.0,5.0,0.0,33.0,39.0,9.0,14.0,5.0,8.0,1.0,1.0,,,90.0,70.0,7.4,12.0,,"{'original': 7.4, 'alternative': 7.3}",0,0.21,0.01,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,79.24528301886792,41.66666666666667,,,,1.0,2.0,,,,1.0,1.0,2.0,1.0,,,,2.0,3.0,1.0,,,,,,,,,,
14015449,home,466776,FK Radnički Niš,942147,Nemanja Mićević,nemanja-micevic,D,16,False,40.0,32.0,6.0,3.0,0.0,22.0,26.0,10.0,14.0,2.0,4.0,4.0,,,,90.0,48.0,6.9,8.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.06,0.12,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,80.0,50.0,,,,,,,,,,,2.0,1.0,,,,,2.0,2.0,,,,,,,,,,
14015449,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,29.0,22.0,3.0,,1.0,14.0,16.0,8.0,13.0,1.0,,2.0,,,,90.0,44.0,7.4,10.0,,"{'original': 7.4, 'alternative': 7.1}",0,0.59,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.86206896551724,,100.0,,,2.0,1.0,,,,,1.0,,,1.0,1.0,,,,,2.0,,,,,,,,,
14015449,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,M,2,False,18.0,14.0,5.0,4.0,0.0,4.0,5.0,10.0,13.0,4.0,1.0,2.0,1.0,,,90.0,26.0,7.1,5.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.29,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,77.77777777777779,80.0,,,,,1.0,,,,,,2.0,2.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,
14015449,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,52.0,44.0,5.0,3.0,0.0,23.0,25.0,21.0,27.0,3.0,2.0,6.0,,,,90.0,63.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.25,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,1,5,84.61538461538461,60.0,,33.33333333333333,,,2.0,,,,,1.0,,,,,-0.17,2.0,7.0,3.0,,3.0,1.0,1.0,,,,,,
14015449,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,21.0,16.0,,,1.0,5.0,6.0,11.0,15.0,2.0,,1.0,2.0,,,73.0,29.0,6.9,9.0,,"{'original': 6.9, 'alternative': 7.1}",2,0.35,0.19,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,76.19047619047619,,,,,,,,1.0,,,,,,2.0,1.0,-0.37,,4.0,2.0,,,,1.0,2.0,,,,,
14015449,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,False,16.0,11.0,3.0,2.0,1.0,3.0,4.0,8.0,12.0,1.0,1.0,1.0,,,,73.0,23.0,7.5,8.0,,"{'original': 7.5, 'alternative': 7}",0,0.41,0.25,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,68.75,66.66666666666666,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,
14015449,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,20.0,12.0,2.0,,0.0,5.0,6.0,7.0,14.0,12.0,1.0,4.0,4.0,,,89.0,47.0,7.6,16.0,,"{'original': 7.6, 'alternative': 7.5}",2,0.04,-0.32,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,5,21,8,13,60.0,,50.0,50.0,,4.0,4.0,,2.0,1.0,,,2.0,2.0,1.0,3.0,0.56,1.0,14.0,5.0,2.0,4.0,2.0,,3.0,4.0,,,,
