match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,interceptionWon,shotOffTarget,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,hitWoodwork
14147447,home,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,48.0,45.0,17.0,14.0,0.0,41.0,43.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,90.0,54.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.75,82.35294117647058,,,0.0,,,,,,,,
14147447,home,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,False,55.0,37.0,13.0,4.0,1.0,18.0,21.0,19.0,33.0,3.0,0.0,1.0,1.0,14.0,12.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,90.0,74.0,6.8,21.0,0.0,0.45,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,2,24,11,13,67.27272727272727,30.76923076923077,0.0,50.0,,2.0,3.0,,,,,,
14147447,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,65.0,58.0,7.0,5.0,0.0,39.0,41.0,16.0,21.0,0.0,0.0,2.0,3.0,9.0,4.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,82.0,8.6,6.0,0.79,0.0,"{'original': 8.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,1,7,89.23076923076924,71.42857142857143,,,,,,6.0,,,,,
14147447,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,44.0,39.0,4.0,2.0,0.0,25.0,27.0,9.0,11.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,58.0,7.1,6.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,88.63636363636364,50.0,,50.0,,,,6.0,,,,,
14147447,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,41.0,29.0,5.0,0.0,0.0,16.0,19.0,10.0,17.0,2.0,1.0,0.0,1.0,2.0,12.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,82.0,55.0,7.5,16.0,0.0,0.21,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,11,2,70.73170731707317,0.0,50.0,100.0,,1.0,1.0,5.0,,,,,
14147447,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,33.0,31.0,3.0,2.0,0.0,15.0,16.0,10.0,11.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,74.0,40.0,7.9,4.0,0.68,0.0,"{'original': 7.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,93.93939393939394,66.66666666666666,,50.0,,,,6.0,1.0,,,,
14147447,home,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,55.0,48.0,6.0,4.0,0.0,38.0,39.0,9.0,13.0,0.0,0.0,2.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,82.0,63.0,6.5,10.0,0.07,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,1,12,87.27272727272727,66.66666666666666,,,,1.0,,1.0,,,,,
14147447,home,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,36.0,27.0,3.0,1.0,1.0,8.0,9.0,19.0,27.0,3.0,1.0,1.0,0.0,10.0,7.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,65.0,7.6,16.0,0.1,0.35,"{'original': 7.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,7,9,75.0,33.33333333333333,33.33333333333333,71.42857142857143,,2.0,1.0,,,1.0,2.0,,
14147447,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,20.0,16.0,2.0,2.0,0.0,5.0,6.0,10.0,13.0,0.0,0.0,2.0,1.0,16.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,,,,,,,65.0,31.0,6.2,8.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,2,14,80.0,100.0,,100.0,,2.0,,1.0,,,,,
14147447,home,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,18.0,18.0,1.0,1.0,0.0,11.0,11.0,7.0,7.0,0.0,0.0,0.0,2.0,6.0,9.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,65.0,38.0,7.1,2.0,0.18,0.07,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,100.0,100.0,,80.0,,,1.0,,,,,,
