match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,outfielderBlock,totalTackle,wonTackle,fouls,challengeLost,interceptionWon,unsuccessfulTouch,shotOffTarget,wasFouled,shotValueNormalized,blockedScoringAttempt,keyPass,wonContest,penaltyConceded,accurateCross,onTargetScoringAttempt,totalOffside,goals,bigChanceCreated,bigChanceMissed,penaltyWon
14015418,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,32.0,19.0,20.0,7.0,0.0,13.0,14.0,6.0,18.0,2.0,6.0,3.0,1.0,4.0,1.0,1.0,1.0,90.0,38.0,7.4,13.0,1.2097,"{'original': 7.4, 'alternative': 6.9}",0,0.04,0.05,-0.22,0.83,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,59.375,35.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,28.0,23.0,4.0,1.0,0.0,16.0,18.0,7.0,10.0,3.0,1.0,,,,,,,90.0,40.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.02,0.01,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,82.14285714285714,25.0,,,,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015418,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,48.0,43.0,7.0,4.0,0.0,26.0,27.0,17.0,21.0,16.0,3.0,,,,,,,90.0,69.0,7.6,7.0,,"{'original': 7.6, 'alternative': 7.3}",0,0.27,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,89.58333333333334,57.14285714285714,,,,,1.0,4.0,2.0,5.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,D,14,False,37.0,32.0,4.0,1.0,0.0,23.0,25.0,9.0,12.0,1.0,3.0,,,,,,,77.0,48.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.01,0.07,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,86.48648648648648,25.0,,,,,,1.0,2.0,6.0,,,,4.0,2.0,1.0,1.0,2.0,,1.0,1.0,-0.2,,,,,,,,,,,
14015418,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,33.0,26.0,5.0,1.0,1.0,11.0,14.0,15.0,19.0,1.0,4.0,,,,,,,90.0,54.0,6.6,14.0,,"{'original': 6.6, 'alternative': 7.3}",1,0.27,-0.23,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,78.78787878787878,20.0,,,,2.0,,1.0,6.0,3.0,,1.0,2.0,1.0,1.0,4.0,1.0,,1.0,,1.0,-0.18,1.0,3.0,,,,,,,,,
14015418,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,M,21,False,21.0,16.0,2.0,1.0,0.0,8.0,9.0,8.0,12.0,,3.0,,,,,,,90.0,45.0,6.4,11.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.04,0.02,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,76.19047619047619,50.0,,100.0,,4.0,,,2.0,5.0,,1.0,1.0,1.0,1.0,2.0,,3.0,,,3.0,,,,1.0,1.0,,,,,,,
14015418,home,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,42.0,31.0,11.0,4.0,0.0,13.0,14.0,18.0,28.0,1.0,11.0,,,,,,,90.0,64.0,6.7,18.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.37,0.26,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,6,4,73.80952380952381,36.36363636363637,,66.66666666666666,,1.0,1.0,2.0,5.0,8.0,2.0,3.0,,3.0,,,1.0,3.0,1.0,1.0,1.0,-0.06,,1.0,2.0,,,,,,,,
14015418,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,21.0,19.0,1.0,,0.0,9.0,9.0,10.0,12.0,,7.0,,,,,,,89.0,61.0,6.8,19.0,,"{'original': 6.8, 'alternative': 6.6}",2,0.29,0.18,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,0,20,11,9,90.47619047619048,,37.5,33.33333333333333,,8.0,,,9.0,11.0,3.0,9.0,,2.0,1.0,,,1.0,2.0,,6.0,-0.19,,2.0,3.0,,3.0,2.0,1.0,,,,
14015418,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,32.0,27.0,1.0,1.0,0.0,16.0,16.0,11.0,16.0,4.0,6.0,,,,,,,77.0,46.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.07,0.08,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,84.375,100.0,,,,,1.0,,2.0,3.0,,1.0,,3.0,1.0,,,1.0,3.0,,,,,1.0,,,,,,,,,
14015418,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,False,15.0,13.0,3.0,2.0,0.0,3.0,4.0,10.0,11.0,,1.0,,,,,,,71.0,28.0,7.0,9.0,,"{'original': 7, 'alternative': 6.4}",3,0.01,0.29,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,86.66666666666667,66.66666666666666,,25.0,,,,,5.0,2.0,1.0,4.0,,,,1.0,,,3.0,1.0,1.0,0.54,1.0,1.0,1.0,,,1.0,,1.0,,,
