match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,outfielderBlock,totalTackle,wonTackle,fouls,challengeLost,interceptionWon,unsuccessfulTouch,shotOffTarget,wasFouled,shotValueNormalized,blockedScoringAttempt,keyPass,wonContest,penaltyConceded,accurateCross,onTargetScoringAttempt,totalOffside,goals,bigChanceCreated,bigChanceMissed,penaltyWon
14015418,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,False,10.0,6.0,,,0.0,4.0,6.0,2.0,4.0,,2.0,,,,,,,57.0,18.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.5}",2,0.06,-0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,60.0,,,33.33333333333333,,1.0,1.0,2.0,3.0,3.0,,3.0,,,,,,,2.0,1.0,,0.11,,,1.0,,,1.0,,,,,
14015418,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,True,3.0,1.0,,,0.0,,,1.0,3.0,,1.0,,,,,,,33.0,11.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.6}",2,-0.04,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,33.33333333333333,,,,,,2.0,4.0,5.0,5.0,2.0,1.0,,,,,,,2.0,,1.0,-0.12,2.0,1.0,,,,,1.0,,,,
14015418,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,True,13.0,11.0,1.0,,0.0,2.0,2.0,9.0,11.0,,2.0,,,,,,,13.0,20.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.05,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,84.61538461538461,,,,,1.0,,1.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,8.0,7.0,2.0,2.0,0.0,,,7.0,8.0,,2.0,,,,,,,13.0,13.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.27,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,87.5,100.0,,,,1.0,,,2.0,1.0,,2.0,,1.0,1.0,,,,,,,0.01,,,,,,1.0,,,,,
14015418,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,True,5.0,4.0,,,0.0,,,4.0,5.0,1.0,,,,,,,,9.0,9.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.17,0.15,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
14015418,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,5149,OFK Beograd,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,263360,OFK Beograd,1981973,Dragan Tegeltija,dragan-tegeltija,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,19.0,13.0,7.0,1.0,0.0,12.0,12.0,1.0,7.0,1.0,6.0,2.0,,4.0,1.0,,,90.0,27.0,6.9,6.0,0.3869,"{'original': 6.9, 'alternative': 6.9}",0,-0.01,-0.07,-0.03,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,68.42105263157895,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,34.0,26.0,7.0,3.0,0.0,10.0,13.0,16.0,21.0,5.0,6.0,,,,,,,90.0,69.0,7.5,14.0,,"{'original': 7.5, 'alternative': 7.2}",1,0.29,0.14,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,76.47058823529412,42.857142857142854,,,,3.0,,,4.0,6.0,,,1.0,5.0,2.0,3.0,1.0,3.0,1.0,,1.0,-0.16,1.0,1.0,,,,,,,,,
14015418,away,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,41.0,35.0,8.0,3.0,0.0,23.0,26.0,12.0,15.0,13.0,3.0,,,,,,,90.0,60.0,7.3,6.0,,"{'original': 7.3, 'alternative': 7.1}",0,0.24,0.07,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,85.36585365853658,37.5,,,,,2.0,2.0,4.0,5.0,,,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,47.0,38.0,7.0,2.0,0.0,32.0,37.0,6.0,10.0,6.0,3.0,,,,,,,90.0,58.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.1,-0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,80.85106382978722,28.57142857142857,,,,,3.0,2.0,3.0,4.0,,,1.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,
14015418,away,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,35.0,25.0,6.0,1.0,0.0,17.0,20.0,8.0,15.0,2.0,4.0,,,,,,,90.0,53.0,6.1,17.0,,"{'original': 6.1, 'alternative': 6.4}",0,0.15,-0.26,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,71.42857142857143,16.666666666666664,25.0,,,4.0,1.0,,4.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,
14015418,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,51.0,46.0,7.0,6.0,0.0,25.0,27.0,21.0,24.0,,6.0,,,,,,,84.0,66.0,7.9,10.0,,"{'original': 7.9, 'alternative': 7.8}",3,0.57,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,90.19607843137256,85.71428571428571,,,,2.0,,,3.0,5.0,,1.0,,4.0,4.0,,2.0,1.0,2.0,3.0,1.0,-0.3,,3.0,,,,,,,1.0,,
14015418,away,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,55.0,48.0,8.0,6.0,0.0,21.0,23.0,27.0,32.0,3.0,5.0,,,,,,,89.0,66.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.51,0.08,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,87.27272727272727,75.0,,,,1.0,1.0,,5.0,4.0,1.0,,,3.0,3.0,2.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,,
14015418,away,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,False,18.0,12.0,2.0,2.0,0.0,3.0,3.0,9.0,15.0,1.0,6.0,,,,,,,73.0,38.0,6.7,16.0,,"{'original': 6.7, 'alternative': 7.1}",2,-0.19,0.2,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,66.66666666666666,100.0,16.666666666666664,,,6.0,1.0,,5.0,4.0,2.0,2.0,,2.0,2.0,,,,1.0,1.0,2.0,-0.19,,1.0,,,1.0,1.0,,,1.0,,
14015418,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,18.0,15.0,2.0,,0.0,8.0,9.0,7.0,9.0,1.0,2.0,,,,,,,84.0,41.0,6.9,11.0,,"{'original': 6.9, 'alternative': 7.4}",4,-0.18,0.42,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,83.33333333333334,,,50.0,,2.0,1.0,1.0,5.0,7.0,2.0,2.0,,3.0,1.0,1.0,,,3.0,1.0,2.0,0.17,1.0,1.0,1.0,,,2.0,,,,,
14015418,away,1925,FK Vojvodina,1020116,Yusuf Bamidele,yusuf-bamidele,M,7,False,13.0,8.0,2.0,,1.0,1.0,2.0,7.0,11.0,,3.0,,,,,,,90.0,36.0,7.8,14.0,,"{'original': 7.8, 'alternative': 7.9}",5,0.01,0.88,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,61.53846153846154,,,100.0,,2.0,,1.0,6.0,7.0,2.0,2.0,,3.0,2.0,4.0,,,4.0,1.0,1.0,0.19,3.0,1.0,2.0,,,1.0,,1.0,,1.0,1.0
14015418,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,16.0,12.0,3.0,2.0,0.0,4.0,4.0,8.0,12.0,2.0,1.0,,,,,,,73.0,26.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.2}",2,-0.18,0.38,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,0,5,75.0,66.66666666666666,,,,,6.0,1.0,11.0,1.0,3.0,,,,,2.0,1.0,,3.0,,,0.68,,3.0,,,,2.0,,1.0,,1.0,
14015418,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,8.0,5.0,,,0.0,1.0,4.0,4.0,4.0,,3.0,,,,,,,17.0,9.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.7}",0,-0.38,0.02,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,62.5,,,100.0,,,,,2.0,1.0,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,
14015418,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,3.0,2.0,,,0.0,2.0,2.0,,1.0,,3.0,,,,,,,17.0,10.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.6}",2,-0.24,0.07,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,66.66666666666666,,,33.33333333333333,,,,,3.0,3.0,,3.0,,2.0,1.0,1.0,,,,2.0,,-0.08,,,1.0,,,,2.0,,,,
14015418,away,5150,FK Vojvodina,194450,Uroš Nikolić,uros-nikolic,M,10,True,3.0,1.0,1.0,,0.0,,1.0,1.0,2.0,,,,,,,,,8.0,5.0,7.0,3.0,,"{'original': 7, 'alternative': 6.7}",0,0.04,-0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,33.33333333333333,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,M,2,True,4.0,3.0,1.0,,0.0,,,3.0,4.0,,3.0,,,,,,,16.0,7.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.03,0.17,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,75.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015418,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
