match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,wasFouled,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,fouls,accurateCross,dispossessed,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,unsuccessfulTouch,keyPass,blockedScoringAttempt,goals,totalOffside,errorLeadToAShot
14015457,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,15.0,12.0,7.0,5.0,0.0,11.0,12.0,1.0,3.0,13.0,1.0,2.0,4.0,90.0,30.0,7.6,4.0,0.5218,"{'original': 7.6, 'alternative': 7}",0,0.02,-0.01,0.16,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,71.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,44.0,31.0,12.0,3.0,0.0,19.0,20.0,12.0,24.0,5.0,,,,90.0,70.0,7.6,14.0,,"{'original': 7.6, 'alternative': 8}",4,0.13,0.17,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,7,0,70.45454545454545,25.0,,,,1.0,2.0,3.0,2.0,10.0,4.0,10.0,3.0,6.0,5.0,1.0,-0.54,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,37.0,32.0,2.0,,0.0,18.0,20.0,14.0,17.0,2.0,,,,90.0,49.0,6.8,5.0,,"{'original': 6.8, 'alternative': 7}",0,0.09,0.11,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,2,3,86.48648648648648,,,100.0,,,2.0,6.0,5.0,8.0,,8.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,56.0,48.0,6.0,3.0,0.0,23.0,25.0,25.0,31.0,4.0,,,,90.0,68.0,6.8,10.0,,"{'original': 6.8, 'alternative': 7}",0,0.26,0.03,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,85.71428571428571,50.0,,,,1.0,3.0,1.0,5.0,4.0,,2.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,False,24.0,16.0,6.0,3.0,1.0,9.0,11.0,7.0,13.0,4.0,,,,90.0,53.0,7.1,20.0,,"{'original': 7.1, 'alternative': 7.9}",2,0.49,0.32,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,66.66666666666666,50.0,45.45454545454545,,,11.0,3.0,1.0,8.0,3.0,1.0,1.0,,2.0,2.0,,0.19,2.0,1.0,,,,5.0,2.0,1.0,1.0,1.0,1.0,5.0,,,,
14015457,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,53.0,45.0,1.0,,1.0,22.0,25.0,23.0,28.0,5.0,,,,90.0,64.0,6.9,12.0,,"{'original': 6.9, 'alternative': 7.2}",1,0.33,0.32,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,84.90566037735849,,,,,2.0,1.0,2.0,5.0,4.0,1.0,1.0,,1.0,1.0,1.0,-0.12,1.0,,,,2.0,,1.0,,,,1.0,3.0,,,,
14015457,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,27.0,22.0,3.0,,0.0,7.0,9.0,15.0,18.0,3.0,,,,73.0,45.0,6.9,10.0,,"{'original': 6.9, 'alternative': 7.1}",1,0.15,0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,5,1,81.48148148148148,,33.33333333333333,,,3.0,1.0,,2.0,5.0,,2.0,,4.0,3.0,1.0,0.0,,,,2.0,,1.0,1.0,,,,2.0,3.0,1.0,,,
14015457,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,M,33,False,31.0,21.0,4.0,1.0,0.0,10.0,13.0,11.0,18.0,3.0,,,,90.0,52.0,6.9,14.0,,"{'original': 6.9, 'alternative': 7}",1,0.32,-0.25,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,67.74193548387096,25.0,33.33333333333333,,,3.0,1.0,,4.0,2.0,,2.0,,1.0,,1.0,0.01,3.0,,,,,1.0,,,,1.0,2.0,2.0,,,,
14015457,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,F,77,False,33.0,23.0,5.0,3.0,0.0,4.0,6.0,19.0,27.0,7.0,,,,89.0,42.0,8.7,13.0,,"{'original': 8.7, 'alternative': 8.3}",3,0.27,0.28,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,0,6,69.6969696969697,60.0,,,,1.0,4.0,,10.0,,,2.0,,,,,0.9,2.0,,,,4.0,,,,,2.0,1.0,,1.0,2.0,,
14015457,home,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,16.0,11.0,1.0,,0.0,6.0,6.0,5.0,10.0,1.0,,,,73.0,26.0,5.9,9.0,,"{'original': 5.9, 'alternative': 6.5}",1,-0.28,-0.6,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,68.75,,,,,1.0,4.0,,7.0,1.0,,1.0,,1.0,1.0,,-0.06,1.0,,,,1.0,,1.0,,,1.0,2.0,,,,1.0,
14015457,home,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,F,25,False,14.0,7.0,4.0,2.0,0.0,3.0,4.0,4.0,10.0,5.0,,,,89.0,30.0,6.5,17.0,,"{'original': 6.5, 'alternative': 6.7}",3,0.1,0.29,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,50.0,50.0,,,,1.0,1.0,,7.0,3.0,1.0,,,,,3.0,-0.25,2.0,1.0,,,2.0,,1.0,,,1.0,7.0,,1.0,,1.0,
14015457,home,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,10.0,8.0,,,0.0,3.0,5.0,5.0,5.0,,,,,17.0,12.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.05,-0.06,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,80.0,,,,,,1.0,,3.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,
14015457,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,9.0,5.0,2.0,1.0,0.0,,1.0,5.0,8.0,2.0,,,,17.0,15.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.12,-0.19,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,55.55555555555556,50.0,,50.0,,,,3.0,2.0,5.0,,1.0,,,,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,1.0,2.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,True,,,,,0.0,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,20.0,14.0,11.0,5.0,0.0,12.0,12.0,2.0,8.0,7.0,,2.0,4.0,90.0,27.0,6.8,6.0,0.5503,"{'original': 6.8, 'alternative': 6.7}",0,0.04,0.01,-0.17,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,70.0,45.45454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,34.0,28.0,1.0,1.0,0.0,16.0,18.0,12.0,16.0,7.0,,,,90.0,71.0,6.9,15.0,,"{'original': 6.9, 'alternative': 7.1}",0,-0.08,0.27,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,6,1,82.35294117647058,100.0,,100.0,,2.0,,4.0,1.0,10.0,,4.0,,1.0,,3.0,,,2.0,2.0,3.0,,,1.0,,,,5.0,,,,,
14015457,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,73.0,62.0,12.0,4.0,0.0,54.0,56.0,8.0,17.0,1.0,,,,90.0,90.0,6.3,13.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.12,0.14,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,84.93150684931507,33.33333333333333,,75.0,,,1.0,2.0,4.0,6.0,,6.0,,1.0,1.0,,-0.05,,4.0,3.0,,2.0,,,,,,,,1.0,,,
