match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,fouls,keyPass,shotValueNormalized,challengeLost,totalTackle,wonTackle,blockedScoringAttempt,bigChanceCreated,unsuccessfulTouch,penaltyWon,totalOffside,penaltyConceded,penaltyMiss
14015474,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,33.0,20.0,27.0,14.0,0.0,15.0,19.0,5.0,14.0,1.0,1.0,1.0,12.0,1.0,2.0,5.0,1.0,1.0,9.0,1.0,90.0,48.0,9.7,13.0,2.7,"{'original': 9.7, 'alternative': 9}",0,0.09,-0.04,0.19,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,60.60606060606061,51.85185185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015474,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,D,17,False,28.0,18.0,6.0,4.0,0.0,6.0,11.0,12.0,17.0,1.0,2.0,2.0,7.0,,,,,,,,90.0,49.0,7.0,17.0,,"{'original': 7, 'alternative': 7.2}",2,0.27,0.16,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,64.28571428571429,66.66666666666666,50.0,25.0,,2.0,1.0,3.0,9.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.28,,,,,,,,,,
14015474,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,15.0,12.0,4.0,1.0,0.0,12.0,12.0,,3.0,1.0,8.0,6.0,5.0,1.0,,,,,,,90.0,34.0,7.0,3.0,,"{'original': 7, 'alternative': 6.9}",0,0.03,0.06,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,7,2,80.0,25.0,,,,,,,2.0,,,,,,,,,,1.0,,,1.0,6.0,3.0,,,,,,,
14015474,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,16.0,13.0,3.0,1.0,0.0,12.0,12.0,1.0,4.0,1.0,4.0,11.0,3.0,,,,,,,,90.0,36.0,7.0,5.0,,"{'original': 7, 'alternative': 7.2}",1,0.1,0.06,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,81.25,33.33333333333333,,,,,,2.0,4.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,0.02,,3.0,2.0,,,,,,,
14015474,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,17.0,13.0,4.0,2.0,0.0,11.0,12.0,2.0,5.0,1.0,1.0,5.0,1.0,,,,,,,,90.0,34.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.01,-0.02,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,76.47058823529412,50.0,,,,,,3.0,5.0,,,,,,,,1.0,6.0,2.0,,-0.1,,,,1.0,,,,,,
14015474,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,30.0,23.0,4.0,2.0,0.0,10.0,13.0,13.0,17.0,,1.0,6.0,9.0,,,,,,,,90.0,54.0,7.1,12.0,,"{'original': 7.1, 'alternative': 7.1}",0,0.45,0.17,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,76.66666666666667,50.0,100.0,100.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,3.0,,,,,,1.0,2.0,,,,
14015474,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,11.0,8.0,1.0,,0.0,3.0,4.0,5.0,7.0,1.0,3.0,1.0,4.0,,,,,,,,67.0,20.0,6.9,7.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.02,0.1,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,72.72727272727273,,,100.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,-0.13,1.0,1.0,,,,2.0,,,,
14015474,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,37.0,27.0,4.0,,0.0,18.0,22.0,9.0,15.0,4.0,6.0,4.0,7.0,,,,,,,,90.0,55.0,7.4,11.0,,"{'original': 7.4, 'alternative': 7}",1,0.22,0.11,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,72.97297297297297,,,,,,,1.0,2.0,,,,,1.0,,,1.0,3.0,1.0,,-0.08,,2.0,2.0,,,1.0,,,,
14015474,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,22.0,13.0,1.0,,0.0,5.0,9.0,8.0,13.0,3.0,8.0,2.0,3.0,5.0,,,,,,,90.0,41.0,6.9,13.0,,"{'original': 6.9, 'alternative': 7}",2,-0.13,0.28,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,59.09090909090909,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,2.0,-0.53,,,,2.0,,2.0,,,,
14015474,home,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,15.0,7.0,1.0,1.0,0.0,2.0,5.0,5.0,10.0,6.0,10.0,3.0,1.0,1.0,,,,,,,67.0,30.0,7.8,13.0,,"{'original': 7.8, 'alternative': 7.5}",1,0.0,0.36,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,4,1,46.666666666666664,100.0,,,,,,2.0,3.0,1.0,,,,,1.0,,,,,,-0.15,,3.0,2.0,,,4.0,1.0,,,
