match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,fouls,keyPass,dispossessed,wonTackle,blockedScoringAttempt,wasFouled,shotValueNormalized,accurateCross,bigChanceCreated,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,unsuccessfulTouch,outfielderBlock,errorLeadToAShot,totalOffside,goals,clearanceOffLine,goodHighClaim,hitWoodwork
14015461,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,35.0,28.0,12.0,5.0,0.0,27.0,30.0,1.0,5.0,3.0,6.0,2.0,4.0,1.0,90.0,44.0,7.4,7.0,0.7652,"{'original': 7.4, 'alternative': 6.9}",0,-0.01,-0.07,-0.15,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,41.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015461,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,51.0,42.0,4.0,2.0,0.0,18.0,22.0,24.0,29.0,1.0,6.0,,,,90.0,70.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.9}",0,0.09,0.23,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,82.35294117647058,50.0,,100.0,,2.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015461,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,62.0,53.0,5.0,1.0,0.0,40.0,44.0,13.0,18.0,4.0,9.0,,,,90.0,79.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.13,0.11,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,85.48387096774194,20.0,,50.0,,,1.0,2.0,4.0,4.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015461,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,52.0,49.0,2.0,,0.0,30.0,31.0,19.0,21.0,5.0,1.0,,,,84.0,62.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.18,0.07,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,94.23076923076923,,,,,,2.0,2.0,3.0,3.0,1.0,,,1.0,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,
14015461,home,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,37.0,31.0,1.0,1.0,1.0,13.0,15.0,18.0,22.0,1.0,1.0,,,,90.0,56.0,6.5,9.0,,"{'original': 6.5, 'alternative': 7.7}",2,0.17,0.17,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,83.78378378378379,100.0,33.33333333333333,100.0,,3.0,2.0,,4.0,4.0,1.0,2.0,2.0,,2.0,1.0,4.0,,2.0,,,0.08,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
14015461,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,15.0,13.0,1.0,1.0,0.0,5.0,6.0,8.0,9.0,1.0,4.0,,,,62.0,26.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.36,0.27,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,86.66666666666667,100.0,,,,,,1.0,3.0,3.0,,1.0,,,,1.0,,1.0,,,2.0,,,,,,,1.0,,,,,,,
14015461,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,32.0,29.0,5.0,4.0,0.0,16.0,17.0,13.0,15.0,,3.0,,,,45.0,41.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.07,0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,90.625,80.0,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
14015461,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,16.0,14.0,,,0.0,4.0,4.0,10.0,12.0,1.0,3.0,,,,90.0,38.0,7.2,10.0,,"{'original': 7.2, 'alternative': 6.9}",5,0.1,0.47,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,87.5,,,33.33333333333333,,3.0,,1.0,4.0,5.0,1.0,3.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,-0.66,,,,1.0,2.0,2.0,,,,,,,
14015461,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,40.0,32.0,6.0,4.0,0.0,9.0,10.0,23.0,30.0,,3.0,,,,90.0,63.0,7.0,16.0,,"{'original': 7, 'alternative': 7}",3,0.37,0.21,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,80.0,66.66666666666666,28.57142857142857,100.0,,7.0,,1.0,2.0,6.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,-0.42,2.0,,,,,2.0,,1.0,1.0,,,,
14015461,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,17.0,14.0,2.0,2.0,0.0,2.0,2.0,12.0,15.0,1.0,,,,,62.0,33.0,6.7,11.0,,"{'original': 6.7, 'alternative': 7.1}",1,-0.02,0.33,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,82.35294117647058,100.0,,50.0,,5.0,,,1.0,3.0,,2.0,1.0,,1.0,,3.0,,1.0,,1.0,-0.1,,,,,1.0,2.0,,,,,,,
14015461,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,22.0,18.0,1.0,1.0,0.0,9.0,10.0,9.0,12.0,,2.0,,,,80.0,35.0,7.0,11.0,,"{'original': 7, 'alternative': 7.3}",2,-0.18,0.19,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,0,3,81.81818181818183,100.0,,,,1.0,2.0,3.0,5.0,3.0,,1.0,,,,1.0,1.0,1.0,,,,0.28,,,,1.0,1.0,4.0,,,,1.0,,,
