match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalClearance,wasFouled,fouls,keyPass,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,outfielderBlock,totalContest,shotOffTarget,blockedScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,dispossessed,interceptionWon,wonContest,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,punches
14015606,home,362051,FK Čukarički,1165845,Ognjen Abramušić,ognjen-abramusic,M,33,True,1.0,,,,0.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,1457404,Emmanuel Dzigbah,emmanuel-dzigbah,M,42,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,home,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,28.0,11.0,22.0,5.0,0.0,8.0,15.0,3.0,13.0,9.0,1.0,2.0,,,90.0,35.0,6.3,18.0,92.550285494883,13.0,27.650561635661,0.0,0.2888,"{'original': 6.3, 'alternative': 5.8}",0,0.04,-0.05,-0.29,0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,39.285714285714285,22.727272727272727,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
14015606,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,38.0,28.0,5.0,4.0,0.0,21.0,24.0,7.0,14.0,8.0,,,,,90.0,51.0,6.3,13.0,92.0402581697,13.0,-28.062605865457,0.0,,"{'original': 6.3, 'alternative': 6.7}",0,0.04,0.07,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,73.68421052631578,80.0,,,,1.0,,,1.0,4.0,4.0,3.0,,3.0,,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
