player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Bogdan Kostić', 'firstName': 'Bogdan Kostic', 'slug': 'bogdan-kostic', 'shortName': 'B. Kostić', 'position': 'M', 'jerseyNumber': '99', 'userCount': 564, 'gender': 'M', 'id': 1584964, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان كوستيتش'}, 'shortNameTranslation': {'ar': 'ب. كوستيتش'}}}",True,save,fast-break,"{'x': 17.9, 'y': 41.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 5.1}","{'x': 7, 'y': 46.6, 'z': 0}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6708102,90,6.0,5711,"{'start': {'x': 41.3, 'y': 17.9}, 'block': {'x': 46.6, 'y': 7}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 94.9}}",1,589,311,shot,
"{'name': 'Nikola Kuveljić', 'firstName': '', 'lastName': '', 'slug': 'nikola-kuveljic', 'shortName': 'N. Kuveljić', 'position': 'M', 'jerseyNumber': '33', 'userCount': 34, 'gender': 'M', 'id': 948694, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا كوفيليتش', 'bn': 'নিকোলা কুভেলজিচ', 'hi': 'निकोला कुवेलजिक'}, 'shortNameTranslation': {'ar': 'ن. كوفيليتش', 'bn': 'এন. কুভেলজিক', 'hi': 'एन. कुवेलजिक'}}}",False,miss,set-piece,"{'x': 5.1, 'y': 41.1, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 58.8, 'z': 55.6}",,"{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6708062,90,3.0,5524,"{'start': {'x': 41.1, 'y': 5.1}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 44.4}}",1,776,124,shot,
"{'name': 'Aleksa Trajković', 'firstName': 'Aleksa Trajkovic', 'slug': 'aleksa-trajkovic', 'shortName': 'A. Trajković', 'position': 'M', 'jerseyNumber': '17', 'userCount': 22, 'gender': 'M', 'id': 1981794, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس تراجكوفيتش'}, 'shortNameTranslation': {'ar': 'أ. تراجكوفيتش'}}}",False,goal,fast-break,"{'x': 14.7, 'y': 56, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 7.6}",,"{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6707847,77,,4566,"{'start': {'x': 56, 'y': 14.7}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 92.4}}",14,834,1866,shot,regular
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,save,fast-break,"{'x': 9.2, 'y': 60.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 0.6}","{'x': 5.1, 'y': 56.5, 'z': 0}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6707828,76,,4546,"{'start': {'x': 60.3, 'y': 9.2}, 'block': {'x': 56.5, 'y': 5.1}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 99.4}}",15,854,1846,shot,
"{'name': 'Filip Holender', 'firstName': '', 'lastName': '', 'slug': 'filip-holender', 'shortName': 'F. Holender', 'position': 'D', 'jerseyNumber': '7', 'userCount': 137, 'gender': 'M', 'id': 315190, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب هولندي', 'bn': 'ফিলিপ হোলেন্ডার', 'hi': 'फ़िलिप होलेंडर'}, 'shortNameTranslation': {'ar': 'ف. هولندي', 'bn': 'এফ. হোলেন্ডার', 'hi': 'एफ. होलेंडर'}}}",False,block,assisted,"{'x': 18.5, 'y': 66.4, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 8.3}","{'x': 15.4, 'y': 63.9, 'z': 0}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6707806,74,,4425,"{'start': {'x': 66.4, 'y': 18.5}, 'block': {'x': 63.9, 'y': 15.4}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 91.7}}",17,975,1725,shot,
"{'name': 'Yohan Bilingi', 'firstName': '', 'lastName': '', 'slug': 'bilingi-yohan', 'shortName': 'Y. Bilingi', 'position': 'D', 'jerseyNumber': '28', 'userCount': 19, 'gender': 'M', 'id': 949370, 'fieldTranslations': {'nameTranslation': {'ar': 'يوهان بيلينغي'}, 'shortNameTranslation': {'ar': 'ي. بيلينغي'}}}",False,miss,regular,"{'x': 24.7, 'y': 37, 'z': 0}",right-foot,right,"{'x': 0, 'y': 0.5, 'z': 1.4}","{'x': 6.2, 'y': 89.4, 'z': 0}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6707805,74,,4387,"{'start': {'x': 37, 'y': 24.7}, 'block': {'x': 89.4, 'y': 6.2}, 'end': {'x': 99.5, 'y': 0}, 'goal': {'x': 99.5, 'y': 98.6}}",17,1013,1687,shot,
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,save,fast-break,"{'x': 23.2, 'y': 39.9, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.4, 'z': 25.3}","{'x': 3.3, 'y': 48.6, 'z': 0}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6707705,69,,4096,"{'start': {'x': 39.9, 'y': 23.2}, 'block': {'x': 48.6, 'y': 3.3}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 74.7}}",22,1304,1396,shot,
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,miss,fast-break,"{'x': 12.8, 'y': 64, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 50}",,"{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6707655,66,,3906,"{'start': {'x': 64, 'y': 12.8}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 50}}",25,1494,1206,shot,
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,save,assisted,"{'x': 26.6, 'y': 50.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 5.7}","{'x': 4.9, 'y': 49.1, 'z': 0}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6707654,65,,3859,"{'start': {'x': 50.1, 'y': 26.6}, 'block': {'x': 49.1, 'y': 4.9}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 94.3}}",26,1541,1159,shot,
"{'name': 'Filip Holender', 'firstName': '', 'lastName': '', 'slug': 'filip-holender', 'shortName': 'F. Holender', 'position': 'D', 'jerseyNumber': '7', 'userCount': 137, 'gender': 'M', 'id': 315190, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب هولندي', 'bn': 'ফিলিপ হোলেন্ডার', 'hi': 'फ़िलिप होलेंडर'}, 'shortNameTranslation': {'ar': 'ف. هولندي', 'bn': 'এফ. হোলেন্ডার', 'hi': 'एफ. होलेंडर'}}}",False,save,regular,"{'x': 7, 'y': 46.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 11.4}","{'x': 1.2, 'y': 48.2, 'z': 0}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6707906,64,,3789,"{'start': {'x': 46.6, 'y': 7}, 'block': {'x': 48.2, 'y': 1.2}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 88.6}}",27,1611,1089,shot,
