match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed
14147378,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,32.0,28.0,11.0,8.0,0.0,21.0,24.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,90.0,41.0,8.5,3.0,0.0,0.0,"{'original': 8.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,87.5,72.72727272727273,,,,,,,,
14147378,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,24.0,10.0,2.0,0.0,0.0,6.0,11.0,4.0,12.0,3.0,0.0,1.0,1.0,6.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,66.0,32.0,6.4,16.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,41.66666666666667,0.0,0.0,50.0,,,,,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,37.0,28.0,8.0,4.0,0.0,18.0,21.0,9.0,13.0,0.0,0.0,2.0,1.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,42.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,75.67567567567568,50.0,,,,,,,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,44.0,35.0,13.0,8.0,0.0,20.0,22.0,13.0,20.0,0.0,0.0,3.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,56.0,7.0,10.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,3,2,79.54545454545455,61.53846153846154,,,,,,,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,39.0,28.0,4.0,2.0,0.0,18.0,20.0,10.0,19.0,3.0,0.0,1.0,2.0,7.0,10.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,61.0,7.1,18.0,0.05,0.18,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,8,6,71.7948717948718,50.0,0.0,60.0,,1.0,1.0,,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,19.0,12.0,2.0,1.0,0.0,5.0,8.0,5.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,24.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,63.1578947368421,50.0,,,,,,,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,54.0,51.0,4.0,3.0,0.0,27.0,28.0,20.0,22.0,0.0,0.0,1.0,1.0,13.0,11.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,84.0,7.5,7.0,0.0,0.02,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,2,22,10,12,94.44444444444444,75.0,,100.0,,,1.0,,,
14147378,home,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,False,13.0,7.0,1.0,0.0,0.0,5.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,7.0,6.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,57.0,32.0,6.9,8.0,0.05,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,8,10,53.84615384615385,0.0,,85.71428571428571,,1.0,,1.0,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,False,26.0,17.0,2.0,2.0,0.0,6.0,9.0,11.0,17.0,1.0,0.0,2.0,0.0,14.0,7.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,57.0,43.0,6.4,13.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,2,19,7,12,65.38461538461539,100.0,0.0,42.857142857142854,,,,1.0,,
14147378,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,31.0,21.0,4.0,1.0,0.0,5.0,7.0,16.0,24.0,2.0,0.0,0.0,0.0,18.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,,77.0,58.0,5.9,15.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,0,23,5,18,67.74193548387096,25.0,0.0,33.33333333333333,,,,3.0,,
