match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,dispossessed,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotOffTarget,interceptionWon,unsuccessfulTouch,shotValueNormalized,challengeLost,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,accurateCross,bigChanceMissed,onTargetScoringAttempt,totalOffside,totalContest,wonContest,bigChanceCreated,goals
14015625,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,30.0,7.0,30.0,7.0,0.0,2.0,2.0,5.0,28.0,1.0,2.0,3.0,21.0,1.0,3.0,3.0,9.0,1.0,90.0,55.0,8.5,23.0,36.782925970892,5.0,11.85320956156,0.0,0.782,"{'original': 8.5, 'alternative': 8.6}",0,0.09,0.01,0.47,0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,23.333333333333332,23.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,D,17,False,8.0,3.0,4.0,,0.0,1.0,3.0,2.0,5.0,,,,2.0,,,,,,45.0,17.0,6.4,9.0,50.099095481593,5.0,20.026010158988,1.0,,"{'original': 6.4, 'alternative': 6.3}",0,-0.04,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,37.5,,,,,2.0,1.0,3.0,1.0,1.0,10.465467260052,15.74235865428,1.0,,,,,,,,,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,15.0,7.0,6.0,,0.0,6.0,7.0,1.0,8.0,2.0,3.0,6.0,1.0,2.0,,,,,90.0,30.0,6.5,10.0,,,,,,"{'original': 6.5, 'alternative': 6.8}",1,0.0,,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,46.666666666666664,,,,,,2.0,3.0,,1.0,,,,1.0,1.0,1.0,-0.25,,,,,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,18.0,14.0,6.0,3.0,0.0,11.0,11.0,3.0,7.0,2.0,3.0,7.0,2.0,1.0,,,,,90.0,38.0,7.1,5.0,50.715277039385,5.0,-27.619238519006,0.0,,"{'original': 7.1, 'alternative': 7.3}",1,0.07,0.01,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,77.77777777777779,50.0,,,,,2.0,4.0,,,,,,,4.0,1.0,-0.19,2.0,1.0,1.0,,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,11.0,9.0,1.0,,0.0,6.0,7.0,3.0,4.0,2.0,3.0,1.0,1.0,,,,,,35.0,14.0,5.8,2.0,17.161866955315,3.0,9.9984447138917,0.0,,"{'original': 5.8, 'alternative': 5.5}",0,0.0,0.02,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,81.81818181818183,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,False,22.0,11.0,12.0,3.0,0.0,6.0,10.0,5.0,12.0,1.0,5.0,5.0,4.0,1.0,,,,,90.0,38.0,6.5,13.0,22.679461966726,3.0,7.0745310276726,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.06,0.01,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,50.0,25.0,,,,2.0,,4.0,,1.0,,,,,,,,3.0,,,3.0,1.0,,,,,,,,
14015625,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,M,22,False,10.0,7.0,2.0,2.0,1.0,2.0,2.0,5.0,8.0,,,3.0,2.0,,,,,,90.0,30.0,5.8,10.0,48.442705492688,5.0,36.56636217062,1.0,,"{'original': 5.8, 'alternative': 6.1}",1,0.26,0.21,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,0,5,70.0,100.0,100.0,,,1.0,8.0,13.0,3.0,2.0,20.270774312327,26.129371136711,1.0,,,4.0,-0.32,,,,,,1.0,1.0,1.0,1.0,,,,
14015625,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,17.0,10.0,5.0,2.0,0.0,5.0,7.0,5.0,10.0,1.0,3.0,2.0,5.0,1.0,,,,,84.0,29.0,7.1,10.0,142.73193697744,7.0,43.952574319589,2.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.05,0.27,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,58.82352941176471,40.0,,,,2.0,1.0,1.0,,,27.228270986085,84.098820020269,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,
14015625,home,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,False,23.0,20.0,2.0,2.0,0.0,9.0,9.0,11.0,14.0,1.0,4.0,3.0,6.0,1.0,,,,,72.0,39.0,7.5,5.0,14.656502658418,2.0,8.975028062004,0.0,,"{'original': 7.5, 'alternative': 7.4}",0,0.26,0.01,0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,86.95652173913044,100.0,,100.0,,1.0,,,,,,,1.0,,5.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,
14015625,home,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,False,12.0,8.0,1.0,1.0,0.0,5.0,6.0,3.0,6.0,,4.0,2.0,5.0,2.0,,,,,89.0,36.0,8.2,17.0,143.71585897117,10.0,101.360310909,4.0,,"{'original': 8.2, 'alternative': 7.7}",2,0.28,0.33,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,66.66666666666666,100.0,14.285714285714285,50.0,,7.0,,3.0,1.0,,27.383474072447,93.314137075618,2.0,,1.0,3.0,0.5,1.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0
14015625,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,17.0,9.0,1.0,,0.0,6.0,9.0,3.0,8.0,1.0,2.0,,2.0,1.0,,,,,84.0,32.0,6.0,16.0,86.57496584806,8.0,20.97804499284,1.0,,"{'original': 6, 'alternative': 6.5}",1,-0.17,0.31,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,52.94117647058824,,,,,,6.0,9.0,3.0,,8.0739645565798,8.1895093870146,,,,5.0,-0.04,,,,,,,,1.0,1.0,,,,
14015625,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,6.0,2.0,,,0.0,,2.0,2.0,4.0,3.0,4.0,4.0,1.0,,,,,,45.0,20.0,6.8,8.0,11.424012344023,2.0,-1.4809987359737,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.0,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,33.33333333333333,,,100.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,
14015625,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,True,2.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,,1.0,,,,,,,18.0,6.0,6.6,1.0,3.4926816345038,1.0,-2.9951572934363,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.03,0.05,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
