match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,blockedScoringAttempt,shotOffTarget,dispossessed,hitWoodwork
14147322,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,42.0,33.0,4.0,2.0,0.0,22.0,24.0,11.0,18.0,3.0,0.0,1.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,56.0,5.8,15.0,0.0,0.0,"{'original': 5.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,78.57142857142857,50.0,0.0,,,,,,,
14147322,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,23.0,21.0,1.0,1.0,0.0,14.0,14.0,7.0,9.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,62.0,27.0,6.3,2.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,91.30434782608695,100.0,0.0,100.0,,,,,1.0,
14147322,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,71.0,63.0,5.0,2.0,0.0,43.0,44.0,19.0,25.0,3.0,1.0,1.0,2.0,17.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,14.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,,,,,,,90.0,94.0,7.0,11.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,3,23,7,16,88.73239436619718,40.0,33.33333333333333,100.0,,,,,2.0,
14147322,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,23.0,14.0,1.0,1.0,0.0,4.0,6.0,10.0,15.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,90.0,39.0,6.5,14.0,0.15,0.0,"{'original': 6.5, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,60.86956521739131,100.0,100.0,50.0,,,,1.0,1.0,
14147322,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,14.0,9.0,1.0,0.0,0.0,4.0,4.0,5.0,10.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,51.0,19.0,6.8,7.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,64.28571428571429,0.0,100.0,100.0,,,,,1.0,
14147322,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,27.0,19.0,1.0,1.0,0.0,7.0,8.0,10.0,17.0,4.0,0.0,0.0,0.0,5.0,12.0,1.0,8.0,6.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,72.0,54.0,7.3,12.0,0.0,0.05,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,0,17,12,5,70.37037037037037,100.0,0.0,75.0,,1.0,,,,
14147322,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,False,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,46.0,6.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,100.0,,,,,,,,1.0,
14147322,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,15.0,13.0,1.0,1.0,0.0,6.0,6.0,7.0,9.0,1.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,44.0,28.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,86.66666666666667,100.0,0.0,100.0,,,,,,
14147322,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,F,10,True,19.0,10.0,1.0,0.0,0.0,5.0,5.0,5.0,14.0,2.0,0.0,1.0,0.0,6.0,6.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,39.0,32.0,7.0,7.0,0.08,0.06,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,52.63157894736842,0.0,0.0,100.0,,1.0,,,1.0,
14147322,away,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,True,21.0,17.0,2.0,1.0,0.0,15.0,18.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,28.0,28.0,6.8,4.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,80.95238095238095,50.0,,,,,,,,
14147322,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,14.0,10.0,0.0,0.0,0.0,5.0,5.0,5.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,28.0,19.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,71.42857142857143,,,,,,,,,
14147322,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,18.0,8.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,,,,,
14147322,away,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147322,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147322,away,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147322,away,327162,Mladost DG,2444828,Gustavo Fabián López,gustavo-fabian-lopez,F,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
