match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,fouls,keyPass,shotValueNormalized,aerialLost,challengeLost,outfielderBlock,totalTackle,wasFouled,penaltyWon,totalCross,accurateCross,blockedScoringAttempt,wonTackle,penaltyConceded,shotOffTarget,bigChanceMissed,penaltyMiss,hitWoodwork,goals,goodHighClaim,penaltySave,lastManTackle,bigChanceCreated,totalOffside
14015433,home,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,27.0,23.0,5.0,2.0,0.0,21.0,22.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,90.0,31.0,6.7,4.0,0.3054,"{'original': 6.7, 'alternative': 6.8}",0,0.02,0.05,-0.13,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.18518518518519,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,45.0,35.0,7.0,5.0,0.0,15.0,18.0,20.0,27.0,4.0,4.0,,,,,90.0,66.0,6.6,16.0,,"{'original': 6.6, 'alternative': 7}",1,0.34,0.04,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,77.77777777777779,71.42857142857143,,100.0,,5.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.2,,,,,,,,,,,,,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,False,75.0,57.0,20.0,8.0,0.0,38.0,44.0,19.0,31.0,6.0,10.0,,,,,90.0,87.0,6.8,18.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.15,0.1,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,76.0,40.0,,,,1.0,3.0,1.0,,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,85.0,68.0,9.0,1.0,0.0,47.0,53.0,21.0,32.0,4.0,6.0,,,,,90.0,99.0,7.4,19.0,,"{'original': 7.4, 'alternative': 7.3}",0,0.18,0.45,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,80.0,11.11111111111111,,,,1.0,1.0,4.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,913382,Vladimir Vitorović,vladimir-vitorovic,D,3,False,59.0,46.0,7.0,2.0,0.0,25.0,29.0,21.0,30.0,2.0,4.0,,,,,90.0,95.0,6.0,18.0,,"{'original': 6, 'alternative': 6.8}",1,0.31,0.19,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,5,3,77.96610169491525,28.57142857142857,37.5,100.0,,2.0,6.0,7.0,,1.0,1.0,,3.0,,3.0,2.0,-0.12,3.0,1.0,1.0,3.0,1.0,,8.0,3.0,1.0,2.0,1.0,,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,False,38.0,24.0,3.0,,0.0,13.0,20.0,11.0,18.0,,3.0,,,,,69.0,55.0,6.7,16.0,,"{'original': 6.7, 'alternative': 7.1}",2,-0.1,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,9,11,7,4,63.1578947368421,,,75.0,,4.0,9.0,11.0,1.0,4.0,3.0,,2.0,,1.0,1.0,-0.53,5.0,1.0,,4.0,,,,,1.0,3.0,,1.0,,,,,,,,,
14015433,home,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,M,7,False,12.0,9.0,,,0.0,4.0,6.0,5.0,6.0,,1.0,,,,,45.0,17.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.24,0.27,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,75.0,,,,,,2.0,1.0,1.0,,,,,2.0,1.0,,-0.11,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,False,20.0,15.0,2.0,1.0,0.0,8.0,8.0,7.0,12.0,,7.0,,,,,70.0,31.0,6.4,10.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.12,0.19,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,75.0,50.0,,33.33333333333333,,1.0,8.0,3.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,-0.21,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,
14015433,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,56.0,50.0,1.0,1.0,1.0,22.0,22.0,28.0,34.0,,7.0,,,,,90.0,85.0,6.1,20.0,,"{'original': 6.1, 'alternative': 7.1}",1,0.45,0.2,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,89.28571428571429,100.0,18.181818181818183,100.0,,1.0,5.0,4.0,4.0,1.0,1.0,1.0,,1.0,,4.0,-0.89,,1.0,,1.0,1.0,,11.0,2.0,,,,,1.0,1.0,,,,,,,
14015433,home,241802,FK Spartak Subotica,1957203,Anđelko Pavlović,andjelko-pavlovic,M,11,False,13.0,7.0,,,0.0,3.0,3.0,4.0,10.0,,1.0,,,,,45.0,34.0,6.5,15.0,,"{'original': 6.5, 'alternative': 6.9}",1,-0.17,-0.12,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,53.84615384615385,,50.0,100.0,,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,5.0,,,0.09,1.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,
