minute,value
1.0,-5
2.0,-4
3.0,42
4.0,-43
5.0,19
6.0,17
7.0,5
8.0,-1
9.0,-95
10.0,-16
11.0,-15
12.0,-9
13.0,-6
14.0,34
15.0,23
16.0,9
17.0,16
18.0,-36
19.0,-18
20.0,-11
21.0,6
22.0,6
23.0,12
24.0,8
25.0,10
26.0,-25
27.0,-23
28.0,-14
29.0,-38
30.0,-28
31.0,-46
32.0,-28
33.0,-12
34.0,-1
35.0,5
36.0,4
37.0,7
38.0,3
39.0,11
40.0,6
41.0,-36
42.0,30
43.0,6
44.0,3
45.0,22
45.5,60
46.0,11
47.0,-30
48.0,66
49.0,81
50.0,49
51.0,-70
52.0,-48
53.0,-38
54.0,-67
55.0,-39
56.0,-13
57.0,-6
58.0,6
59.0,6
60.0,79
61.0,52
62.0,42
63.0,-35
64.0,-6
65.0,-9
66.0,11
67.0,24
68.0,19
69.0,17
70.0,-69
71.0,-46
72.0,-33
73.0,106
74.0,52
75.0,12
76.0,-10
77.0,-1
78.0,-8
79.0,-9
80.0,-3
81.0,41
82.0,24
83.0,15
84.0,-30
85.0,-2
86.0,46
87.0,26
88.0,16
89.0,7
90.0,84
90.5,-30
