player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Ilya Serikov', 'slug': 'ilya-serikov', 'shortName': 'I. Serikov', 'position': 'D', 'jerseyNumber': '5', 'userCount': 40, 'gender': 'M', 'id': 792102, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا سيريكوف'}, 'shortNameTranslation': {'ar': 'إ. سيريكوف'}}}",False,miss,corner,"{'x': 11, 'y': 57, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.5, 'z': 38.6}",0.09058,6552650,90,4.0,5620,"{'start': {'x': 57, 'y': 11}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 61.4}}",1,680,220,shot,,,
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,block,regular,"{'x': 15, 'y': 70, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01165,6552649,90,3.0,5576,"{'start': {'x': 70, 'y': 15}, 'block': {'x': 70, 'y': 15}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,724,176,shot,"{'x': 15, 'y': 70, 'z': 0}",,
"{'name': 'Miomir Đuričković', 'slug': 'miomir-durickovic', 'shortName': 'M. Đuričković', 'position': 'D', 'jerseyNumber': '4', 'userCount': 37, 'gender': 'M', 'id': 1030472, 'fieldTranslations': {'nameTranslation': {'ar': 'ميومير دوريتشكوفيتش', 'hi': 'मिओमिर ज़ुरिस्कोविक', 'bn': 'মিওমির ডুরিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. دوريتشكوفيتش', 'hi': 'एम. ज़ुरिस्कोविक', 'bn': 'এম. ডুরিচকোভিচ'}}}",False,miss,regular,"{'x': 19, 'y': 46, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.5, 'z': 38}",0.07977,6552648,87,,5171,"{'start': {'x': 46, 'y': 19}, 'end': {'x': 43.5, 'y': 0}, 'goal': {'x': 43.5, 'y': 62}}",4,229,2471,shot,,,
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,miss,regular,"{'x': 22, 'y': 63, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58, 'z': 44.8}",0.0507,6552647,86,,5112,"{'start': {'x': 63, 'y': 22}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 55.2}}",5,288,2412,shot,,,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,save,regular,"{'x': 34, 'y': 67, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 17.9}",0.01403,6552646,83,,4939,"{'start': {'x': 67, 'y': 34}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 82.1}}",8,461,2239,shot,,0.08586,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,save,regular,"{'x': 23, 'y': 33, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.5, 'z': 15.9}",0.06283,6552645,81,,4859,"{'start': {'x': 33, 'y': 23}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 84.1}}",10,541,2159,shot,,0.06155,
"{'name': 'Momčilo Raspopović', 'slug': 'momcilo-raspopovic', 'shortName': 'M. Raspopović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 41, 'gender': 'M', 'id': 138935, 'fieldTranslations': {'nameTranslation': {'ar': 'مومسيلو راسبوبوفيتش', 'hi': 'मोमचिलो रास्पोपोविक', 'bn': 'মোমচিলো রাস্পোপোভিচ'}, 'shortNameTranslation': {'ar': 'م. راسبوبوفيتش', 'hi': 'एम. रास्पोपोविक', 'bn': 'এম. রাস্পোপোভিচ'}}}",False,goal,corner,"{'x': 11, 'y': 60, 'z': 0}",head,low-left,"{'x': 0, 'y': 51.9, 'z': 4.4}",0.1243,6552644,59,,3499,"{'start': {'x': 60, 'y': 11}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 95.6}}",32,1901,799,shot,,0.4141,regular
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",True,miss,regular,"{'x': 32, 'y': 46, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.3, 'z': 47.7}",0.006789,6552643,56,,3346,"{'start': {'x': 46, 'y': 32}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 52.3}}",35,2054,646,shot,,,
"{'name': 'Lazar Mijović', 'slug': 'lazar-mijovic', 'shortName': 'L. Mijović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 36, 'gender': 'M', 'id': 1005616, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميوفيتش', 'hi': 'लज़ार मिजोविक', 'bn': 'লাজার মিজোভিচ'}, 'shortNameTranslation': {'ar': 'ل. ميوفيتش', 'hi': 'एल. मिजोविक', 'bn': 'এল. মিজোভিচ'}}}",False,save,regular,"{'x': 19, 'y': 30, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.5, 'z': 10.6}",0.05454,6552642,55,,3248,"{'start': {'x': 30, 'y': 19}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 89.4}}",36,2152,548,shot,,0.07556,
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",True,block,set-piece,"{'x': 7, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.6794,6552641,53,,3140,"{'start': {'x': 56, 'y': 7}, 'block': {'x': 56, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",38,2260,440,shot,"{'x': 7, 'y': 56, 'z': 0}",,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,post,set-piece,"{'x': 19, 'y': 28, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.9, 'z': 6}",0.02849,6552640,53,,3137,"{'start': {'x': 28, 'y': 19}, 'end': {'x': 55.1, 'y': 0}, 'goal': {'x': 55.1, 'y': 94}}",38,2263,437,shot,,,
