match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalTackle,wonTackle,possessionLostCtrl,keyPass,aerialWon,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,interceptionWon,unsuccessfulTouch,fouls,shotValueNormalized,wasFouled,dispossessed,totalOffside,bigChanceMissed,outfielderBlock,goodHighClaim,punches,clearanceOffLine
14015507,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,16.0,12.0,,,0.0,2.0,3.0,,,,,,,56.0,21.0,6.0,,"{'original': 6, 'alternative': 6.9}",2,-0.83,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,75.0,,,,,10.0,13.0,,,1.0,1.0,2.0,,,,,5.0,1.0,2.0,,,2.0,,,,,1.0,,-0.53,,,1.0,,,,,
14015507,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,True,32.0,26.0,2.0,1.0,0.0,7.0,8.0,2.0,2.0,,,,,45.0,50.0,6.3,,"{'original': 6.3, 'alternative': 6.7}",0,0.03,-0.11,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,81.25,50.0,12.5,100.0,,19.0,24.0,8.0,1.0,,,4.0,,1.0,,,13.0,,1.0,1.0,,,,,,,,,,2.0,,,,,,,
14015507,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,F,55,True,14.0,14.0,,,0.0,3.0,3.0,,2.0,,,,,35.0,25.0,6.9,,"{'original': 6.9, 'alternative': 7.1}",1,0.26,0.38,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,100.0,,66.66666666666666,100.0,,11.0,11.0,3.0,2.0,1.0,1.0,3.0,,2.0,1.0,,4.0,3.0,,2.0,,,,1.0,,1.0,2.0,,-0.27,,,,,,,,
14015507,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,7.0,5.0,,,0.0,2.0,2.0,,,,,,,34.0,14.0,6.5,,"{'original': 6.5, 'alternative': 7}",3,-0.35,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,71.42857142857143,,,50.0,,3.0,5.0,,,1.0,2.0,2.0,,2.0,,,4.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,-0.54,,,,1.0,,,,
14015507,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,True,24.0,22.0,1.0,,0.0,9.0,9.0,,1.0,,,,,34.0,27.0,6.7,,"{'original': 6.7, 'alternative': 6.6}",0,0.26,-0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,91.66666666666666,,100.0,,,13.0,15.0,1.0,1.0,,,1.0,,,,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,
14015507,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,5.0,4.0,,,0.0,1.0,1.0,,,,,,,12.0,6.0,6.5,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,0.08,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,,,,,3.0,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
14015507,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,28.0,17.0,18.0,8.0,0.0,12.0,16.0,1.0,13.0,4.0,6.0,,,90.0,44.0,7.8,0.6281,"{'original': 7.8, 'alternative': 7.7}",0,0.08,0.01,0.16,0.49,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,60.71428571428571,44.44444444444444,,,,5.0,12.0,,,,,1.0,,,,,11.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,
14015507,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,39.0,28.0,6.0,3.0,0.0,14.0,19.0,6.0,4.0,,,,,90.0,62.0,7.0,,"{'original': 7, 'alternative': 7.2}",0,0.0,-0.17,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,71.7948717948718,50.0,,100.0,,14.0,20.0,,,,4.0,3.0,2.0,1.0,2.0,1.0,15.0,,,1.0,,,,,,,,2.0,,,,,,2.0,,,
14015507,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,33.0,27.0,6.0,2.0,0.0,18.0,21.0,11.0,1.0,,,,,90.0,50.0,6.8,,"{'original': 6.8, 'alternative': 7}",0,0.17,0.03,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,81.81818181818183,33.33333333333333,,100.0,,9.0,12.0,,,3.0,5.0,3.0,2.0,1.0,,,6.0,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,
14015507,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,38.0,29.0,5.0,1.0,0.0,23.0,29.0,8.0,1.0,,,,,90.0,54.0,9.0,,"{'original': 9, 'alternative': 8.1}",2,0.08,0.03,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,76.31578947368422,20.0,,100.0,,6.0,9.0,,,1.0,2.0,2.0,1.0,1.0,,,9.0,,,1.0,,1.0,1.0,,1.0,,,,0.49,1.0,,,,2.0,,,1.0
14015507,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,29.0,20.0,3.0,,0.0,11.0,19.0,6.0,5.0,,,,,90.0,58.0,6.9,,"{'original': 6.9, 'alternative': 7.1}",0,0.08,0.05,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,68.96551724137932,,,,,9.0,10.0,,,,2.0,6.0,2.0,,5.0,2.0,14.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,
14015507,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,20.0,17.0,1.0,,1.0,12.0,13.0,5.0,4.0,,,,,59.0,35.0,7.1,,"{'original': 7.1, 'alternative': 7}",0,0.22,0.13,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,85.0,,,100.0,,5.0,7.0,,,,1.0,3.0,,2.0,,,4.0,1.0,1.0,2.0,,,,,,2.0,,1.0,,,,,,,,,
14015507,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,15.0,10.0,1.0,,0.0,7.0,8.0,1.0,1.0,,,,,59.0,23.0,6.3,,"{'original': 6.3, 'alternative': 6.5}",0,-0.1,-0.14,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,66.66666666666666,,,,,3.0,7.0,1.0,,1.0,5.0,2.0,,,2.0,2.0,7.0,,,,,,,,,,1.0,4.0,,,,,,,,,
14015507,away,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,48.0,37.0,5.0,3.0,0.0,25.0,30.0,2.0,7.0,,,,,89.0,62.0,8.0,,"{'original': 8, 'alternative': 7.3}",1,0.15,0.11,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,77.08333333333334,60.0,,50.0,,12.0,18.0,,,,3.0,5.0,1.0,2.0,,,14.0,,3.0,1.0,,,1.0,,1.0,,1.0,,0.55,1.0,1.0,,,,,,
14015507,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,26.0,20.0,4.0,2.0,1.0,9.0,11.0,1.0,4.0,,,,,90.0,37.0,7.4,,"{'original': 7.4, 'alternative': 7.1}",0,0.39,0.08,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.92307692307693,50.0,33.33333333333333,,,11.0,15.0,3.0,1.0,,,,,,,,12.0,1.0,,,,,,,,,4.0,,,,,,,,,,
14015507,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,17.0,10.0,2.0,1.0,0.0,4.0,7.0,1.0,4.0,,,,,75.0,37.0,6.6,,"{'original': 6.6, 'alternative': 6.9}",1,-0.06,0.15,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,58.82352941176471,50.0,,33.33333333333333,,6.0,10.0,1.0,,,3.0,3.0,1.0,3.0,2.0,1.0,14.0,,,1.0,,,1.0,,,2.0,3.0,,-0.08,,,1.0,,,,,
14015507,away,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,False,5.0,2.0,,,0.0,1.0,2.0,,2.0,,,,,60.0,16.0,6.2,,"{'original': 6.2, 'alternative': 6.3}",0,-0.12,0.04,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,40.0,,,,,1.0,3.0,,,3.0,7.0,4.0,,1.0,1.0,,9.0,,1.0,,,,,,,,3.0,1.0,,2.0,2.0,,,,,,
14015507,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,6.0,4.0,1.0,,1.0,,,1.0,,,,,,31.0,13.0,6.4,,"{'original': 6.4, 'alternative': 7.2}",1,0.33,0.28,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,66.66666666666666,,,,,4.0,6.0,1.0,,2.0,3.0,,,,,,5.0,1.0,,,1.0,,1.0,,,,2.0,1.0,-0.28,,,,,1.0,,,
14015507,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,F,8,True,15.0,13.0,2.0,2.0,0.0,5.0,6.0,1.0,2.0,,,,,31.0,19.0,6.6,,"{'original': 6.6, 'alternative': 6.7}",1,0.06,0.06,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,86.66666666666667,100.0,,,,8.0,9.0,,,2.0,4.0,2.0,1.0,,1.0,,3.0,2.0,1.0,,,,,1.0,,,1.0,1.0,0.01,,,,,,,,
14015507,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,9.0,7.0,,,0.0,2.0,2.0,,3.0,,,,,30.0,20.0,7.6,,"{'original': 7.6, 'alternative': 6.9}",1,-0.04,0.21,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,77.77777777777779,,100.0,33.33333333333333,,5.0,7.0,1.0,1.0,1.0,8.0,2.0,2.0,3.0,,,9.0,,,1.0,,,1.0,,1.0,,1.0,,0.51,1.0,3.0,,,,,,
14015507,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,1.0,,,,0.0,,,1.0,,,,,,15.0,3.0,6.5,,"{'original': 6.5, 'alternative': 6.5}",0,-0.08,0.08,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,
14015507,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,0.0,,,,,,,,,1.0,2.0,,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
14015507,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,353746,FK IMT Beograd,2237641,Vuk Borovic,vuk-borovic,G,1,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,308176,FK IMT Beograd,1894508,Siniša Popović,sinisa-popovic,D,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015507,away,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
