match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,clearanceOffLine,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,keyPass,shotValueNormalized,aerialLost,totalTackle,wonTackle,fouls,wonContest,accurateCross,challengeLost,onTargetScoringAttempt,goals,bigChanceMissed,bigChanceCreated,goodHighClaim,penaltyFaced,punches,penaltyConceded,totalOffside
14015482,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,21.0,12.0,16.0,8.0,0.0,9.0,12.0,3.0,9.0,1.0,10.0,3.0,4.0,1.0,1.0,90.0,30.0,7.1,9.0,0.5538,"{'original': 7.1, 'alternative': 7.6}",0,0.03,-0.03,0.19,0.45,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015482,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,50.0,39.0,9.0,4.0,0.0,14.0,17.0,25.0,33.0,,6.0,,,,,90.0,82.0,7.2,23.0,,"{'original': 7.2, 'alternative': 7.2}",2,0.18,0.03,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,78.0,44.44444444444444,,,,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,
14015482,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,False,21.0,18.0,3.0,2.0,0.0,14.0,15.0,4.0,6.0,10.0,4.0,,,,,90.0,40.0,7.1,3.0,,"{'original': 7.1, 'alternative': 7.3}",0,0.07,0.02,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,3,1,85.71428571428571,66.66666666666666,,,,,1.0,5.0,4.0,,,,,,1.0,1.0,,1.0,,,4.0,2.0,1.0,1.0,,,,,,,,,,,,
14015482,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,24.0,17.0,3.0,1.0,0.0,13.0,18.0,4.0,6.0,11.0,3.0,,,,,90.0,42.0,7.0,8.0,,"{'original': 7, 'alternative': 7.2}",0,-0.02,0.08,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,70.83333333333334,33.33333333333333,,100.0,,,2.0,2.0,5.0,,1.0,,,,2.0,,1.0,2.0,,,,,,2.0,1.0,,,,,,,,,,,
14015482,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,34.0,20.0,9.0,2.0,0.0,8.0,11.0,12.0,23.0,4.0,7.0,,,,,67.0,53.0,6.8,20.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.06,0.09,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,58.82352941176471,22.22222222222222,,,,,3.0,2.0,3.0,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
14015482,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,46.0,23.0,17.0,3.0,0.0,10.0,17.0,13.0,29.0,1.0,6.0,,,,,90.0,66.0,7.3,27.0,,"{'original': 7.3, 'alternative': 7.3}",1,0.29,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,8,3,50.0,17.647058823529413,33.33333333333333,100.0,,3.0,1.0,4.0,9.0,,2.0,,,,,3.0,2.0,1.0,,0.32,1.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,
14015482,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,24.0,17.0,,,0.0,3.0,3.0,14.0,21.0,1.0,1.0,,,,,90.0,59.0,6.5,24.0,,"{'original': 6.5, 'alternative': 6.8}",1,0.01,0.26,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,5,7,70.83333333333334,,11.11111111111111,40.0,,9.0,1.0,11.0,6.0,1.0,5.0,1.0,,,,,3.0,1.0,1.0,-0.53,4.0,2.0,,3.0,2.0,1.0,1.0,,,1.0,,,,,,
14015482,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,45.0,28.0,7.0,2.0,0.0,8.0,11.0,20.0,34.0,1.0,8.0,,,,,90.0,66.0,7.0,27.0,,"{'original': 7, 'alternative': 6.9}",1,0.4,0.05,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,2,5,62.22222222222222,28.57142857142857,20.0,,,5.0,4.0,7.0,6.0,2.0,,,1.0,,,3.0,4.0,1.0,1.0,0.02,2.0,1.0,,,,1.0,3.0,,,,,,,,,
14015482,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,20.0,11.0,,,0.0,6.0,8.0,5.0,12.0,1.0,5.0,,,,,58.0,36.0,6.4,16.0,,"{'original': 6.4, 'alternative': 6.9}",3,0.09,0.12,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,55.00000000000001,,50.0,,,2.0,4.0,7.0,5.0,2.0,1.0,,,,,1.0,2.0,,1.0,0.06,1.0,1.0,,1.0,,1.0,2.0,3.0,,,,,,,,
14015482,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,13.0,7.0,2.0,,0.0,4.0,8.0,3.0,5.0,,5.0,,,,,67.0,26.0,6.5,13.0,,"{'original': 6.5, 'alternative': 6.8}",1,0.31,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,53.84615384615385,,28.57142857142857,100.0,,7.0,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,,,,,
