player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,blockCoordinates,goalType
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,miss,regular,"{'x': 11, 'y': 39, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43.6, 'z': 48.8}",0.1265,6591691,39,,2298,"{'start': {'x': 39, 'y': 11}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 51.2}}",7,402,2298,shot,,,
"{'name': 'Danilo Bakić', 'firstName': 'Danilo Bakic', 'lastName': '', 'slug': 'danilo-bakic', 'shortName': 'D. Bakić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1187746, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو باكيش'}, 'shortNameTranslation': {'ar': 'د. باكيش'}}}",False,miss,corner,"{'x': 33, 'y': 47, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.3, 'z': 59.4}",0.01267,6591690,35,,2074,"{'start': {'x': 47, 'y': 33}, 'end': {'x': 57.7, 'y': 0}, 'goal': {'x': 57.7, 'y': 40.6}}",11,626,2074,shot,,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",False,block,regular,"{'x': 26, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.028,6591689,30,,1764,"{'start': {'x': 40, 'y': 26}, 'block': {'x': 40, 'y': 26}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,936,1764,shot,,"{'x': 26, 'y': 40, 'z': 0}",
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 17, 'y': 51, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1419,6591688,26,,1560,"{'start': {'x': 51, 'y': 17}, 'block': {'x': 51, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",20,1140,1560,shot,,"{'x': 17, 'y': 51, 'z': 0}",
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",False,save,regular,"{'x': 22, 'y': 43, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.9, 'z': 20.3}",0.05667,6591687,21,,1245,"{'start': {'x': 43, 'y': 22}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 79.7}}",25,1455,1245,shot,0.02994,,
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,block,regular,"{'x': 12, 'y': 69, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0812,6591686,19,,1125,"{'start': {'x': 69, 'y': 12}, 'block': {'x': 69, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1575,1125,shot,,"{'x': 12, 'y': 69, 'z': 0}",
"{'name': 'Aleksandar Šćekić', 'slug': 'aleksandar-scekic', 'shortName': 'A. Šćekić', 'position': 'M', 'jerseyNumber': '55', 'userCount': 232, 'gender': 'M', 'id': 836566, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر شيكيتش', 'hi': 'अलेक्जेंडर सेकिच', 'bn': 'আলেকসান্ডার স্কিকিচ'}, 'shortNameTranslation': {'ar': 'أ. شيكيتش', 'hi': 'ए. सेकिच', 'bn': 'এ. স্কিকিচ'}}}",True,save,regular,"{'x': 12, 'y': 41, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 19.5}",0.2033,6591685,19,,1117,"{'start': {'x': 41, 'y': 12}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 80.5}}",27,1583,1117,shot,0.177,,
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,goal,regular,"{'x': 9, 'y': 46, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.3, 'z': 22}",0.3224,6591684,17,,1000,"{'start': {'x': 46, 'y': 9}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 78}}",29,1700,1000,shot,0.3973,,regular
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 21, 'y': 54, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.08154,6591683,16,,943,"{'start': {'x': 54, 'y': 21}, 'block': {'x': 54, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",30,1757,943,shot,,"{'x': 21, 'y': 54, 'z': 0}",
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,save,regular,"{'x': 7, 'y': 78, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.6, 'z': 20.4}",0.01933,6591682,14,,824,"{'start': {'x': 78, 'y': 7}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 79.6}}",32,1876,824,shot,0.0134,,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,block,regular,"{'x': 24, 'y': 69, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.006593,6591681,14,,819,"{'start': {'x': 69, 'y': 24}, 'block': {'x': 69, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",32,1881,819,shot,,"{'x': 24, 'y': 69, 'z': 0}",
"{'name': 'Balša Tošković', 'firstName': '', 'lastName': '', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,miss,regular,"{'x': 10, 'y': 52, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.4, 'z': 24.3}",0.1459,6591680,13,,771,"{'start': {'x': 52, 'y': 10}, 'end': {'x': 58.6, 'y': 0}, 'goal': {'x': 58.6, 'y': 75.7}}",33,1929,771,shot,,,
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,save,regular,"{'x': 8, 'y': 55, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50, 'z': 37.4}",0.1487,6591679,10,,557,"{'start': {'x': 55, 'y': 8}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 62.6}}",36,2143,557,shot,0.4132,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",False,save,regular,"{'x': 23, 'y': 32, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 7.2}",0.04677,6591678,8,,466,"{'start': {'x': 32, 'y': 23}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 92.8}}",38,2234,466,shot,0.1875,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 11, 'y': 65, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1726,6591677,6,,333,"{'start': {'x': 65, 'y': 11}, 'block': {'x': 65, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2367,333,shot,,"{'x': 11, 'y': 65, 'z': 0}",
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,block,regular,"{'x': 27, 'y': 63, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.005493,6591676,3,,177,"{'start': {'x': 63, 'y': 27}, 'block': {'x': 63, 'y': 27}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",43,2523,177,shot,3.295e-05,"{'x': 27, 'y': 63, 'z': 0}",
"{'name': 'Balša Tošković', 'firstName': '', 'lastName': '', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,save,regular,"{'x': 15, 'y': 47, 'z': 0}",head,high-left,"{'x': 0, 'y': 54.2, 'z': 24.2}",0.07102,6591675,1,,46,"{'start': {'x': 47, 'y': 15}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 75.8}}",45,2654,46,shot,0.1685,,
