match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt,bigChanceMissed,hitWoodwork
14147408,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,48.0,40.0,18.0,10.0,0.0,35.0,37.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,90.0,52.0,7.9,7.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,55.55555555555556,,,,,,,,,
14147408,home,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,31.0,22.0,3.0,1.0,0.0,19.0,25.0,3.0,6.0,1.0,0.0,1.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,38.0,7.1,11.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,70.96774193548387,33.33333333333333,0.0,,,,,,,,
14147408,home,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,64.0,57.0,6.0,3.0,0.0,45.0,49.0,10.0,13.0,0.0,0.0,1.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,72.0,7.2,6.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,89.0625,50.0,,,,,,,,,
14147408,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,81.0,67.0,13.0,5.0,0.0,54.0,59.0,12.0,21.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,97.0,6.9,14.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,0,8,82.71604938271605,38.46153846153847,,,,1.0,1.0,,,,
14147408,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,34.0,27.0,3.0,0.0,0.0,21.0,24.0,5.0,8.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,90.0,38.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,79.41176470588235,0.0,0.0,,,,,,,,
14147408,home,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,False,11.0,8.0,0.0,0.0,0.0,5.0,5.0,3.0,6.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62.0,19.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,0,7,72.72727272727273,,0.0,,,1.0,,,,,
14147408,home,6216,OFK Petrovac,1187746,Danilo Bakić,danilo-bakic,M,8,False,54.0,43.0,9.0,4.0,0.0,32.0,35.0,11.0,19.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,63.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,79.62962962962963,44.44444444444444,,,,,,,,,
14147408,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,45.0,34.0,3.0,2.0,0.0,20.0,26.0,14.0,19.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,87.0,67.0,7.6,12.0,0.01,0.0,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,0,20,10,10,75.55555555555556,66.66666666666666,,100.0,,1.0,2.0,1.0,,,
14147408,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,14.0,9.0,3.0,2.0,1.0,3.0,3.0,6.0,11.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,73.0,23.0,6.5,8.0,0.0,0.29,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,64.28571428571429,66.66666666666666,,100.0,,2.0,1.0,,,,
14147408,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,F,17,False,13.0,10.0,1.0,0.0,0.0,7.0,10.0,3.0,3.0,0.0,0.0,2.0,0.0,9.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,73.0,34.0,7.2,11.0,0.29,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,76.92307692307693,0.0,,0.0,,,,,,,
