match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAGoal,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wasFouled,fouls,onTargetScoringAttempt,goals,wonTackle,unsuccessfulTouch,keyPass,accurateCross,blockedScoringAttempt,shotOffTarget,totalOffside,bigChanceCreated,savedShotsFromInsideTheBox,outfielderBlock
14015389,home,3115,FK TSC Bačka Topola,1132010,Veljko Ilić,veljko-ilic,G,12,False,28.0,15.0,18.0,5.0,0.0,11.0,13.0,4.0,15.0,2.0,9.0,1.0,4.0,1.0,90.0,37.0,6.2,13.0,"{'original': 6.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,53.57142857142857,27.77777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,29.0,26.0,1.0,1.0,0.0,14.0,15.0,12.0,14.0,4.0,4.0,,,,81.0,53.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,4,7,89.65517241379311,100.0,,50.0,,1.0,2.0,2.0,9.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,
14015389,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,52.0,44.0,9.0,4.0,0.0,27.0,30.0,17.0,22.0,3.0,5.0,,,,90.0,62.0,7.5,9.0,"{'original': 7.5, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,84.61538461538461,44.44444444444444,,,,,2.0,1.0,2.0,2.0,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,44.0,37.0,3.0,1.0,0.0,22.0,26.0,15.0,18.0,3.0,5.0,,,,56.0,56.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,84.0909090909091,33.33333333333333,,,,,,1.0,2.0,3.0,,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,
14015389,home,2505,FK TSC Bačka Topola,1146156,Viktor Radojević,viktor-radojevic,D,60,False,33.0,24.0,8.0,4.0,0.0,10.0,14.0,14.0,19.0,4.0,2.0,,,,90.0,66.0,7.0,16.0,"{'original': 7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,8,3,72.72727272727273,50.0,,50.0,,,2.0,1.0,5.0,9.0,,,2.0,1.0,,1.0,6.0,2.0,,,1.0,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,26.0,21.0,5.0,4.0,0.0,9.0,9.0,12.0,17.0,3.0,3.0,,,,69.0,44.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,6,3,80.76923076923077,80.0,,33.33333333333333,,,,,3.0,6.0,,,3.0,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,22.0,21.0,1.0,,0.0,3.0,3.0,18.0,19.0,1.0,3.0,,,,90.0,43.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,95.45454545454545,,100.0,,,1.0,,,4.0,3.0,,1.0,3.0,,,1.0,2.0,,1.0,1.0,,5.0,1.0,1.0,1.0,,,,,
14015389,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,29.0,22.0,2.0,2.0,0.0,8.0,9.0,14.0,20.0,,5.0,,,,81.0,44.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,7,2,75.86206896551724,100.0,,100.0,,2.0,,,2.0,7.0,1.0,,1.0,1.0,,1.0,5.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,
14015389,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,42.0,29.0,8.0,1.0,1.0,12.0,13.0,17.0,29.0,,6.0,,,,90.0,64.0,7.9,20.0,"{'original': 7.9, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,10,4,69.04761904761905,12.5,25.0,100.0,,4.0,1.0,,5.0,10.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,,,2.0,1.0,3.0,1.0,,,,1.0,,
14015389,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,27.0,22.0,,,0.0,7.0,7.0,15.0,20.0,,4.0,,,,90.0,50.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,81.48148148148148,,,,,1.0,3.0,2.0,8.0,6.0,1.0,2.0,2.0,,,2.0,2.0,1.0,,,2.0,6.0,,,1.0,2.0,2.0,,,
14015389,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,13.0,9.0,1.0,,1.0,3.0,3.0,6.0,10.0,,2.0,,,,69.0,22.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,69.23076923076923,,,,,,2.0,,3.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,4.0,,1.0,,1.0,1.0,,
14015389,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,7.0,6.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,,,,34.0,12.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,85.71428571428571,100.0,,,,,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,True,12.0,10.0,,,0.0,7.0,8.0,3.0,4.0,1.0,1.0,,,,21.0,16.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,83.33333333333334,,,,,,,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,6.0,4.0,,,0.0,,,4.0,6.0,,2.0,,,,21.0,13.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,66.66666666666666,,,,,,1.0,,5.0,1.0,,2.0,,,,1.0,,2.0,,,,2.0,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,9.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,
14015389,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,True,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,9.0,5.0,6.6,,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,377973,FK TSC Bačka Topola,1124028,Mateja Đorđević,mateja-dordevic,D,25,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,home,2040,FK TSC Bačka Topola,1497358,Miloš Jovičić,milos-jovicic,F,24,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,18.0,9.0,12.0,3.0,0.0,9.0,10.0,,8.0,,9.0,,1.0,,90.0,25.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015389,away,241802,FK Radnički Niš,121590,Marko Petković,marko-petkovic,D,33,False,30.0,19.0,4.0,,0.0,7.0,9.0,12.0,21.0,2.0,5.0,,,,60.0,43.0,6.0,15.0,"{'original': 6, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,63.33333333333333,,,,,,2.0,1.0,5.0,3.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,
14015389,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,43.0,36.0,5.0,2.0,0.0,20.0,23.0,16.0,20.0,5.0,8.0,,,,90.0,52.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,83.72093023255815,40.0,,,,,,3.0,3.0,4.0,,1.0,,,,,1.0,2.0,,,,1.0,,,,,,,,
14015389,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,31.0,20.0,12.0,3.0,0.0,12.0,16.0,8.0,15.0,4.0,4.0,,,,90.0,43.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,64.51612903225806,25.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0
14015389,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,30.0,20.0,5.0,,0.0,14.0,23.0,6.0,7.0,,5.0,,,,90.0,52.0,6.2,15.0,"{'original': 6.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,66.66666666666666,,,,,1.0,,,4.0,2.0,2.0,,,,1.0,2.0,,2.0,,,1.0,1.0,,,,,1.0,,,1.0
14015389,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,32.0,22.0,3.0,,0.0,7.0,10.0,15.0,22.0,2.0,3.0,,,,90.0,47.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,68.75,,,,,,,3.0,5.0,8.0,,,,,1.0,5.0,,5.0,,,5.0,,1.0,,,1.0,,,,1.0
14015389,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,24.0,18.0,1.0,,0.0,4.0,6.0,14.0,18.0,,2.0,,,,71.0,33.0,6.2,10.0,"{'original': 6.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,75.0,,,,,1.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,
14015389,away,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,27.0,20.0,1.0,,0.0,11.0,11.0,9.0,16.0,,,,,,60.0,41.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,74.07407407407408,,50.0,,,2.0,1.0,,4.0,3.0,,2.0,1.0,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,
14015389,away,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,9.0,6.0,,,0.0,1.0,2.0,5.0,7.0,,4.0,,,,59.0,22.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,66.66666666666666,,,100.0,,1.0,2.0,,4.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,,,,,,,,
14015389,away,2108,FK Radnički Niš,1472951,David Ewemade,ewemade-david,F,17,False,11.0,7.0,,,0.0,1.0,2.0,6.0,9.0,,1.0,,,,71.0,29.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,7,7,63.63636363636363,,,,,1.0,,2.0,7.0,9.0,1.0,2.0,,,,5.0,2.0,4.0,,,3.0,7.0,,,,,2.0,,,
14015389,away,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,False,26.0,18.0,,,0.0,8.0,11.0,10.0,15.0,,3.0,,,,90.0,42.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,69.23076923076923,,,,,1.0,,2.0,4.0,7.0,1.0,1.0,,,1.0,1.0,4.0,2.0,1.0,,1.0,,,,,1.0,1.0,,,
14015389,away,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,,,,,31.0,10.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,0,5,66.66666666666666,,,,,,3.0,1.0,8.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,2.0,,,,,,,,
14015389,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,14.0,11.0,1.0,,0.0,2.0,3.0,9.0,11.0,,,,,,30.0,23.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,78.57142857142857,,,,,2.0,1.0,,4.0,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,
14015389,away,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,True,21.0,16.0,1.0,1.0,0.0,4.0,4.0,12.0,17.0,1.0,2.0,,,,30.0,36.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,76.19047619047619,100.0,100.0,66.66666666666666,,1.0,1.0,1.0,4.0,4.0,,1.0,3.0,2.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,
14015389,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,6.0,6.0,,,0.0,3.0,3.0,3.0,3.0,,1.0,,,,19.0,9.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,100.0,,,,,,,,2.0,2.0,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,
14015389,away,40261,FK Radnički Niš,844332,Jovan Nišić,jovan-nisic,M,45,True,19.0,16.0,1.0,,0.0,6.0,7.0,10.0,12.0,,1.0,,,,19.0,26.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,84.21052631578947,,100.0,50.0,,2.0,,,2.0,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,2.0,,,,,,
14015389,away,934583,FK Radnički Niš,920009,Simon Amin,simon-amin,M,19,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,2198963,Luka Stanković,luka-stankovic,D,41,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015389,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
