match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,shotValueNormalized,aerialLost,aerialWon,challengeLost,outfielderBlock,fouls,totalTackle,shotOffTarget,wonTackle,dispossessed,bigChanceCreated,onTargetScoringAttempt,goals,keyPass,accurateCross,bigChanceMissed,hitWoodwork,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015426,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,10.0,6.0,,,0.0,3.0,3.0,7.0,1.0,,,,45.0,18.0,7.4,8.0,,"{'original': 7.4, 'alternative': 7.3}",2,-0.33,0.27,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,60.0,,,,,3.0,,,2.0,,,,,4.0,,0.59,,1.0,,,,1.0,,,,,2.0,1.0,,,1.0,,,,
14015426,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,19.0,16.0,4.0,2.0,0.0,8.0,10.0,9.0,,1.0,,,45.0,27.0,6.3,5.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.17,0.03,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,84.21052631578947,50.0,,,,8.0,1.0,2.0,2.0,,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,,,,,
14015426,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,3.0,2.0,,,0.0,1.0,1.0,2.0,,,,,45.0,12.0,7.3,3.0,,"{'original': 7.3, 'alternative': 7.1}",3,-0.04,0.28,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,66.66666666666666,,,,,1.0,,4.0,1.0,,,1.0,,1.0,1.0,0.45,1.0,,2.0,,,,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,,
14015426,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,9.0,8.0,3.0,2.0,0.0,1.0,2.0,7.0,,1.0,,,21.0,12.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.2}",0,0.22,-0.55,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,88.88888888888889,66.66666666666666,,,,7.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,4.0,4.0,,,0.0,3.0,3.0,1.0,,,,,9.0,4.0,6.7,,,"{'original': 6.7, 'alternative': 6.5}",0,-0.01,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,7.0,6.0,,,0.0,2.0,2.0,5.0,,,,,4.0,7.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
14015426,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,251278,FK Partizan,801067,Aldo Kalulu,aldo-kalulu,F,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,25.0,17.0,12.0,4.0,0.0,16.0,22.0,3.0,1.0,9.0,1.0,2.0,90.0,37.0,5.3,8.0,0.4053,"{'original': 5.3, 'alternative': 5.8}",0,0.0,-0.08,-0.48,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,68.0,33.33333333333333,,,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
14015426,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,41.0,35.0,7.0,6.0,0.0,20.0,22.0,19.0,5.0,3.0,,,90.0,60.0,6.1,8.0,,"{'original': 6.1, 'alternative': 6.3}",1,0.26,-0.53,-0.86,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,85.36585365853658,85.71428571428571,,,,15.0,1.0,5.0,7.0,1.0,,,,,1.0,-0.34,,2.0,2.0,,2.0,4.0,1.0,2.0,,,,,,,,,,,
14015426,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,42.0,37.0,5.0,4.0,0.0,23.0,24.0,18.0,4.0,4.0,,,90.0,57.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.34,0.1,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,88.09523809523809,80.0,,50.0,,14.0,,2.0,4.0,2.0,1.0,,1.0,1.0,,,1.0,,,2.0,,3.0,,1.0,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,37.0,36.0,,,0.0,27.0,28.0,9.0,3.0,,,,63.0,46.0,5.9,2.0,,"{'original': 5.9, 'alternative': 6.2}",0,0.01,0.03,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,97.2972972972973,,,,,9.0,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,44.0,35.0,2.0,,0.0,22.0,25.0,19.0,4.0,1.0,,,90.0,66.0,5.7,15.0,,"{'original': 5.7, 'alternative': 6}",1,-0.11,0.2,-0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,6,3,79.54545454545455,,,75.0,,13.0,,3.0,6.0,4.0,3.0,,,3.0,1.0,0.0,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,26.0,22.0,,,0.0,6.0,7.0,19.0,,4.0,,,90.0,48.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.19,0.39,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,4,9,84.61538461538461,,16.666666666666664,50.0,,16.0,6.0,9.0,4.0,4.0,2.0,,2.0,2.0,1.0,,,,1.0,,3.0,1.0,,1.0,3.0,1.0,,,3.0,1.0,,,,,
14015426,away,229348,FK IMT Beograd,1516066,Irfan Zulfić,irfan-zulfic,M,80,False,20.0,18.0,1.0,,0.0,7.0,7.0,13.0,,2.0,,,45.0,27.0,6.3,5.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.21,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,90.0,,,,,11.0,,2.0,1.0,1.0,,,,2.0,1.0,0.14,,,,,1.0,,,,,,1.0,,1.0,,,,,,
14015426,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,33.0,31.0,1.0,,0.0,12.0,12.0,21.0,2.0,4.0,,,90.0,55.0,7.0,5.0,,"{'original': 7, 'alternative': 7.2}",0,-0.02,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,8,2,93.93939393939394,,,100.0,,19.0,3.0,2.0,8.0,1.0,1.0,,3.0,,,,,,1.0,1.0,1.0,7.0,,4.0,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,30.0,25.0,3.0,2.0,1.0,12.0,13.0,17.0,4.0,1.0,,,90.0,52.0,6.4,10.0,,"{'original': 6.4, 'alternative': 6.7}",1,0.26,-0.08,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,83.33333333333334,66.66666666666666,,50.0,,13.0,1.0,8.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,,1.0,4.0,1.0,3.0,1.0,,1.0,,1.0,,,1.0,,,,,,
14015426,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,False,13.0,8.0,,,0.0,2.0,2.0,11.0,,2.0,,,73.0,30.0,6.7,9.0,,"{'original': 6.7, 'alternative': 7}",2,-0.01,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,61.53846153846154,,,,,6.0,,4.0,6.0,,,,2.0,4.0,3.0,0.07,2.0,2.0,,,2.0,1.0,,,,,2.0,,,,1.0,,,,
14015426,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,False,13.0,11.0,,,0.0,4.0,4.0,9.0,,3.0,,,45.0,26.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.11,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,84.61538461538461,,,100.0,,7.0,,3.0,3.0,1.0,1.0,1.0,,3.0,,-0.51,1.0,1.0,,,,1.0,,1.0,2.0,,,,2.0,,,,,,
14015426,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,F,8,True,19.0,17.0,1.0,1.0,0.0,7.0,7.0,12.0,,1.0,,,45.0,23.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.7}",1,0.06,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,89.47368421052632,100.0,,,,10.0,,4.0,1.0,,,,,1.0,,-0.35,,,1.0,,3.0,1.0,,1.0,,,1.0,,,,,,,,
14015426,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,7.0,4.0,,,0.0,3.0,3.0,4.0,,2.0,,,45.0,10.0,7.4,4.0,,"{'original': 7.4, 'alternative': 7.2}",1,-0.31,0.28,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,57.14285714285714,,,,,1.0,,4.0,2.0,,,,,1.0,1.0,0.51,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,,,,,
14015426,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,14.0,13.0,2.0,2.0,0.0,7.0,7.0,7.0,1.0,1.0,,,27.0,19.0,6.8,1.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.07,0.08,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,92.85714285714286,100.0,,100.0,,6.0,,1.0,2.0,2.0,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
14015426,away,264201,FK IMT Beograd,103157,Alen Stevanović,alen-stevanovic,F,21,True,9.0,7.0,,,0.0,2.0,2.0,7.0,,2.0,,,17.0,11.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",1,-0.12,0.01,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,77.77777777777779,,,,,5.0,,,1.0,,,1.0,,,,-0.08,,,,,,1.0,,1.0,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,M,16,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1894508,Siniša Popović,sinisa-popovic,D,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,away,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
