match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,shotValueNormalized,aerialLost,aerialWon,challengeLost,outfielderBlock,fouls,totalTackle,shotOffTarget,wonTackle,dispossessed,bigChanceCreated,onTargetScoringAttempt,goals,keyPass,accurateCross,bigChanceMissed,hitWoodwork,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015426,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,False,27.0,21.0,9.0,3.0,0.0,21.0,23.0,4.0,1.0,8.0,4.0,4.0,90.0,39.0,7.2,6.0,0.8457,"{'original': 7.2, 'alternative': 7.3}",0,0.03,-0.02,0.16,0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,35.0,33.0,2.0,2.0,0.0,22.0,22.0,13.0,2.0,5.0,,,81.0,55.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.04,0.15,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,94.28571428571428,100.0,,50.0,,11.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,0.01,,,,,,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,63.0,52.0,5.0,3.0,0.0,37.0,43.0,20.0,,3.0,,,90.0,69.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.22,0.1,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,82.53968253968253,60.0,,,,15.0,,4.0,2.0,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,63.0,59.0,6.0,4.0,0.0,38.0,41.0,22.0,6.0,6.0,,,90.0,77.0,7.4,4.0,,"{'original': 7.4, 'alternative': 7.1}",1,0.4,0.11,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,93.65079365079364,66.66666666666666,,,,21.0,,3.0,4.0,,,1.0,1.0,,2.0,-0.5,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
14015426,home,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,27.0,25.0,5.0,3.0,0.0,17.0,18.0,9.0,2.0,2.0,,,45.0,42.0,7.2,4.0,,"{'original': 7.2, 'alternative': 7}",0,0.07,-0.12,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,92.5925925925926,60.0,,,,8.0,2.0,,4.0,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,
14015426,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,58.0,46.0,3.0,1.0,0.0,26.0,32.0,26.0,4.0,2.0,,,90.0,78.0,6.9,13.0,,"{'original': 6.9, 'alternative': 7.1}",1,0.25,-0.02,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,79.3103448275862,33.33333333333333,,,,20.0,,4.0,7.0,,,,2.0,1.0,1.0,-0.12,2.0,2.0,1.0,,1.0,4.0,1.0,2.0,,,,,,,,,,,
14015426,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,21.0,18.0,,,1.0,8.0,9.0,12.0,,2.0,,,86.0,42.0,10.0,11.0,,"{'original': 10, 'alternative': 9.1}",3,0.75,0.52,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,5,8,85.71428571428571,,,33.33333333333333,,10.0,,8.0,5.0,3.0,1.0,1.0,,5.0,2.0,0.93,,,3.0,1.0,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0,,,,,,
14015426,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,52.0,46.0,2.0,2.0,1.0,24.0,26.0,26.0,,14.0,,,90.0,75.0,9.3,12.0,,"{'original': 9.3, 'alternative': 8.6}",4,0.67,0.48,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,7,7,88.46153846153845,100.0,100.0,25.0,,22.0,2.0,7.0,7.0,8.0,2.0,2.0,,,5.0,0.47,,,1.0,,1.0,,,,,3.0,2.0,1.0,4.0,2.0,,,,,
14015426,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,False,30.0,22.0,5.0,3.0,1.0,8.0,10.0,20.0,,1.0,,,69.0,38.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.37,0.04,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,73.33333333333333,60.0,50.0,,,14.0,2.0,5.0,,3.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,4.0,1.0,,,,,
14015426,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,25.0,21.0,2.0,1.0,1.0,9.0,10.0,15.0,1.0,2.0,,,90.0,50.0,7.2,13.0,,"{'original': 7.2, 'alternative': 7.4}",1,0.26,0.39,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,11,7,84.0,50.0,,57.14285714285714,,12.0,1.0,9.0,11.0,7.0,4.0,1.0,,4.0,4.0,-0.29,2.0,,1.0,,2.0,3.0,,2.0,1.0,,,,2.0,,,,,,
