player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,save,assisted,"{'x': 27.2, 'y': 50.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.4, 'z': 3.8}","{'x': 2, 'y': 50.4, 'z': 0}",5450484,36,2142,"{'start': {'x': 50.1, 'y': 27.2}, 'block': {'x': 50.4, 'y': 2}, 'end': {'x': 53.6, 'y': 0}, 'goal': {'x': 53.6, 'y': 96.2}}",10,558,2142,shot,
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",False,save,assisted,"{'x': 12.3, 'y': 51.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 5.7}","{'x': 4.5, 'y': 50, 'z': 0}",5450477,33,1961,"{'start': {'x': 51.3, 'y': 12.3}, 'block': {'x': 50, 'y': 4.5}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 94.3}}",13,739,1961,shot,
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,goal,assisted,"{'x': 3.6, 'y': 64.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 17.1}",,5450326,28,1622,"{'start': {'x': 64.6, 'y': 3.6}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 82.9}}",18,1078,1622,shot,regular
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",False,save,assisted,"{'x': 7.3, 'y': 48.1, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 6.3}","{'x': 1.9, 'y': 49.5, 'z': 0}",5450325,27,1566,"{'start': {'x': 48.1, 'y': 7.3}, 'block': {'x': 49.5, 'y': 1.9}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 93.7}}",19,1134,1566,shot,
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,block,assisted,"{'x': 19.2, 'y': 53.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 19}","{'x': 15.5, 'y': 52.7, 'z': 0}",5450320,25,1454,"{'start': {'x': 53.2, 'y': 19.2}, 'block': {'x': 52.7, 'y': 15.5}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 81}}",21,1246,1454,shot,
"{'name': 'Nikola Krstić', 'firstName': '', 'lastName': '', 'slug': 'nikola-krstic', 'shortName': 'N. Krstić', 'position': 'M', 'jerseyNumber': '25', 'userCount': 68, 'gender': 'M', 'id': 1481264, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا كريستيتش'}, 'shortNameTranslation': {'ar': 'ن. كريستيتش'}}}",False,block,corner,"{'x': 21.2, 'y': 60.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.4, 'z': 19}","{'x': 19.9, 'y': 60.2, 'z': 0}",5450314,23,1350,"{'start': {'x': 60.7, 'y': 21.2}, 'block': {'x': 60.2, 'y': 19.9}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 81}}",23,1350,1350,shot,
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,goal,regular,"{'x': 14.4, 'y': 67.7, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 5.1}",,5450279,21,1229,"{'start': {'x': 67.7, 'y': 14.4}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 94.9}}",25,1471,1229,shot,regular
"{'name': 'Yanis Karabelyov', 'slug': 'yanis-karabelyov', 'shortName': 'Y. Karabelyov', 'position': 'M', 'jerseyNumber': '28', 'userCount': 368, 'gender': 'M', 'id': 286121, 'fieldTranslations': {'nameTranslation': {'ar': 'يانيس كاربيلوف', 'bn': 'ইয়ানিস কারাবেলিভ', 'hi': 'यानिस काराबेल्योव'}, 'shortNameTranslation': {'ar': 'ي. كاربيلوف', 'bn': 'ওয়াই. কারাবেলিয়ভ', 'hi': 'वाई. काराबेल्योव'}}}",True,miss,corner,"{'x': 12.3, 'y': 53, 'z': 0}",head,close-right,"{'x': 0, 'y': 42, 'z': 25}",,5450267,17,962,"{'start': {'x': 53, 'y': 12.3}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 75}}",29,1738,962,shot,
"{'name': 'Jovan Milošević', 'firstName': 'Jovan Milosevic', 'lastName': '', 'slug': 'jovan-milosevic', 'shortName': 'J. Milošević', 'position': 'F', 'jerseyNumber': '7', 'userCount': 2321, 'gender': 'M', 'id': 1154491, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان ميلوسيفيتش', 'bn': 'জোভান মিলোসেভিচ', 'hi': 'जोवन मिलोसेवीक'}, 'shortNameTranslation': {'ar': 'ي. ميلوسيفيتش', 'bn': 'জে. মিলোসেভিচ', 'hi': 'जे. मिलोसेवीक'}}}",True,save,assisted,"{'x': 14.1, 'y': 48.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.6, 'z': 1.3}","{'x': 5.8, 'y': 49.5, 'z': 0}",5450256,16,918,"{'start': {'x': 48.1, 'y': 14.1}, 'block': {'x': 49.5, 'y': 5.8}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 98.7}}",30,1782,918,shot,
"{'name': 'Miloš Jović', 'firstName': 'Miloš Jović', 'slug': 'milos-jovic', 'shortName': 'M. Jović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 102, 'gender': 'M', 'id': 1516067, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش يوفتيش'}, 'shortNameTranslation': {'ar': 'م. يوفتيش'}}}",False,block,corner,"{'x': 4.7, 'y': 56.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 19}","{'x': 3.9, 'y': 56.1, 'z': 0}",5450248,12,717,"{'start': {'x': 56.9, 'y': 4.7}, 'block': {'x': 56.1, 'y': 3.9}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 81}}",34,1983,717,shot,
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,block,assisted,"{'x': 15.1, 'y': 62.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 19}","{'x': 12.4, 'y': 59.6, 'z': 0}",5450186,7,379,"{'start': {'x': 62.2, 'y': 15.1}, 'block': {'x': 59.6, 'y': 12.4}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 81}}",39,2321,379,shot,
"{'name': 'Marko Luković', 'firstName': 'Marko Lukovic', 'lastName': '', 'slug': 'marko-lukovic', 'shortName': 'M. Luković', 'position': 'D', 'jerseyNumber': '24', 'userCount': 13, 'gender': 'M', 'id': 1142784, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو لوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. لوكوفيتش'}}}",False,miss,assisted,"{'x': 3, 'y': 65.2, 'z': 0}",right-foot,left,"{'x': 0, 'y': 69.9, 'z': 23.6}",,5450185,6,336,"{'start': {'x': 65.2, 'y': 3}, 'end': {'x': 30.1, 'y': 0}, 'goal': {'x': 30.1, 'y': 76.4}}",40,2364,336,shot,
"{'name': 'Irfan Zulfić', 'firstName': 'Irfan Zulfić', 'slug': 'irfan-zulfic', 'shortName': 'I. Zulfić', 'position': 'M', 'jerseyNumber': '80', 'userCount': 17, 'gender': 'M', 'id': 1516066, 'fieldTranslations': {'nameTranslation': {'ar': 'إيرفان زولفيتش'}, 'shortNameTranslation': {'ar': 'إ. زولفيتش'}}}",False,save,assisted,"{'x': 13.8, 'y': 48.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 1.9}","{'x': 1.9, 'y': 49.5, 'z': 0}",5450177,2,67,"{'start': {'x': 48.1, 'y': 13.8}, 'block': {'x': 49.5, 'y': 1.9}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 98.1}}",44,2633,67,shot,
