match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceMissed,blockedScoringAttempt,keyPass,shotOffTarget,bigChanceCreated,dispossessed,penaltyWon,savedShotsFromInsideTheBox,penaltyConceded,hitWoodwork
14147352,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,37.0,31.0,13.0,8.0,0.0,23.0,25.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90.0,40.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.78378378378379,61.53846153846154,,,0.0,,,,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,D,17,False,51.0,41.0,6.0,2.0,0.0,21.0,24.0,19.0,26.0,4.0,2.0,2.0,1.0,10.0,9.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,71.0,7.5,17.0,0.78,0.03,"{'original': 7.5, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,8,8,80.3921568627451,33.33333333333333,50.0,50.0,,1.0,2.0,1.0,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,69.0,65.0,6.0,4.0,0.0,44.0,45.0,20.0,22.0,0.0,0.0,2.0,2.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,,,,,,90.0,84.0,6.7,4.0,0.12,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,94.20289855072464,66.66666666666666,,100.0,,,,,1.0,,,,,,
14147352,home,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,73.0,61.0,8.0,2.0,0.0,40.0,46.0,19.0,25.0,0.0,0.0,1.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,82.0,7.3,11.0,0.0,0.46,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,83.56164383561644,25.0,,,,,,1.0,,1.0,,,,,
14147352,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,57.0,47.0,7.0,4.0,0.0,24.0,26.0,20.0,27.0,3.0,1.0,2.0,2.0,16.0,5.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,90.0,75.0,6.3,10.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,3,14,82.45614035087719,57.14285714285714,33.33333333333333,50.0,,,,1.0,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,1606673,Lazar Savović,lazar-savovic,M,22,False,51.0,48.0,5.0,5.0,0.0,16.0,16.0,31.0,34.0,1.0,0.0,0.0,0.0,10.0,5.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,77.0,7.8,3.0,0.09,0.48,"{'original': 7.8, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,5,10,94.11764705882352,100.0,0.0,100.0,,,2.0,3.0,2.0,,,,,,
14147352,home,5148,FK Budućnost Podgorica,1005616,Lazar Mijović,lazar-mijovic,M,88,False,29.0,21.0,3.0,1.0,0.0,3.0,5.0,18.0,24.0,1.0,0.0,0.0,0.0,13.0,7.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,83.0,52.0,8.1,9.0,0.79,0.0,"{'original': 8.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,0,20,7,13,72.41379310344827,33.33333333333333,0.0,100.0,,,,,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,30.0,26.0,2.0,1.0,0.0,8.0,8.0,17.0,21.0,1.0,0.0,1.0,2.0,7.0,6.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,73.0,45.0,7.0,8.0,0.5,0.0,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,4,6,86.66666666666667,50.0,0.0,100.0,,1.0,1.0,,,,1.0,,,,
14147352,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,22.0,14.0,1.0,1.0,0.0,,2.0,13.0,19.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,66.0,33.0,6.8,14.0,0.46,0.01,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,63.63636363636363,100.0,0.0,100.0,,1.0,,1.0,1.0,,2.0,,,,
14147352,home,5143,FK Budućnost Podgorica,357712,Zoran Petrović,zoran-petrovic,M,25,False,22.0,14.0,1.0,1.0,0.0,6.0,6.0,7.0,14.0,2.0,0.0,0.0,2.0,6.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,73.0,37.0,7.3,12.0,0.24,0.03,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,63.63636363636363,100.0,0.0,50.0,,,,1.0,2.0,,1.0,1.0,,,
