match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,dispossessed,blockedScoringAttempt,keyPass,penaltyConceded,penaltyWon
14147363,home,5143,FK Budućnost Podgorica,357712,Zoran Petrović,zoran-petrovic,F,25,False,21.0,17.0,2.0,2.0,0.0,4.0,4.0,17.0,2.0,1.0,0.0,0.0,4.0,9.0,0.0,5.0,5.0,,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,72.0,30.0,7.3,6.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,9,4,80.95238095238095,100.0,50.0,100.0,,13.0,,,,,,
14147363,home,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,True,20.0,18.0,4.0,4.0,0.0,8.0,8.0,11.0,0.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,45.0,25.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,90.0,100.0,,,,9.0,1.0,,,,1.0,
14147363,home,241802,FK Budućnost Podgorica,128761,Igor Ivanović,igor-ivanovic,F,7,True,10.0,3.0,3.0,2.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,32.0,17.0,6.6,6.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,30.0,66.66666666666666,0.0,100.0,,2.0,,,,,,
14147363,home,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,F,11,True,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,18.0,8.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,75.0,,0.0,50.0,,1.0,,,,,,
14147363,home,241802,FK Budućnost Podgorica,1871041,Matija Jovanovic,matija-jovanovic,M,99,True,7.0,6.0,0.0,0.0,0.0,,,7.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,18.0,8.0,6.4,1.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,85.71428571428571,,,,,6.0,,,,,,
14147363,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,home,287219,FK Budućnost Podgorica,1976041,Lazar Popović,lazar-popovic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,home,5143,FK Budućnost Podgorica,2081029,Matija Rakcevic,matija-rakcevic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,home,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,F,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,36.0,28.0,16.0,9.0,0.0,22.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,90.0,43.0,7.4,12.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,56.25,,,,5.0,2.0,,,,,
14147363,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,29.0,24.0,3.0,1.0,0.0,9.0,9.0,16.0,2.0,1.0,2.0,2.0,10.0,7.0,0.0,3.0,2.0,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,43.0,7.0,7.0,0.0,0.13,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,5,8,82.75862068965517,33.33333333333333,50.0,66.66666666666666,,12.0,1.0,1.0,,1.0,,
14147363,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,46.0,37.0,5.0,2.0,0.0,28.0,32.0,12.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,,0.0,0.0,4.0,0.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,56.0,7.3,9.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,80.43478260869566,40.0,,100.0,,7.0,5.0,,,,,
