player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Darije Markočević', 'firstName': 'Darije Markocevic', 'slug': 'darije-markocevic', 'shortName': 'D. Markočević', 'position': 'F', 'jerseyNumber': '49', 'userCount': 62, 'gender': 'M', 'id': 1544668, 'fieldTranslations': {'nameTranslation': {'ar': 'داريا ماركوفيتش'}, 'shortNameTranslation': {'ar': 'د. ماركوفيتش'}}}",False,miss,assisted,"{'x': 13.5, 'y': 44.4, 'z': 0}",head,high,"{'x': 0, 'y': 51.9, 'z': 62.5}",5961898,90,11.0,6037,"{'start': {'x': 44.4, 'y': 13.5}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 37.5}}",1,263,637,shot,,
"{'name': 'Darije Markočević', 'firstName': 'Darije Markocevic', 'slug': 'darije-markocevic', 'shortName': 'D. Markočević', 'position': 'F', 'jerseyNumber': '49', 'userCount': 62, 'gender': 'M', 'id': 1544668, 'fieldTranslations': {'nameTranslation': {'ar': 'داريا ماركوفيتش'}, 'shortNameTranslation': {'ar': 'د. ماركوفيتش'}}}",False,miss,assisted,"{'x': 13.3, 'y': 50.1, 'z': 0}",head,right,"{'x': 0, 'y': 35.6, 'z': 11.1}",5961908,90,10.0,5960,"{'start': {'x': 50.1, 'y': 13.3}, 'block': {'x': 54.2, 'y': 7.9}, 'end': {'x': 64.4, 'y': 0}, 'goal': {'x': 64.4, 'y': 88.9}}",1,340,560,shot,"{'x': 7.9, 'y': 54.2, 'z': 0}",
"{'name': 'David Stojanović', 'slug': 'david-stojanovic', 'shortName': 'D. Stojanović', 'position': 'D', 'jerseyNumber': '6', 'userCount': 16, 'gender': 'M', 'id': 1215907, 'fieldTranslations': {'nameTranslation': {'ar': 'ديفيد ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستويانوفيتش'}}}",False,miss,assisted,"{'x': 34.7, 'y': 68.7, 'z': 0}",right-foot,right,"{'x': 0, 'y': 36.1, 'z': 23.6}",5961779,89,,5282,"{'start': {'x': 68.7, 'y': 34.7}, 'end': {'x': 63.9, 'y': 0}, 'goal': {'x': 63.9, 'y': 76.4}}",2,118,2582,shot,,
"{'name': 'Milan Ilić', 'firstName': 'Milan Ilić', 'slug': 'ilic-milan', 'shortName': 'M. Ilic', 'position': 'D', 'jerseyNumber': '2', 'userCount': 21, 'gender': 'M', 'id': 1124030, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان إيليتش'}, 'shortNameTranslation': {'ar': 'م. إيليتش'}}}",True,miss,corner,"{'x': 25.4, 'y': 54.6, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 42.2, 'z': 63.9}",5961758,87,,5198,"{'start': {'x': 54.6, 'y': 25.4}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 36.1}}",4,202,2498,shot,,
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",False,miss,corner,"{'x': 20, 'y': 70.1, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 58.2, 'z': 65.3}",5961710,80,,4784,"{'start': {'x': 70.1, 'y': 20}, 'end': {'x': 41.8, 'y': 0}, 'goal': {'x': 41.8, 'y': 34.7}}",11,616,2084,shot,,
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",False,save,assisted,"{'x': 16.4, 'y': 34.2, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48, 'z': 5.1}",5961982,76,,4518,"{'start': {'x': 34.2, 'y': 16.4}, 'block': {'x': 49.1, 'y': 1.2}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 94.9}}",15,882,1818,shot,"{'x': 1.2, 'y': 49.1, 'z': 0}",
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,miss,assisted,"{'x': 6.3, 'y': 40.7, 'z': 0}",right-foot,left,"{'x': 0, 'y': 61.2, 'z': 29.2}",5961663,74,,4415,"{'start': {'x': 40.7, 'y': 6.3}, 'end': {'x': 38.8, 'y': 0}, 'goal': {'x': 38.8, 'y': 70.8}}",17,985,1715,shot,,
"{'name': 'Luka Puzovic', 'firstName': 'Luka Puzovic', 'lastName': '', 'slug': 'luka-puzovic', 'shortName': 'L. Puzovic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 11, 'gender': 'M', 'id': 1166090, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا بوزوفيتش'}, 'shortNameTranslation': {'ar': 'ل. بوزوفيتش'}}}",False,miss,assisted,"{'x': 11.7, 'y': 30.5, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.2, 'z': 36.1}",5961588,65,,3875,"{'start': {'x': 30.5, 'y': 11.7}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 63.9}}",26,1525,1175,shot,,
"{'name': 'Aleksandar Pejović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-pejovic', 'shortName': 'A. Pejović', 'position': 'M', 'jerseyNumber': '28', 'userCount': 45, 'gender': 'M', 'id': 804662, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر بيجوفيتش', 'bn': 'আলেকসান্ডার পেজোভিচ', 'hi': 'एलेक्ज़ेंडर पेजोविक'}, 'shortNameTranslation': {'ar': 'أ. بيجوفيتش', 'bn': 'এ. পেজোভিচ', 'hi': 'ए. पेजोविक'}}}",False,block,corner,"{'x': 15.1, 'y': 37.8, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46, 'z': 19}",5961999,64,,3813,"{'start': {'x': 37.8, 'y': 15.1}, 'block': {'x': 44.6, 'y': 8.8}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 81}}",27,1587,1113,shot,"{'x': 8.8, 'y': 44.6, 'z': 0}",
"{'name': 'Bayere Loue', 'firstName': '', 'lastName': '', 'slug': 'bayere-loue', 'shortName': 'B. Loue', 'position': 'F', 'jerseyNumber': '27', 'userCount': 74, 'gender': 'M', 'id': 972802, 'fieldTranslations': {'nameTranslation': {'ar': 'باير لو'}, 'shortNameTranslation': {'ar': 'ب. لو'}}}",True,goal,fast-break,"{'x': 6.9, 'y': 52.3, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 49.1, 'z': 22.8}",5961542,58,,3477,"{'start': {'x': 52.3, 'y': 6.9}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 77.2}}",33,1923,777,shot,,regular
