minute,value
1.0,-4
2.0,-9
3.0,-7
4.0,7
5.0,-4
6.0,13
7.0,39
8.0,86
9.0,55
10.0,64
11.0,46
12.0,21
13.0,1
14.0,-28
15.0,21
16.0,7
17.0,-15
18.0,8
19.0,10
20.0,11
21.0,1
22.0,-3
23.0,-39
24.0,-17
25.0,-4
26.0,14
27.0,-23
28.0,10
29.0,18
30.0,5
31.0,-3
32.0,51
33.0,44
34.0,25
35.0,-18
36.0,6
37.0,5
38.0,6
39.0,-21
40.0,22
41.0,56
42.0,24
43.0,2
44.0,-9
45.0,-1
45.5,-24
46.0,6
47.0,50
48.0,28
49.0,15
50.0,25
51.0,47
52.0,24
53.0,24
54.0,22
55.0,50
56.0,14
57.0,8
58.0,3
59.0,20
60.0,8
61.0,5
62.0,30
63.0,8
64.0,-25
65.0,-58
66.0,-42
67.0,-37
68.0,-28
69.0,-18
70.0,-4
71.0,-13
72.0,-4
73.0,5
74.0,5
75.0,-26
76.0,-25
77.0,-66
78.0,-86
79.0,-67
80.0,-96
81.0,-65
82.0,-39
83.0,-24
84.0,-16
85.0,-9
86.0,-14
87.0,42
88.0,18
89.0,-56
90.0,-36
90.5,-29
