match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,keyPass,hitWoodwork,bigChanceCreated,bigChanceMissed
14147368,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,22.0,18.0,12.0,10.0,0.0,9.0,12.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,90.0,31.0,6.8,2.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,81.81818181818183,83.33333333333334,,,0.0,,,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,24.0,13.0,9.0,4.0,0.0,4.0,6.0,8.0,15.0,2.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,74.0,29.0,6.7,15.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,1,7,54.166666666666664,44.44444444444444,50.0,,,,,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,31.0,26.0,5.0,3.0,0.0,19.0,20.0,4.0,6.0,0.0,0.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,,,90.0,37.0,7.1,7.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,0,5,83.87096774193549,60.0,,,,,,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,29.0,22.0,8.0,4.0,0.0,16.0,16.0,3.0,8.0,0.0,0.0,2.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,,,,,,,90.0,33.0,6.6,5.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,75.86206896551724,50.0,,,,,,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,31.0,22.0,4.0,1.0,0.0,11.0,14.0,9.0,13.0,3.0,0.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,78.0,40.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,70.96774193548387,25.0,0.0,100.0,,1.0,,,,,,
14147368,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,M,19,False,21.0,13.0,5.0,4.0,0.0,6.0,7.0,6.0,11.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,83.0,26.0,6.8,9.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,61.904761904761905,80.0,,,,1.0,1.0,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,24.0,14.0,3.0,1.0,0.0,4.0,4.0,7.0,12.0,1.0,0.0,2.0,2.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,33.0,7.0,9.0,0.06,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,1,7,58.333333333333336,33.33333333333333,0.0,,,1.0,,1.0,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,24.0,17.0,4.0,2.0,0.0,4.0,6.0,13.0,17.0,2.0,0.0,1.0,0.0,11.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,90.0,38.0,6.7,10.0,0.01,0.04,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,4,10,70.83333333333334,50.0,0.0,50.0,,1.0,1.0,,1.0,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,29.0,14.0,6.0,1.0,0.0,5.0,7.0,9.0,21.0,2.0,1.0,2.0,1.0,18.0,13.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,83.0,50.0,6.7,20.0,0.07,0.1,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",31,3,28,12,16,48.275862068965516,16.666666666666664,50.0,71.42857142857143,,1.0,1.0,,1.0,,,
14147368,home,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,False,19.0,14.0,1.0,1.0,0.0,4.0,6.0,10.0,13.0,1.0,0.0,5.0,1.0,12.0,6.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,74.0,36.0,6.9,10.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,5,7,73.68421052631578,100.0,0.0,100.0,,1.0,,,1.0,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,17.0,14.0,1.0,1.0,0.0,4.0,4.0,10.0,12.0,1.0,0.0,9.0,10.0,12.0,14.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,,,,,,90.0,31.0,7.0,16.0,0.1,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,19,7,4,3,82.35294117647058,100.0,0.0,50.0,,1.0,1.0,,,,,
14147368,home,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,16.0,10.0,6.9,4.0,0.07,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,50.0,,0.0,66.66666666666666,,,1.0,,,1.0,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,M,9,True,3.0,2.0,0.0,0.0,0.0,,1.0,2.0,2.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,16.0,8.0,5.9,3.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,0,7,66.66666666666666,,,,,2.0,,,,,,
14147368,home,6220,FK Jedinstvo Bijelo Polje,1005748,Veljko Radenović,veljko-radenovic,D,3,True,9.0,8.0,1.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,12.0,14.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,88.88888888888889,100.0,0.0,66.66666666666666,,,,,,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,True,6.0,5.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,6.0,6.6,3.0,0.0,0.07,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,83.33333333333334,100.0,,,,,,,1.0,,,
14147368,home,6219,FK Jedinstvo Bijelo Polje,1166154,Mladen Kovačević,mladen-kovacevic,M,7,True,6.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,10.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,100.0,0.0,0.0,,,,,,,,
