player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Dušan Pantelić', 'firstName': '', 'lastName': '', 'slug': 'dusan-pantelic', 'shortName': 'D. Pantelić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 11, 'gender': 'M', 'id': 98458, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان بانتليتش'}, 'shortNameTranslation': {'ar': 'د. بانتليتش'}}}",True,save,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48, 'z': 5.7}","{'x': 1.1, 'y': 49.8, 'z': 0}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6928066,90,7.0,5770,"{'start': {'x': 50, 'y': 11.5}, 'block': {'x': 49.8, 'y': 1.1}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 94.3}}",1,530,370,shot
"{'name': 'Đorđe Skoko', 'slug': 'dorde-skoko', 'shortName': 'Đ. Skoko', 'position': 'D', 'jerseyNumber': '26', 'userCount': 52, 'gender': 'M', 'id': 1468253, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي سكوكو'}, 'shortNameTranslation': {'ar': 'د. سكوكو'}}}",True,block,assisted,"{'x': 11.4, 'y': 35, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 19}","{'x': 9.9, 'y': 36.8, 'z': 0}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6927954,82,,4885,"{'start': {'x': 35, 'y': 11.4}, 'block': {'x': 36.8, 'y': 9.9}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 81}}",9,515,2185,shot
"{'name': 'Anes Rušević', 'firstName': '', 'lastName': '', 'slug': 'anes-rusevic', 'shortName': 'A. Rušević', 'position': 'F', 'jerseyNumber': '11', 'userCount': 51, 'gender': 'M', 'id': 796184, 'fieldTranslations': {'nameTranslation': {'ar': 'أنس روتشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. روتشيفيتش'}}}",False,block,assisted,"{'x': 20, 'y': 38, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.6, 'z': 11.1}","{'x': 16.2, 'y': 39, 'z': 0}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6927953,81,,4848,"{'start': {'x': 38, 'y': 20}, 'block': {'x': 39, 'y': 16.2}, 'end': {'x': 45.4, 'y': 0}, 'goal': {'x': 45.4, 'y': 88.9}}",10,552,2148,shot
"{'name': 'Anes Rušević', 'firstName': '', 'lastName': '', 'slug': 'anes-rusevic', 'shortName': 'A. Rušević', 'position': 'F', 'jerseyNumber': '11', 'userCount': 51, 'gender': 'M', 'id': 796184, 'fieldTranslations': {'nameTranslation': {'ar': 'أنس روتشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. روتشيفيتش'}}}",False,miss,corner,"{'x': 8.3, 'y': 62.4, 'z': 0}",left-foot,left,"{'x': 0, 'y': 92.8, 'z': 22.2}","{'x': 3.8, 'y': 0, 'z': 0}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6927952,81,,4818,"{'start': {'x': 62.4, 'y': 8.3}, 'block': {'x': 0, 'y': 3.8}, 'end': {'x': 7.2, 'y': 0}, 'goal': {'x': 7.2, 'y': 77.8}}",10,582,2118,shot
"{'name': 'Anes Rušević', 'firstName': '', 'lastName': '', 'slug': 'anes-rusevic', 'shortName': 'A. Rušević', 'position': 'F', 'jerseyNumber': '11', 'userCount': 51, 'gender': 'M', 'id': 796184, 'fieldTranslations': {'nameTranslation': {'ar': 'أنس روتشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. روتشيفيتش'}}}",False,block,corner,"{'x': 8.5, 'y': 62.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.7, 'z': 19}","{'x': 4.8, 'y': 58.5, 'z': 0}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6927951,81,,4817,"{'start': {'x': 62.6, 'y': 8.5}, 'block': {'x': 58.5, 'y': 4.8}, 'end': {'x': 53.3, 'y': 0}, 'goal': {'x': 53.3, 'y': 81}}",10,583,2117,shot
"{'name': 'Zoran Alilović', 'slug': 'zoran-alilovic', 'shortName': 'Z. Alilović', 'position': 'M', 'jerseyNumber': '31', 'userCount': 229, 'gender': 'M', 'id': 1493919, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران أليلوفيتش'}, 'shortNameTranslation': {'ar': 'ز. أليلوفيتش'}}}",False,save,assisted,"{'x': 10.1, 'y': 47, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.9, 'z': 24.7}","{'x': 1.1, 'y': 48.6, 'z': 0}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6927928,80,,4768,"{'start': {'x': 47, 'y': 10.1}, 'block': {'x': 48.6, 'y': 1.1}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 75.3}}",11,632,2068,shot
"{'name': 'Driton Camaj', 'slug': 'driton-camaj', 'shortName': 'D. Camaj', 'position': 'F', 'jerseyNumber': '10', 'userCount': 216, 'gender': 'M', 'id': 798091, 'fieldTranslations': {'nameTranslation': {'ar': 'دريتون كاما', 'bn': 'ড্রিটন ক্যামাজ', 'hi': 'ड्रिटॉन कैमाज'}, 'shortNameTranslation': {'ar': 'د. كاما', 'bn': 'ডি. কামাজ', 'hi': 'डी. कैमाज'}}}",False,miss,assisted,"{'x': 6.1, 'y': 44.1, 'z': 0}",head,left,"{'x': 0, 'y': 60.2, 'z': 12.5}",,"{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6927920,79,,4697,"{'start': {'x': 44.1, 'y': 6.1}, 'end': {'x': 39.8, 'y': 0}, 'goal': {'x': 39.8, 'y': 87.5}}",12,703,1997,shot
"{'name': 'Dušan Pantelić', 'firstName': '', 'lastName': '', 'slug': 'dusan-pantelic', 'shortName': 'D. Pantelić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 11, 'gender': 'M', 'id': 98458, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان بانتليتش'}, 'shortNameTranslation': {'ar': 'د. بانتليتش'}}}",True,miss,throw-in-set-piece,"{'x': 19.5, 'y': 57.7, 'z': 0}",left-foot,high,"{'x': 0, 'y': 54.5, 'z': 88.9}",,"{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6927878,72,,4280,"{'start': {'x': 57.7, 'y': 19.5}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 11.1}}",19,1120,1580,shot
"{'name': 'Dominic Sadi', 'firstName': 'Dominic Sadi', 'slug': 'sadi-dominic', 'shortName': 'D. Sadi', 'position': 'F', 'jerseyNumber': '30', 'userCount': 184, 'gender': 'M', 'id': 1398550, 'fieldTranslations': {'nameTranslation': {'ar': 'سادي، دومينيك', 'bn': 'সাদি, ডমিনিক', 'hi': 'सादी, डोमिनिक'}, 'shortNameTranslation': {'ar': 'د. سادي', 'bn': 'ডি. সাদি', 'hi': 'डी. डोमिनिक'}}}",False,miss,regular,"{'x': 13.9, 'y': 56.2, 'z': 0}",right-foot,left,"{'x': 0, 'y': 70.6, 'z': 13.9}","{'x': 6.7, 'y': 49.6, 'z': 0}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6928151,69,,4090,"{'start': {'x': 56.2, 'y': 13.9}, 'block': {'x': 49.6, 'y': 6.7}, 'end': {'x': 29.4, 'y': 0}, 'goal': {'x': 29.4, 'y': 86.1}}",22,1310,1390,shot
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",True,block,assisted,"{'x': 13.5, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 19}","{'x': 10.1, 'y': 46.6, 'z': 0}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6928053,61,,3641,"{'start': {'x': 46, 'y': 13.5}, 'block': {'x': 46.6, 'y': 10.1}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 81}}",30,1759,941,shot
