match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,savedShotsFromInsideTheBox,bigChanceMissed,bigChanceCreated
15280998,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,F,27,False,12.0,8.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,1.0,0.0,5.0,0.0,15.0,5.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,,,,,,83.0,32.0,6.9,12.0,0.09,0.55,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,5,15,5,10,66.66666666666666,,0.0,75.0,,1.0,2.0,1.0,1.0,,,,
15280998,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,False,15.0,13.0,0.0,0.0,0.0,6.0,7.0,7.0,8.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,75.0,24.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,86.66666666666667,,,,,,,3.0,,,,,
15280998,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,F,7,False,16.0,8.0,1.0,1.0,0.0,1.0,4.0,7.0,11.0,5.0,2.0,5.0,0.0,14.0,9.0,0.0,9.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,,,,,,90.0,38.0,7.0,13.0,0.0,0.13,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,5,18,9,9,50.0,100.0,40.0,77.77777777777779,,1.0,1.0,1.0,,,,,
15280998,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,True,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15.0,9.0,6.1,3.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,66.66666666666666,0.0,,100.0,,,,2.0,,,,,
15280998,away,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,True,7.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,15.0,10.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,71.42857142857143,,0.0,100.0,,,,,,,,,
15280998,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,True,3.0,3.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,4.0,6.0,4.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,100.0,,,,,,,,,,,,
15280998,away,241802,Mladost DG,2487213,Veljko Mijović,veljko-mijovic,M,35,True,3.0,3.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7.0,3.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,
15280998,away,327162,Mladost DG,1096990,Stefan Mijović,stefan-mijovic,F,66,True,2.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,7.0,5.0,6.8,0.0,0.13,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,50.0,,0.0,100.0,,,,,,1.0,,,
15280998,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
15280998,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
15280998,away,282802,Mladost DG,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
15280998,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
