match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,dispossessed,hitWoodwork,blockedScoringAttempt
14147366,home,6226,FK Dečić Tuzi,838300,Stefan Golubović,stefan-golubovic,F,27,False,13.0,8.0,0.0,0.0,0.0,3.0,5.0,5.0,8.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,46.0,24.0,6.7,7.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,3,9,61.53846153846154,,0.0,,,,1.0,2.0,,
14147366,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,8.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,0.0,0.0,3.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,44.0,15.0,6.9,4.0,0.15,0.01,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,2,4,75.0,,,,,1.0,1.0,,,
14147366,home,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,True,11.0,5.0,3.0,1.0,0.0,3.0,5.0,2.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,24.0,14.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,45.45454545454545,33.33333333333333,0.0,,,,,,,
14147366,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,True,16.0,12.0,1.0,0.0,0.0,6.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,18.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,0.0,,,,,,,,
14147366,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,F,11,True,4.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,24.0,5.0,6.7,3.0,0.0,0.17,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,100.0,,,1.0,,,,
14147366,home,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,M,77,True,8.0,5.0,2.0,0.0,0.0,,,5.0,8.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,11.0,7.5,4.0,0.17,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,62.5,0.0,0.0,,,,,,,
14147366,home,6226,FK Dečić Tuzi,49469,Pavle Velimirović,pavle-velimirovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,home,6226,FK Dečić Tuzi,1799572,Halil Kajoshaj,halil-kajoshaj,D,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,home,829702,FK Dečić Tuzi,1063190,Bogdan Milić,bogdan-milic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,home,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,24312,FK Jezero,1391888,Šaban Kolić,saban-kolic,G,1,False,26.0,20.0,7.0,3.0,0.0,18.0,22.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,90.0,30.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.92307692307693,42.857142857142854,,,0.0,,,,,
14147366,away,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,47.0,40.0,2.0,0.0,0.0,18.0,21.0,20.0,24.0,2.0,0.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,90.0,62.0,6.9,12.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,85.1063829787234,0.0,0.0,0.0,,1.0,,,,
14147366,away,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,False,52.0,44.0,7.0,4.0,0.0,34.0,39.0,9.0,12.0,0.0,0.0,4.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,17.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,,,,,,90.0,61.0,6.7,11.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,10,7,2,5,84.61538461538461,57.14285714285714,,,,,,,,
14147366,away,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,52.0,47.0,4.0,2.0,0.0,35.0,38.0,11.0,12.0,0.0,0.0,2.0,4.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,90.0,67.0,7.1,6.0,0.16,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,2,9,90.38461538461539,50.0,,,,,1.0,,,
14147366,away,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,54.0,34.0,8.0,3.0,0.0,12.0,18.0,21.0,35.0,7.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,63.0,6.4,23.0,0.17,0.01,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,62.96296296296296,37.5,14.285714285714285,100.0,,1.0,,,,1.0
14147366,away,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,28.0,24.0,1.0,0.0,0.0,3.0,4.0,21.0,24.0,2.0,1.0,1.0,0.0,5.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,77.0,45.0,7.1,4.0,0.09,0.02,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,7,4,85.71428571428571,0.0,50.0,75.0,,1.0,1.0,,,
14147366,away,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,67.0,56.0,8.0,4.0,0.0,23.0,24.0,32.0,42.0,4.0,2.0,2.0,0.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,90.0,93.0,7.7,11.0,0.07,0.38,"{'original': 7.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,83.5820895522388,50.0,50.0,100.0,,2.0,,,,2.0
