match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,penaltyConceded,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,hitWoodwork
14147347,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,False,13.0,11.0,3.0,1.0,0.0,10.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,90.0,16.0,6.6,3.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,84.61538461538461,33.33333333333333,,,,,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,20.0,20.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,24.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,100.0,,,,,3.0,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,42.0,29.0,12.0,4.0,0.0,22.0,26.0,7.0,14.0,1.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,90.0,56.0,6.2,17.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,1,11,69.04761904761905,33.33333333333333,0.0,,,1.0,1.0,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,False,32.0,26.0,4.0,2.0,0.0,20.0,23.0,6.0,8.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,79.0,34.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,81.25,50.0,,,,1.0,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,35.0,17.0,8.0,1.0,0.0,6.0,10.0,9.0,21.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,90.0,49.0,6.7,18.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,48.57142857142857,12.5,0.0,100.0,,1.0,,1.0,,,,
14147347,home,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,44.0,27.0,10.0,2.0,0.0,14.0,15.0,12.0,27.0,1.0,0.0,0.0,0.0,14.0,9.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,,,,,,,90.0,62.0,6.7,29.0,0.0,0.03,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,0,23,9,14,61.36363636363637,20.0,0.0,50.0,,,,1.0,1.0,,,
14147347,home,315641,FK Sutjeska Nikšić,1134549,Mamadou Camara,mamadou-camara,M,27,False,30.0,26.0,1.0,1.0,0.0,17.0,17.0,9.0,11.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,85.0,42.0,7.3,4.0,0.0,0.04,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,6,8,86.66666666666667,100.0,,100.0,,5.0,,,1.0,,,
14147347,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,False,13.0,5.0,1.0,1.0,0.0,3.0,6.0,2.0,7.0,2.0,0.0,1.0,0.0,12.0,4.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,75.0,29.0,6.3,9.0,0.07,0.0,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,4,11,38.46153846153847,100.0,0.0,40.0,,1.0,,1.0,,1.0,,
14147347,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,28.0,23.0,5.0,3.0,0.0,7.0,7.0,14.0,19.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,45.0,7.1,9.0,0.03,0.03,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,5,9,82.14285714285714,60.0,,75.0,,2.0,,1.0,2.0,2.0,,
14147347,home,3395,FK Sutjeska Nikšić,890634,Novica Eraković,novica-erakovic,M,33,False,10.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,0.0,0.0,1.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,79.0,21.0,6.4,11.0,0.03,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,0,7,40.0,,,,,1.0,,1.0,,,,
14147347,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,False,13.0,8.0,0.0,0.0,0.0,4.0,5.0,4.0,8.0,2.0,0.0,8.0,1.0,14.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,85.0,24.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,9,11,5,6,61.53846153846154,,0.0,100.0,,1.0,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,True,3.0,1.0,0.0,0.0,0.0,,,1.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,15.0,11.0,6.7,3.0,0.08,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,33.33333333333333,,,,,1.0,,,,1.0,,
14147347,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,True,9.0,5.0,3.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,10.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,55.55555555555556,0.0,,,,1.0,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,True,10.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,8.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,11.0,14.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,90.0,100.0,100.0,100.0,,,,,,1.0,,
14147347,home,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,True,12.0,11.0,1.0,1.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,18.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,91.66666666666666,100.0,,100.0,,,,,,1.0,,
14147347,home,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,3.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1103897,Radoš Dubljević,rados-dubljevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147347,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147347,away,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,30.0,25.0,10.0,6.0,0.0,21.0,22.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,90.0,36.0,7.3,7.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,60.0,,,,1.0,,,,,,
14147347,away,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,D,17,False,48.0,32.0,10.0,5.0,0.0,11.0,17.0,18.0,24.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,62.0,6.3,19.0,0.03,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,66.66666666666666,50.0,50.0,,,3.0,,,,,1.0,
14147347,away,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,64.0,57.0,7.0,3.0,0.0,40.0,43.0,15.0,18.0,1.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,76.0,7.1,10.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,89.0625,42.857142857142854,0.0,,,4.0,,,,,,
14147347,away,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,59.0,48.0,15.0,7.0,0.0,34.0,36.0,13.0,19.0,0.0,0.0,0.0,5.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,66.0,7.2,13.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,81.35593220338984,46.666666666666664,,,,2.0,,,,,,
