match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,outfielderBlock,unsuccessfulTouch,fouls,aerialWon,duelWon,wasFouled,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,interceptionWon,wonTackle,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,shotOffTarget,hitWoodwork,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper
14015624,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,23.0,14.0,,,0.0,7.0,7.0,7.0,16.0,4.0,2.0,,,,90.0,38.0,7.1,10.0,58.747711783484,9.0,18.746463585577,0.0,,"{'original': 7.1, 'alternative': 6.7}",2,-0.06,0.26,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,5,3,60.86956521739131,,,,,,,3.0,6.0,,,,2.0,6.0,11.0,4.0,1.0,,,,,1.0,,1.0,-0.54,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,
14015624,home,5148,FK Čukarički,1005616,Lazar Mijović,lazar-mijovic,F,18,True,6.0,3.0,1.0,,0.0,2.0,4.0,1.0,2.0,,3.0,,,,37.0,8.0,6.4,5.0,50.483172359262,4.0,-0.40311813073755,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.3,0.02,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,
14015624,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,True,12.0,11.0,3.0,3.0,0.0,7.0,7.0,4.0,5.0,1.0,1.0,,,,25.0,22.0,6.5,6.0,16.193108199389,2.0,-2.6742528728124,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.02,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,91.66666666666666,100.0,,,,1.0,,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,
14015624,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,8.0,3.0,6.3,2.0,5.8992352046685,1.0,-2.4165708862857,0.0,,"{'original': 6.3, 'alternative': 6.3}",0,-0.01,-0.09,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,,1.0,3.0,,1.0,3.6475202535421,1.0,2.895339894657,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,1457404,Emmanuel Dzigbah,emmanuel-dzigbah,M,42,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,F,19,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,362051,FK Čukarički,1165845,Ognjen Abramušić,ognjen-abramusic,M,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
