match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,dispossessed,keyPass,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,penaltyWon
14147309,home,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,False,23.0,20.0,8.0,5.0,0.0,15.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,90.0,24.0,8.8,2.0,0.0,0.0,"{'original': 8.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.95652173913044,62.5,,,0.0,,,,,,,
14147309,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,False,61.0,48.0,5.0,2.0,0.0,25.0,30.0,22.0,30.0,2.0,1.0,2.0,3.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,74.0,7.2,19.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,8,4,78.68852459016394,40.0,50.0,,,,,,,,,
14147309,home,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,43.0,37.0,4.0,3.0,0.0,23.0,24.0,14.0,18.0,0.0,0.0,2.0,3.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,13.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,,,,,,,90.0,56.0,7.0,8.0,0.3,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,5,5,86.04651162790698,75.0,,,,1.0,,,,,,
14147309,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,32.0,24.0,4.0,1.0,0.0,16.0,19.0,6.0,9.0,0.0,0.0,1.0,1.0,11.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,68.0,48.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,3,10,75.0,25.0,,100.0,,,,,,,,
14147309,home,241802,FK Budućnost Podgorica,858601,Marin Galić,marin-galic,M,23,False,36.0,24.0,1.0,1.0,0.0,11.0,17.0,13.0,17.0,9.0,2.0,1.0,1.0,5.0,9.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,54.0,7.3,14.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,8,4,66.66666666666666,100.0,22.22222222222222,100.0,,,,,,,,
14147309,home,241802,FK Budućnost Podgorica,843228,Leonel Strumia,leonel-strumia,M,92,False,30.0,27.0,0.0,0.0,0.0,15.0,16.0,12.0,13.0,0.0,0.0,2.0,0.0,10.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,68.0,41.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,90.0,,,50.0,,,,,,,,
14147309,home,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,False,34.0,29.0,5.0,3.0,0.0,13.0,14.0,15.0,19.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,79.0,47.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,85.29411764705883,60.0,,,,,1.0,,,,,
14147309,home,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,M,36,False,34.0,25.0,4.0,3.0,0.0,12.0,12.0,11.0,20.0,4.0,1.0,0.0,1.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,45.0,6.9,14.0,0.0,0.31,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,0,12,73.52941176470588,75.0,25.0,,,,,3.0,,,,
14147309,home,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,F,24,False,15.0,6.0,4.0,2.0,0.0,,1.0,5.0,13.0,3.0,0.0,1.0,0.0,8.0,6.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,62.0,33.0,6.9,10.0,0.04,0.0,"{'original': 6.9, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,40.0,50.0,0.0,100.0,,1.0,1.0,,3.0,,,
14147309,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,F,77,False,17.0,12.0,1.0,0.0,0.0,2.0,3.0,10.0,14.0,1.0,0.0,0.0,1.0,5.0,8.0,0.0,4.0,3.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,,,,,,,90.0,37.0,7.0,9.0,0.48,0.12,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,70.58823529411765,0.0,0.0,75.0,,,,3.0,,1.0,,
14147309,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,F,10,False,16.0,11.0,2.0,1.0,0.0,4.0,6.0,7.0,10.0,0.0,0.0,1.0,1.0,11.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62.0,30.0,6.8,6.0,0.12,0.0,"{'original': 6.8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,68.75,50.0,,50.0,,1.0,,,1.0,,,
14147309,home,5148,FK Budućnost Podgorica,1005616,Lazar Mijović,lazar-mijovic,F,88,True,14.0,7.0,0.0,0.0,0.0,1.0,3.0,6.0,11.0,4.0,0.0,0.0,0.0,7.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,28.0,27.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,50.0,,0.0,100.0,,,,,1.0,,,
14147309,home,241802,FK Budućnost Podgorica,57341,Petar Grbić,petar-grbic,F,18,True,11.0,8.0,1.0,0.0,0.0,1.0,1.0,7.0,10.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,28.0,18.0,7.2,5.0,0.26,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,72.72727272727273,0.0,100.0,100.0,,,1.0,1.0,1.0,,1.0,
14147309,home,5143,FK Budućnost Podgorica,1606673,Lazar Savović,lazar-savovic,M,22,True,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,22.0,11.0,6.8,2.0,0.09,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,100.0,,,100.0,,2.0,,,,,,
14147309,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,True,9.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,,,,22.0,14.0,7.1,0.0,0.0,0.09,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,5,0,100.0,100.0,,100.0,,,,1.0,,,,
14147309,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,True,6.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,11.0,10.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,50.0,,0.0,100.0,,,1.0,,,,,
14147309,home,5143,FK Budućnost Podgorica,808561,Ljubomir Đurović,ljubomir-djurovic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147309,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147309,home,241802,FK Budućnost Podgorica,57537,Vladan Adžić,vladan-adzic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147309,home,7727,FK Budućnost Podgorica,57729,Luka Mirković,luka-mirkovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
