player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",True,miss,throw-in-set-piece,"{'x': 28, 'y': 48, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 57.1, 'z': 50.6}",0.00701,6565876,90,3.0,5537,"{'start': {'x': 48, 'y': 28}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 49.4}}",1,763,137,shot,,,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,miss,regular,"{'x': 12, 'y': 63, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41, 'z': 55.7}",0.1289,6565875,88,,5262,"{'start': {'x': 63, 'y': 12}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 44.3}}",3,138,2562,shot,,,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,miss,free-kick,"{'x': 26, 'y': 48, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.2, 'z': 17.5}",0.0008252,6565880,87,,5182,"{'start': {'x': 48, 'y': 26}, 'end': {'x': 43.8, 'y': 0}, 'goal': {'x': 43.8, 'y': 82.5}}",4,218,2482,shot,,,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",False,miss,throw-in-set-piece,"{'x': 20, 'y': 32, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.1, 'z': 16.9}",0.002072,6565874,84,,4981,"{'start': {'x': 32, 'y': 20}, 'end': {'x': 43.9, 'y': 0}, 'goal': {'x': 43.9, 'y': 83.1}}",7,419,2281,shot,,,
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",True,save,regular,"{'x': 26, 'y': 52, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 8.2}",0.07656,6565873,83,,4930,"{'start': {'x': 52, 'y': 26}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 91.8}}",8,470,2230,shot,0.05436,,
"{'name': 'Vanja Vučićević', 'slug': 'vanja-vucicevic', 'shortName': 'V. Vučićević', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 881019, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا فويتشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. فويتشيفيتش'}}}",True,miss,regular,"{'x': 26, 'y': 50, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.1, 'z': 9.8}",0.1342,6565872,77,,4602,"{'start': {'x': 50, 'y': 26}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 90.2}}",14,798,1902,shot,,,
"{'name': 'Nemanja Bojanić', 'slug': 'nemanja-bojanic', 'shortName': 'N. Bojanić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 3, 'gender': 'M', 'id': 1396429, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بوجانيتش'}, 'shortNameTranslation': {'ar': 'ن. بوجانيتش'}}}",True,goal,regular,"{'x': 6, 'y': 45, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 0.1}",0.4224,6565871,75,,4441,"{'start': {'x': 45, 'y': 6}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 99.9}}",16,959,1741,shot,0.5649,regular,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,block,corner,"{'x': 24, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01164,6565870,67,,3965,"{'start': {'x': 50, 'y': 24}, 'block': {'x': 50, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",24,1435,1265,shot,,,"{'x': 24, 'y': 50, 'z': 0}"
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,miss,regular,"{'x': 26, 'y': 48, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.5, 'z': 38.8}",0.02658,6565869,63,,3780,"{'start': {'x': 48, 'y': 26}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 61.2}}",28,1620,1080,shot,,,
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",True,save,free-kick,"{'x': 28, 'y': 74, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 2}",0.02863,6565879,60,,3592,"{'start': {'x': 74, 'y': 28}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 98}}",31,1808,892,shot,0.01294,,
