match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,aerialWon,challengeLost,outfielderBlock,unsuccessfulTouch,fouls,bigChanceCreated,totalOffside,onTargetScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle
14015544,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,True,4.0,2.0,,,0.0,1.0,2.0,2.0,,,,,,,10.0,8.0,6.6,5.0,11.334162562801,1.0,11.235,11.235,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,50.0,,,,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,
14015544,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,,6.7044105632039,1.0,-0.735,-0.735,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
