player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Mateja Radonjić', 'firstName': '', 'lastName': '', 'slug': 'mateja-radonjic', 'shortName': 'M. Radonjić', 'position': 'M', 'jerseyNumber': '30', 'userCount': 49, 'gender': 'M', 'id': 1153961, 'fieldTranslations': {'nameTranslation': {'ar': 'هاليسديمير د / أوكتاي ر ك'}, 'shortNameTranslation': {'ar': 'ه. ك'}}}",True,miss,corner,"{'x': 30.3, 'y': 52.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 70.5, 'z': 19}","{'x': 20.7, 'y': 48.6, 'z': 0}",6036863,90,7.0,5762,"{'start': {'x': 52.6, 'y': 30.3}, 'block': {'x': 48.6, 'y': 20.7}, 'end': {'x': 29.5, 'y': 0}, 'goal': {'x': 29.5, 'y': 81}}",1,538,362,shot
"{'name': 'Jovan Nišić', 'slug': 'jovan-nisic', 'shortName': 'J. Nišić', 'position': 'M', 'jerseyNumber': '45', 'userCount': 54, 'gender': 'M', 'id': 844332, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان نيشيتش', 'bn': 'জোভান নিসিচ', 'hi': 'जोवन निसिच'}, 'shortNameTranslation': {'ar': 'جز نيشيتش', 'bn': 'জে. নিশিচ', 'hi': 'जे. निसिच'}}}",True,block,regular,"{'x': 15.6, 'y': 56.6, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.5, 'z': 19}","{'x': 13.6, 'y': 55.4, 'z': 0}",6036852,90,6.0,5722,"{'start': {'x': 56.6, 'y': 15.6}, 'block': {'x': 55.4, 'y': 13.6}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 81}}",1,578,322,shot
"{'name': 'Radivoj Bosić', 'firstName': '', 'lastName': '', 'slug': 'radivoj-bosic', 'shortName': 'R. Bosić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 67, 'gender': 'M', 'id': 965889, 'fieldTranslations': {'nameTranslation': {'ar': 'راديفوي بوسيتش', 'bn': 'রেডিভোজ বসিক', 'hi': 'रेडिवो बोसिक'}, 'shortNameTranslation': {'ar': 'ر. بوسيتش', 'bn': 'আর. বোসিচ', 'hi': 'आर. बोसिक'}}}",True,block,assisted,"{'x': 15, 'y': 52.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}","{'x': 11.6, 'y': 52, 'z': 0}",6036851,90,6.0,5720,"{'start': {'x': 52.1, 'y': 15}, 'block': {'x': 52, 'y': 11.6}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",1,580,320,shot
"{'name': 'Young-woo Seol', 'slug': 'young-woo-seol', 'shortName': 'Y. W. Seol', 'position': 'D', 'jerseyNumber': '66', 'userCount': 2096, 'gender': 'M', 'id': 1019333, 'fieldTranslations': {'nameTranslation': {'ar': 'يونغ-وو سيول', 'bn': 'ইয়ং-উ সিওল', 'hi': 'यंग-वू सेओल'}, 'shortNameTranslation': {'ar': 'ي. سيول', 'bn': 'ওয়াই. ডব্লিউ. সিওল', 'hi': 'YW सेओल'}}}",False,block,assisted,"{'x': 18.4, 'y': 56.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'x': 13.1, 'y': 54.5, 'z': 0}",6036862,90,5.0,5664,"{'start': {'x': 56.6, 'y': 18.4}, 'block': {'x': 54.5, 'y': 13.1}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",1,636,264,shot
"{'name': 'Stefan Leković', 'firstName': 'Stefan Lekovic', 'slug': 'stefan-lekovic', 'shortName': 'S. Leković', 'position': 'D', 'jerseyNumber': '4', 'userCount': 892, 'gender': 'M', 'id': 1146225, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ليكوفيتش', 'bn': 'স্টেফান লেকোভিচ', 'hi': 'स्टीफ़न लेकोविच'}, 'shortNameTranslation': {'ar': 'س. ليكوفيتش', 'bn': 'এস. লেকোভিচ', 'hi': 'एस. लेकोविच'}}}",False,save,assisted,"{'x': 10.7, 'y': 49.9, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50.8, 'z': 21.5}","{'x': 1, 'y': 49.8, 'z': 0}",6036829,90,3.0,5544,"{'start': {'x': 49.9, 'y': 10.7}, 'block': {'x': 49.8, 'y': 1}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 78.5}}",1,756,144,shot
"{'name': 'Mahmudu Bajo', 'slug': 'bajo', 'shortName': 'M. Bajo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 1204, 'gender': 'M', 'id': 1516318, 'fieldTranslations': {'nameTranslation': {'ar': 'محمود باجو'}, 'shortNameTranslation': {'ar': 'م. باجو'}}}",False,miss,assisted,"{'x': 10.5, 'y': 47.7, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.1, 'z': 54.2}",,6036817,90,1.0,5453,"{'start': {'x': 47.7, 'y': 10.5}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 45.8}}",1,847,53,shot
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",False,miss,assisted,"{'x': 22.9, 'y': 34.8, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60.2, 'z': 5.6}",,6036754,82,,4867,"{'start': {'x': 34.8, 'y': 22.9}, 'end': {'x': 39.8, 'y': 0}, 'goal': {'x': 39.8, 'y': 94.4}}",9,533,2167,shot
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,block,regular,"{'x': 4.8, 'y': 36, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54, 'z': 19}","{'x': 2.9, 'y': 39.9, 'z': 0}",6036743,80,,4768,"{'start': {'x': 36, 'y': 4.8}, 'block': {'x': 39.9, 'y': 2.9}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 81}}",11,632,2068,shot
"{'name': 'Rade Krunić', 'slug': 'rade-krunic', 'shortName': 'R. Krunić', 'position': 'M', 'jerseyNumber': '33', 'userCount': 2476, 'gender': 'M', 'id': 155449, 'fieldTranslations': {'nameTranslation': {'ar': 'رادي كرونيتش', 'bn': 'রেড ক্রুনিচ', 'hi': 'राडे क्रुनिक'}, 'shortNameTranslation': {'ar': 'ر. كرونيتش', 'bn': 'আর. ক্রুনিচ', 'hi': 'आर. क्रुनिक'}}}",False,save,assisted,"{'x': 23.4, 'y': 64.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 7}","{'x': 1.2, 'y': 52.3, 'z': 0}",6036742,80,,4764,"{'start': {'x': 64.8, 'y': 23.4}, 'block': {'x': 52.3, 'y': 1.2}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 93}}",11,636,2064,shot
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,save,fast-break,"{'x': 11.6, 'y': 33.8, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 12}","{'x': 1.2, 'y': 47.7, 'z': 0}",6036913,78,,4646,"{'start': {'x': 33.8, 'y': 11.6}, 'block': {'x': 47.7, 'y': 1.2}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 88}}",13,754,1946,shot
