match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,keyPass,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,dispossessed,challengeLost,totalCross,onTargetScoringAttempt,shotValueNormalized,blockedScoringAttempt,totalOffside,shotOffTarget,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,bigChanceCreated,bigChanceMissed
14015502,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,False,36.0,18.0,31.0,13.0,0.0,6.0,8.0,12.0,28.0,2.0,15.0,1.0,4.0,6.0,2.0,90.0,49.0,9.5,18.0,1.4395,1.0,"{'original': 9.5, 'alternative': 8.3}",0,0.12,0.08,0.39,0.96,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,41.935483870967744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015502,home,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,D,11,False,9.0,7.0,1.0,,0.0,3.0,4.0,4.0,5.0,2.0,,,,,,56.0,30.0,7.3,5.0,,,"{'original': 7.3, 'alternative': 7}",0,0.11,0.02,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,77.77777777777779,,,50.0,,1.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015502,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,13.0,9.0,5.0,2.0,0.0,8.0,11.0,1.0,2.0,10.0,1.0,,,,,90.0,29.0,6.8,5.0,,,"{'original': 6.8, 'alternative': 7}",0,0.0,0.03,0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,69.23076923076923,40.0,,,,,3.0,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,
14015502,home,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,False,25.0,16.0,8.0,3.0,0.0,12.0,15.0,4.0,10.0,8.0,6.0,,,,,90.0,37.0,6.7,9.0,,,"{'original': 6.7, 'alternative': 6.9}",0,-0.01,0.02,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,0,3,64.0,37.5,,,,2.0,6.0,2.0,,,,1.0,,,,,2.0,3.0,,1.0,,,,,,,,,,,
14015502,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,18.0,14.0,3.0,1.0,0.0,8.0,8.0,6.0,10.0,3.0,4.0,,,,,90.0,40.0,7.0,6.0,,1.0,"{'original': 7, 'alternative': 7.2}",0,0.09,0.05,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,77.77777777777779,33.33333333333333,,,,,2.0,2.0,,,,1.0,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,,
14015502,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,33.0,26.0,3.0,1.0,0.0,12.0,15.0,14.0,18.0,1.0,10.0,,,,,88.0,54.0,7.3,16.0,,2.0,"{'original': 7.3, 'alternative': 7.1}",1,0.11,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,7,8,78.78787878787878,33.33333333333333,,50.0,,,9.0,7.0,4.0,2.0,,2.0,1.0,1.0,4.0,4.0,4.0,1.0,,2.0,2.0,1.0,0.26,,,,,,,,
14015502,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,31.0,22.0,8.0,4.0,0.0,9.0,13.0,13.0,18.0,7.0,3.0,,,,,90.0,50.0,7.2,11.0,,,"{'original': 7.2, 'alternative': 7}",0,0.19,0.05,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,5,8,70.96774193548387,50.0,,,,3.0,10.0,8.0,,,,3.0,5.0,3.0,2.0,,4.0,2.0,,4.0,,,,,,,,,,,
14015502,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,8.0,5.0,,,0.0,4.0,5.0,1.0,3.0,,4.0,,,,,88.0,24.0,6.6,9.0,,,"{'original': 6.6, 'alternative': 6.9}",3,-0.09,0.2,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,4,1,62.5,,,100.0,,1.0,5.0,5.0,2.0,2.0,,,1.0,1.0,4.0,1.0,,4.0,1.0,,1.0,2.0,-0.04,1.0,1.0,,,,,,
14015502,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,17.0,14.0,1.0,,0.0,5.0,6.0,9.0,11.0,1.0,2.0,,,,,66.0,30.0,6.3,7.0,,,"{'original': 6.3, 'alternative': 6.2}",0,-0.02,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,82.35294117647058,,,33.33333333333333,,,7.0,4.0,3.0,1.0,,,2.0,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,
14015502,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,13.0,9.0,4.0,1.0,0.0,4.0,5.0,5.0,8.0,2.0,5.0,,,,,90.0,35.0,6.5,17.0,,,"{'original': 6.5, 'alternative': 6.4}",3,-0.02,0.38,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,3,9,69.23076923076923,25.0,,25.0,,1.0,10.0,4.0,4.0,1.0,,,1.0,,3.0,1.0,3.0,1.0,3.0,,3.0,1.0,-0.51,1.0,,1.0,,,,,
