match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,hitWoodwork,goals,outfielderBlock,shotValueNormalized,blockedScoringAttempt,bigChanceMissed,totalOffside
14015425,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,15.0,13.0,1.0,,0.0,9.0,10.0,4.0,5.0,1.0,4.0,,,,,45.0,23.0,6.3,5.0,,"{'original': 6.3, 'alternative': 6.3}",1,0.07,0.01,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,86.66666666666667,,,,,,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,-0.09,,,
14015425,away,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,M,8,False,38.0,34.0,3.0,1.0,0.0,13.0,13.0,21.0,25.0,1.0,6.0,,,,,90.0,57.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7.4}",0,-0.02,0.1,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,9,3,89.47368421052632,33.33333333333333,,75.0,,2.0,,3.0,10.0,1.0,,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,1.0,4.0,3.0,,,,,1.0,,,,
14015425,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,F,97,False,10.0,9.0,,,0.0,3.0,3.0,6.0,7.0,,3.0,,,,,45.0,14.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.03,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,90.0,,,,,,,1.0,1.0,,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,
14015425,away,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,F,7,False,13.0,8.0,,,0.0,2.0,3.0,6.0,10.0,,3.0,,,,,90.0,40.0,7.4,13.0,,"{'original': 7.4, 'alternative': 7.7}",6,-0.19,0.55,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,11,4,61.53846153846154,,33.33333333333333,85.71428571428571,,3.0,1.0,5.0,11.0,,2.0,,,1.0,1.0,3.0,4.0,1.0,,1.0,,7.0,6.0,1.0,2.0,,,,-0.55,3.0,1.0,
14015425,away,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,13.0,8.0,,,0.0,4.0,7.0,4.0,6.0,2.0,2.0,,,,,63.0,24.0,6.4,10.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.17,0.26,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,61.53846153846154,,,,,,,5.0,4.0,1.0,1.0,,,,,4.0,1.0,3.0,,2.0,3.0,,,,1.0,,,,-0.07,,,2.0
14015425,away,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,True,17.0,16.0,,,0.0,5.0,6.0,11.0,11.0,,1.0,,,,,45.0,27.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.9}",2,0.0,0.2,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,94.11764705882352,,,,,,,2.0,4.0,,,1.0,,1.0,1.0,,3.0,,1.0,1.0,,1.0,,1.0,1.0,,,,-0.17,,,
14015425,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,8.0,5.0,1.0,1.0,0.0,1.0,2.0,4.0,6.0,,2.0,,,,,45.0,19.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.9}",2,-0.24,0.26,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,62.5,100.0,,100.0,,3.0,,3.0,3.0,2.0,,,1.0,,,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,-0.22,1.0,,
14015425,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,18.0,16.0,1.0,1.0,0.0,5.0,5.0,11.0,13.0,,4.0,,,,,45.0,25.0,6.2,4.0,,"{'original': 6.2, 'alternative': 7}",2,-0.18,0.21,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.88888888888889,100.0,,100.0,,,,4.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,-0.3,,,
14015425,away,2108,FK Radnički Niš,1472951,David Ewemade,ewemade-david,D,17,True,7.0,7.0,,,0.0,,,7.0,7.0,,,,,,,27.0,12.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.16,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,2.0,,2.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,
14015425,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,9.0,5.0,6.6,,,"{'original': 6.6, 'alternative': 6.5}",0,0.01,0.0,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
14015425,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,away,409200,FK Radnički Niš,307458,Petar Petrović,petar-petrovic,M,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,away,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,away,241802,FK Radnički Niš,121590,Marko Petković,marko-petkovic,D,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
