match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,shotValueNormalized,unsuccessfulTouch,keyPass,fouls,wonContest,shotOffTarget,challengeLost,blockedScoringAttempt,bigChanceMissed,totalOffside,bigChanceCreated
14015431,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,28.0,10.0,21.0,4.0,0.0,8.0,9.0,2.0,19.0,1.0,9.0,2.0,4.0,8.0,2.0,2.0,90.0,42.0,7.6,18.0,0.8859,"{'original': 7.6, 'alternative': 7.6}",0,0.04,0.01,-0.16,0.64,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,35.714285714285715,19.047619047619047,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015431,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,23.0,16.0,3.0,3.0,0.0,4.0,4.0,12.0,19.0,5.0,5.0,,,,,,90.0,55.0,7.9,11.0,,"{'original': 7.9, 'alternative': 7.9}",1,0.25,0.26,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,69.56521739130434,100.0,50.0,,,2.0,1.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.51,,,,,,,,,,
14015431,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,29.0,25.0,6.0,4.0,1.0,13.0,15.0,12.0,14.0,11.0,3.0,,,,,,90.0,47.0,6.9,6.0,,"{'original': 6.9, 'alternative': 7.1}",0,0.37,0.08,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,86.20689655172413,66.66666666666666,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,2.0,1.0,,,,,,,,
14015431,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,33.0,23.0,9.0,1.0,0.0,15.0,16.0,8.0,17.0,4.0,2.0,,,,,,90.0,45.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.16,0.0,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,69.6969696969697,11.11111111111111,,,,,,,1.0,2.0,2.0,,1.0,,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,
14015431,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,36.0,30.0,3.0,2.0,0.0,18.0,21.0,12.0,15.0,4.0,5.0,,,,,,90.0,57.0,6.2,10.0,,"{'original': 6.2, 'alternative': 6.7}",0,0.01,0.09,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,83.33333333333334,66.66666666666666,,100.0,,1.0,,,2.0,4.0,4.0,,1.0,,,,1.0,,,1.0,,2.0,1.0,4.0,1.0,,,,,,
14015431,home,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,M,3,False,31.0,24.0,5.0,2.0,0.0,8.0,10.0,16.0,21.0,3.0,6.0,,,,,,90.0,46.0,6.7,11.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.24,0.14,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,77.41935483870968,40.0,,,,,,2.0,2.0,3.0,6.0,1.0,,,,,,4.0,2.0,,-0.32,3.0,1.0,,,1.0,,,,,
14015431,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,M,2,False,22.0,16.0,6.0,1.0,0.0,9.0,11.0,7.0,11.0,1.0,1.0,,,,,,69.0,29.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.16,0.24,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,72.72727272727273,16.666666666666664,,,,,,1.0,,3.0,2.0,,,,,,,1.0,1.0,1.0,-0.13,,1.0,2.0,,1.0,,,,,
14015431,home,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,M,8,False,24.0,20.0,,,0.0,4.0,6.0,16.0,18.0,,7.0,,,,,,78.0,38.0,6.8,11.0,,"{'original': 6.8, 'alternative': 6.7}",1,0.34,0.09,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,1,6,83.33333333333334,,25.0,,,4.0,1.0,2.0,4.0,8.0,5.0,,2.0,1.0,,,,1.0,1.0,,0.09,2.0,2.0,1.0,,,3.0,,,,
14015431,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,28.0,26.0,,,0.0,13.0,13.0,13.0,15.0,,6.0,,,,,,89.0,45.0,6.1,10.0,,"{'original': 6.1, 'alternative': 6.7}",2,-0.19,0.27,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,92.85714285714286,,25.0,,,4.0,1.0,,1.0,5.0,3.0,2.0,,,,,,,,2.0,-0.14,3.0,1.0,2.0,,2.0,1.0,,,,
14015431,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,16.0,10.0,1.0,1.0,0.0,3.0,4.0,7.0,12.0,,3.0,,,,,,69.0,33.0,6.1,13.0,,"{'original': 6.1, 'alternative': 6.8}",4,-0.04,0.11,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,62.5,100.0,25.0,,,4.0,1.0,2.0,,6.0,1.0,1.0,,,,,,1.0,1.0,,-0.55,3.0,,1.0,,4.0,2.0,,,,
