match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,challengeLost,wonContest,keyPass,outfielderBlock,wonTackle,aerialLost,wasFouled,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,accurateCross,bigChanceMissed
14015437,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,False,15.0,12.0,,,0.0,4.0,4.0,8.0,11.0,,,,,,,,,70.0,25.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.8}",0,-0.13,0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,80.0,,,,,,2.0,4.0,,,1.0,1.0,,4.0,1.0,,,,,,1.0,1.0,3.0,,,,,,1.0,,,
14015437,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,True,13.0,11.0,,,1.0,3.0,3.0,8.0,10.0,,3.0,,,,,,,45.0,19.0,7.4,6.0,,"{'original': 7.4, 'alternative': 6.9}",0,0.79,0.17,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,84.61538461538461,,,,,,1.0,1.0,,,,,,4.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,
14015437,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,9.0,8.0,,,0.0,2.0,3.0,6.0,6.0,3.0,,,,,,,,20.0,18.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.0,,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,88.88888888888889,,,,,,,2.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,True,4.0,2.0,,,0.0,,,2.0,4.0,,,,,,,,,20.0,7.0,7.2,3.0,,"{'original': 7.2, 'alternative': 7.2}",2,-0.28,0.1,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,,,,,,2.0,,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,0.42,1.0,,,
14015437,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
