match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,lastManTackle,unsuccessfulTouch,aerialLost,challengeLost,totalContest,outfielderBlock,blockedScoringAttempt,wasFouled,shotValueNormalized,wonContest,shotOffTarget,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,onTargetScoringAttempt,goals
14015619,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,18.0,10.0,,,0.0,4.0,5.0,6.0,13.0,5.0,,,,90.0,33.0,6.7,13.0,144.45947599707,7.0,13.352966694396,1.0,,"{'original': 6.7, 'alternative': 6.6}",2,-0.22,0.52,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,55.55555555555556,,,,,,,4.0,3.0,6.0,1.0,,,1.0,1.0,,1.0,26.467668055507,34.514110867875,,,3.0,1.0,,,,,2.0,-0.61,,2.0,1.0,,,,
14015619,home,43981,FK Radnički 1923,1133670,Mohamed Cissé,mohamed-cisse,F,10,True,6.0,4.0,,,0.0,1.0,1.0,3.0,5.0,1.0,,,,29.0,16.0,6.9,7.0,64.396294874694,7.0,40.815336643443,2.0,,"{'original': 6.9, 'alternative': 6.6}",1,0.38,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,66.66666666666666,,,60.0,,1.0,,,3.0,4.0,,,,,,,1.0,17.975240871478,35.606646872017,,,2.0,,,5.0,,1.0,1.0,0.01,3.0,,,,,,
14015619,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,2.0,,,,14.0,9.0,6.5,3.0,28.130742757404,4.0,16.200636160281,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,,100.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,
14015619,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,True,11.0,9.0,1.0,1.0,0.0,5.0,5.0,4.0,6.0,2.0,,,,14.0,20.0,6.8,5.0,5.8880157098975,1.0,4.5356731507708,0.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.31,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,81.81818181818183,100.0,,50.0,,,,,3.0,4.0,1.0,,,,2.0,,,,,,,1.0,1.0,,2.0,,,1.0,-0.37,1.0,1.0,,,,,
14015619,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,4.0,2.0,,,0.0,1.0,3.0,1.0,1.0,,,,,11.0,6.0,6.5,2.0,12.016189121348,1.0,11.987000633208,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.01,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,50.0,,,,,,,,2.0,2.0,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
14015619,home,515378,FK Radnički 1923,1853867,Thomas Ude,thomas-ude,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,home,43981,FK Radnički 1923,1146073,Bogdan Marinkovic,bogdan-marinkovic,G,92,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,home,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,home,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,home,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,20.0,11.0,11.0,2.0,0.0,9.0,11.0,2.0,9.0,11.0,2.0,,,90.0,30.0,6.6,9.0,23.676644730033,5.0,19.991679953629,0.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.03,-0.03,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,55.00000000000001,18.181818181818183,,,100.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
