minute,value
1.0,7
2.0,3
3.0,-7
4.0,-2
5.0,-2
6.0,-4
7.0,-9
8.0,-8
9.0,-3
10.0,-5
11.0,-11
12.0,-15
13.0,-12
14.0,-5
15.0,-5
16.0,43
17.0,22
18.0,5
19.0,5
20.0,5
21.0,3
22.0,20
23.0,10
24.0,-33
25.0,-14
26.0,73
27.0,35
28.0,18
29.0,1
30.0,8
31.0,-4
32.0,-10
33.0,-9
34.0,-8
35.0,-3
36.0,2
37.0,3
38.0,-4
39.0,-20
40.0,-15
41.0,-17
42.0,-13
43.0,-6
44.0,8
45.0,26
45.5,25
46.0,-8
47.0,-27
48.0,-24
49.0,-12
50.0,-14
51.0,-20
52.0,-8
53.0,-2
54.0,-9
55.0,-7
56.0,-5
57.0,-40
58.0,-36
59.0,-23
60.0,-21
61.0,-9
62.0,-4
63.0,-48
64.0,-30
65.0,-18
66.0,-13
67.0,-19
68.0,-9
69.0,-22
70.0,-14
71.0,-10
72.0,-2
73.0,-8
74.0,-50
75.0,-100
76.0,-76
77.0,-50
78.0,-96
79.0,-55
80.0,-58
81.0,-56
82.0,-34
83.0,-2
84.0,-3
85.0,-7
86.0,-8
87.0,9
88.0,1
89.0,50
90.0,90
90.5,0
