match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,interceptionWon,totalTackle,wonTackle,fouls,bigChanceCreated,clearanceOffLine,outfielderBlock,keyPass,dispossessed,unsuccessfulTouch,challengeLost,totalContest,wonContest,blockedScoringAttempt,shotValueNormalized,shotOffTarget,onTargetScoringAttempt,hitWoodwork,goals,bigChanceMissed,totalOffside,punches,errorLeadToAShot,accurateCross
14015551,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,43.0,32.0,15.0,6.0,0.0,28.0,33.0,4.0,10.0,1.0,3.0,2.0,14.0,2.0,3.0,2.0,2.0,1.0,1.0,90.0,59.0,8.3,11.0,64.386315285833,10.0,20.58,7.77,0.3736,"{'original': 8.3, 'alternative': 7.6}",0,0.1,-0.22,0.58,0.35,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,74.4186046511628,40.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,38.0,30.0,3.0,1.0,0.0,19.0,21.0,11.0,17.0,2.0,4.0,2.0,1.0,1.0,,,,,,90.0,51.0,7.1,12.0,45.740327251582,5.0,27.93,11.655,,"{'original': 7.1, 'alternative': 7}",0,0.17,0.09,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,78.94736842105263,33.33333333333333,,,,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,97.0,79.0,16.0,4.0,0.0,65.0,69.0,14.0,28.0,5.0,11.0,7.0,1.0,3.0,,,,,,90.0,119.0,9.2,18.0,228.45836424095,36.0,105.84,11.97,,"{'original': 9.2, 'alternative': 8.2}",0,0.39,0.1,1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,6,2,81.44329896907216,25.0,,,,,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,105.0,99.0,10.0,4.0,0.0,83.0,83.0,16.0,22.0,2.0,6.0,7.0,5.0,4.0,,,,,,90.0,123.0,7.8,8.0,340.73035242344,45.0,124.425,12.075,,"{'original': 7.8, 'alternative': 7.4}",0,0.12,0.11,0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,94.28571428571428,40.0,,,,,1.0,3.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,71.0,62.0,7.0,5.0,0.0,37.0,39.0,25.0,32.0,6.0,11.0,4.0,,1.0,,,,,,90.0,89.0,7.7,12.0,139.3947238554,17.0,-11.55,13.65,,"{'original': 7.7, 'alternative': 7.5}",0,0.17,0.01,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,5,3,87.32394366197182,71.42857142857143,,100.0,,1.0,1.0,4.0,1.0,3.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,33.0,29.0,1.0,,0.0,20.0,23.0,9.0,10.0,,1.0,,3.0,,,,,,,90.0,42.0,6.5,7.0,185.51518595785,16.0,88.83,26.67,,"{'original': 6.5, 'alternative': 6.6}",1,0.0,0.08,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,87.87878787878788,,,100.0,,1.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,-0.05,,,,,,,,,
14015551,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,50.0,44.0,3.0,1.0,0.0,26.0,27.0,18.0,23.0,2.0,8.0,1.0,8.0,5.0,,,,,,90.0,63.0,7.5,7.0,154.32276489424,18.0,63.21,19.005,,"{'original': 7.5, 'alternative': 7.3}",0,-0.11,0.26,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,6,2,88.0,33.33333333333333,,,,,1.0,3.0,,1.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
14015551,home,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,29.0,25.0,4.0,2.0,0.0,17.0,17.0,8.0,12.0,,3.0,1.0,5.0,,,,,,,68.0,41.0,8.1,8.0,127.68395591042,15.0,6.825,14.07,,"{'original': 8.1, 'alternative': 7.6}",2,-0.06,0.44,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,86.20689655172413,50.0,,100.0,,1.0,,3.0,,,,,,,,1.0,3.0,,,3.0,3.0,,0.54,1.0,1.0,1.0,1.0,,,,,
14015551,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,F,13,False,12.0,8.0,1.0,,0.0,3.0,4.0,5.0,8.0,,3.0,1.0,4.0,1.0,,,,,,68.0,37.0,6.2,17.0,148.32058317798,17.0,61.95,18.9,,"{'original': 6.2, 'alternative': 6.3}",3,0.18,0.45,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,3,8,66.66666666666666,,,33.33333333333333,,,,8.0,,,,1.0,,,,,3.0,6.0,,6.0,2.0,1.0,-0.6,2.0,,,,1.0,,,,
14015551,home,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,14.0,10.0,,,0.0,2.0,2.0,8.0,12.0,3.0,9.0,1.0,2.0,3.0,,,,,,90.0,31.0,6.6,10.0,85.504288236353,7.0,10.605,23.1,,"{'original': 6.6, 'alternative': 6.9}",0,0.07,0.11,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,6,7,71.42857142857143,,,66.66666666666666,,,4.0,11.0,1.0,1.0,,3.0,1.0,,,3.0,3.0,2.0,,3.0,2.0,,,,,,,,2.0,,,
