player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",True,post,regular,"{'x': 15, 'y': 37, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.8, 'z': 5.2}",0.1769,6551991,80,4777,"{'start': {'x': 37, 'y': 15}, 'end': {'x': 55.2, 'y': 0}, 'goal': {'x': 55.2, 'y': 94.8}}",11,623,2077,shot,,,
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,save,free-kick,"{'x': 20, 'y': 68, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.2, 'z': 29.3}",0.1058,6551993,68,4075,"{'start': {'x': 68, 'y': 20}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 70.7}}",23,1325,1375,shot,0.06845,,
"{'name': 'Marin Galić', 'firstName': '', 'lastName': '', 'slug': 'marin-galic', 'shortName': 'M. Galić', 'position': 'D', 'userCount': 84, 'gender': 'M', 'id': 858601, 'fieldTranslations': {'nameTranslation': {'ar': 'مارين غاليش'}, 'shortNameTranslation': {'ar': 'م. غاليش'}}}",False,goal,own-goal,"{'x': 11, 'y': 57, 'z': 0}",other,low-centre,"{'x': 0, 'y': 50, 'z': 20}",,6551992,66,3906,"{'start': {'x': 57, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",25,1494,1206,shot,,own,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 14, 'y': 50, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.2, 'z': 43.6}",0.05021,6551990,59,3516,"{'start': {'x': 50, 'y': 14}, 'end': {'x': 43.8, 'y': 0}, 'goal': {'x': 43.8, 'y': 56.4}}",32,1884,816,shot,,,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 14, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'hi': 'इवान बोजोविक', 'bn': 'ইভান বোজোভিচ'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'hi': 'आई. बोजोविक', 'bn': 'আই. বোজোভিচ'}}}",False,miss,regular,"{'x': 27, 'y': 25, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 44.8, 'z': 44.6}",0.008648,6551989,56,3323,"{'start': {'x': 25, 'y': 27}, 'end': {'x': 55.2, 'y': 0}, 'goal': {'x': 55.2, 'y': 55.4}}",35,2077,623,shot,,,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 27, 'y': 50, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 57.2, 'z': 41.5}",0.001205,6551988,55,3278,"{'start': {'x': 50, 'y': 27}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 58.5}}",36,2122,578,shot,,,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,block,regular,"{'x': 18, 'y': 34, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03666,6551987,47,2776,"{'start': {'x': 34, 'y': 18}, 'block': {'x': 34, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",44,2624,76,shot,,,"{'x': 18, 'y': 34, 'z': 0}"
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,miss,regular,"{'x': 10, 'y': 57, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.9, 'z': 52}",0.2225,6551986,41,2450,"{'start': {'x': 57, 'y': 10}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 48}}",5,250,2450,shot,,,
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 33, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'hi': 'अलेक्सा सेत्कोविक', 'bn': 'আলেক্সা চেটকোভিচ'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'hi': 'ए. सेत्कोविक', 'bn': 'এ. চেটকোভিচ'}}}",True,miss,regular,"{'x': 5, 'y': 43, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 46.3, 'z': 46.2}",0.4487,6551985,34,1987,"{'start': {'x': 43, 'y': 5}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 53.8}}",12,713,1987,shot,,,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,block,regular,"{'x': 11, 'y': 61, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1773,6551984,27,1566,"{'start': {'x': 61, 'y': 11}, 'block': {'x': 61, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",19,1134,1566,shot,,,"{'x': 11, 'y': 61, 'z': 0}"
