player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",True,miss,regular,"{'x': 14, 'y': 65, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.6, 'z': 8.2}",0.06894,6543000,90,5.0,5684,"{'start': {'x': 65, 'y': 14}, 'end': {'x': 57.4, 'y': 0}, 'goal': {'x': 57.4, 'y': 91.8}}",1,616,284,shot,,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",True,block,corner,"{'x': 23, 'y': 49, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01342,6542999,82,,4862,"{'start': {'x': 49, 'y': 23}, 'block': {'x': 49, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,538,2162,shot,"{'x': 23, 'y': 49, 'z': 0}",,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",True,save,regular,"{'x': 10, 'y': 55, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.8, 'z': 7.1}",0.09361,6542998,79,,4705,"{'start': {'x': 55, 'y': 10}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 92.9}}",12,695,2005,shot,,0.1336,
"{'name': 'Vladan Kordić', 'firstName': '', 'lastName': '', 'slug': 'vladan-kordic', 'shortName': 'V. Kordić', 'position': 'F', 'jerseyNumber': '98', 'userCount': 8, 'gender': 'M', 'id': 959868, 'fieldTranslations': {'nameTranslation': {'ar': 'فلادان كوردتش'}, 'shortNameTranslation': {'ar': 'ف. كوردتش'}}}",True,miss,regular,"{'x': 11, 'y': 61, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41.3, 'z': 55.4}",0.0743,6542997,77,,4592,"{'start': {'x': 61, 'y': 11}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 44.6}}",14,808,1892,shot,,,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,save,regular,"{'x': 3, 'y': 44, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.4, 'z': 11.1}",0.3426,6542996,61,,3604,"{'start': {'x': 44, 'y': 3}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 88.9}}",30,1796,904,shot,,0.7026,
"{'name': 'Jonathan Dresaj', 'firstName': '', 'lastName': '', 'slug': 'jonathan-dresaj', 'shortName': 'J. Dresaj', 'position': 'D', 'jerseyNumber': '22', 'userCount': 12, 'gender': 'M', 'id': 958574, 'fieldTranslations': {'nameTranslation': {'ar': 'جوناثان دريسا', 'hi': 'जोनाथन ड्रेज़ाज', 'bn': 'জোনাথন ড্রেসেজ'}, 'shortNameTranslation': {'ar': 'ج. دريسا', 'hi': 'जे. ड्रेजाज', 'bn': 'জে. ড্রেসাজ'}}}",False,block,regular,"{'x': 10, 'y': 71, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03506,6542995,57,,3387,"{'start': {'x': 71, 'y': 10}, 'block': {'x': 71, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",34,2013,687,shot,"{'x': 10, 'y': 71, 'z': 0}",,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,goal,regular,"{'x': 9, 'y': 68, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 9.4}",0.0602,6542994,53,,3142,"{'start': {'x': 68, 'y': 9}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 90.6}}",38,2258,442,shot,,0.1685,regular
"{'name': 'Mark Djokaj', 'slug': 'mark-djokaj', 'shortName': 'M. Djokaj', 'position': 'F', 'userCount': 13, 'gender': 'M', 'id': 2073399, 'fieldTranslations': {'nameTranslation': {'ar': 'مارك ديوكاج'}, 'shortNameTranslation': {'ar': 'م. ديوكاج'}}}",False,block,regular,"{'x': 10, 'y': 60, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.07694,6542993,52,,3114,"{'start': {'x': 60, 'y': 10}, 'block': {'x': 60, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",39,2286,414,shot,"{'x': 10, 'y': 60, 'z': 0}",,
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",True,miss,set-piece,"{'x': 25, 'y': 67, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56, 'z': 45.2}",0.003535,6542992,50,,2953,"{'start': {'x': 67, 'y': 25}, 'end': {'x': 44, 'y': 0}, 'goal': {'x': 44, 'y': 54.8}}",41,2447,253,shot,,,
"{'name': 'Marko Franeta', 'slug': 'marko-franeta', 'shortName': 'M. Franeta', 'position': 'D', 'jerseyNumber': '13', 'userCount': 18, 'gender': 'M', 'id': 1484679, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فرانيتا'}, 'shortNameTranslation': {'ar': 'م. فرانيتا'}}}",True,goal,corner,"{'x': 8, 'y': 58, 'z': 0}",head,high-left,"{'x': 0, 'y': 52.1, 'z': 27.4}",0.0742,6542991,37,,2174,"{'start': {'x': 58, 'y': 8}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 72.6}}",9,526,2174,shot,,0.5746,regular
