match_id,team_id,team_name,team_side,player_id,player_name,player_position,metric_key,category,metric,value,secondary,denominator,percentage,display
14015444,43981,FK Radnički 1923,home,1152919,Luka Lijeskić,G,goodHighClaim,Goalkeeping,Good high claims,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1152919,Luka Lijeskić,G,crossNotClaimed,Goalkeeping,Crosses not claimed,,,,,
14015444,43981,FK Radnički 1923,home,1152919,Luka Lijeskić,G,minutesPlayed,Goalkeeping,Minutes played,90.0,,,,90
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,goals,General,Goals,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,goalAssist,General,Assists,0.0,,,,0
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalTackle,General,Tackles (won),2.0,2.0,,,2 (2)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accuratePass,General,Accurate passes,13.0,,16.0,81.25,13/16 (81%)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,total_duels,General,Duels (won),7.0,3.0,,,7 (3)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,ground_duels_total,General,Ground duels (won),5.0,2.0,,,5 (2)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,aerial_duels_total,General,Aerial duels (won),2.0,1.0,,,2 (1)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,minutesPlayed,General,Minutes played,64.0,,,,64
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,goals,Attacking,Goals,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalShots,Attacking,Shots (on target),2.0,1.0,,,2 (1)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,shotOffTarget,Attacking,Shots off target,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,blockedScoringAttempt,Attacking,Shots blocked,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,expectedGoals,Attacking,Expected goals,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,goalAssist,Attacking,Assists,0.0,,,,0
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,expectedAssists,Attacking,Expected assists,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,keyPass,Attacking,Key passes,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalContest,Attacking,Dribbles (successful),1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,touches,Attacking,Touches,37.0,,,,37
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,wasFouled,Attacking,Was fouled,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalTackle,Defending,Tackles (won),2.0,2.0,,,2 (2)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,interceptionWon,Defending,Interceptions,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,ballRecovery,Defending,Ball recoveries,7.0,,,,7
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalClearance,Defending,Clearances,2.0,,,,2
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,outfielderBlock,Defending,Blocks,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,dispossessed,Defending,Dispossessed,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,errorLeadToAShot,Defending,Errors leading to shot,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,ownGoals,Defending,Own goals,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accuratePass,Passing,Accurate passes,13.0,,16.0,81.25,13/16 (81%)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accurateLongBalls,Passing,Accurate long balls,,,1.0,,/1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accurateCross,Passing,Accurate crosses,,,1.0,,/1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accurateOwnHalfPasses,Passing,Passes own half,7.0,,8.0,87.5,7/8 (88%)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,accurateOppositionHalfPasses,Passing,Passes opposition half,6.0,,8.0,75.0,6/8 (75%)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,keyPass,Passing,Key passes,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,expectedAssists,Passing,Expected assists,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,total_duels,Duels,Duels (won),7.0,3.0,,,7 (3)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,ground_duels_total,Duels,Ground duels (won),5.0,2.0,,,5 (2)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,aerial_duels_total,Duels,Aerial duels (won),2.0,1.0,,,2 (1)
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,wasFouled,Duels,Was fouled,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,fouls,Duels,Fouls committed,1.0,,,,1
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,dispossessed,Duels,Dispossessed,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,possessionLostCtrl,Duels,Possession lost,12.0,,,,12
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,saves,Goalkeeping,Saves,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,savedShotsFromInsideTheBox,Goalkeeping,Saves (inside box),,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,totalKeeperSweeper,Goalkeeping,Keeper sweepers (accurate),,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,goodHighClaim,Goalkeeping,Good high claims,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,crossNotClaimed,Goalkeeping,Crosses not claimed,,,,,
14015444,43981,FK Radnički 1923,home,1159434,Bojan Adžić,D,minutesPlayed,Goalkeeping,Minutes played,64.0,,,,64
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,goals,General,Goals,,,,,
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,goalAssist,General,Assists,0.0,,,,0
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,totalTackle,General,Tackles (won),,,,,
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,accuratePass,General,Accurate passes,26.0,,35.0,74.28571428571429,26/35 (74%)
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,total_duels,General,Duels (won),9.0,5.0,,,9 (5)
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,ground_duels_total,General,Ground duels (won),6.0,3.0,,,6 (3)
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,aerial_duels_total,General,Aerial duels (won),3.0,2.0,,,3 (2)
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,minutesPlayed,General,Minutes played,90.0,,,,90
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,goals,Attacking,Goals,,,,,
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,totalShots,Attacking,Shots (on target),2.0,,,,2
14015444,43981,FK Radnički 1923,home,79383,Slobodan Simović,D,shotOffTarget,Attacking,Shots off target,1.0,,,,1
