minute,value
1.0,5
2.0,3
3.0,12
4.0,22
5.0,20
6.0,21
7.0,18
8.0,31
9.0,28
10.0,19
11.0,29
12.0,18
13.0,20
14.0,-18
15.0,5
16.0,-11
17.0,-23
18.0,34
19.0,13
20.0,-10
21.0,5
22.0,-12
23.0,18
24.0,27
25.0,44
26.0,62
27.0,45
28.0,23
29.0,10
30.0,12
31.0,10
32.0,11
33.0,42
34.0,26
35.0,17
36.0,35
37.0,22
38.0,12
39.0,97
40.0,33
41.0,34
42.0,20
43.0,15
44.0,-3
45.0,-4
45.5,-12
46.0,-2
47.0,-2
48.0,-4
49.0,-4
50.0,-4
51.0,-6
52.0,19
53.0,41
54.0,62
55.0,24
56.0,22
57.0,41
58.0,38
59.0,24
60.0,19
61.0,-20
62.0,-10
63.0,-5
64.0,4
65.0,58
66.0,1
67.0,4
68.0,4
69.0,2
70.0,-1
71.0,12
72.0,23
73.0,11
74.0,-47
75.0,-24
76.0,-36
77.0,-23
78.0,-49
79.0,39
80.0,-28
81.0,-11
82.0,-23
83.0,-35
84.0,-34
85.0,-19
86.0,-14
87.0,-8
88.0,25
89.0,27
90.0,24
90.5,-8
