match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,unsuccessfulTouch,fouls,keyPass,outfielderBlock,wasFouled,shotOffTarget,totalTackle,shotValueNormalized,dispossessed,onTargetScoringAttempt,wonTackle,bigChanceCreated,goals,bigChanceMissed,blockedScoringAttempt,saves,keeperSaveValue,goalkeeperValueNormalized,totalOffside
14015535,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,32.0,18.0,18.0,4.0,0.0,15.0,16.0,3.0,16.0,5.0,1.0,1.0,1.0,90.0,36.0,6.3,14.0,93.961351133732,15.0,32.97,9.03,"{'original': 6.3, 'alternative': 6.3}",0,0.03,0.03,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,56.25,22.22222222222222,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,False,40.0,31.0,4.0,1.0,0.0,15.0,17.0,16.0,23.0,3.0,,,,90.0,64.0,6.4,16.0,245.01183667134,22.0,46.83,27.615,"{'original': 6.4, 'alternative': 6.6}",0,0.3,0.18,-0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,77.5,25.0,33.33333333333333,100.0,,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,56.0,46.0,8.0,3.0,0.0,27.0,28.0,19.0,28.0,6.0,,,,90.0,65.0,7.3,11.0,310.49197241825,36.0,93.765,19.425,"{'original': 7.3, 'alternative': 6.8}",0,0.51,0.16,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,82.14285714285714,37.5,,,,,,3.0,,3.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,72.0,62.0,5.0,2.0,0.0,39.0,42.0,23.0,30.0,5.0,,,,90.0,89.0,6.7,12.0,323.03118506348,41.0,59.85,12.81,"{'original': 6.7, 'alternative': 7}",1,0.24,0.13,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,86.11111111111111,40.0,,,,,,1.0,2.0,3.0,3.0,,,,5.0,3.0,2.0,2.0,1.0,,,1.0,1.0,-0.24,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,43.0,32.0,3.0,,0.0,16.0,19.0,16.0,24.0,5.0,,,,90.0,82.0,6.0,27.0,327.47601972317,33.0,66.045,43.365,"{'original': 6, 'alternative': 6.4}",1,0.09,0.3,-0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,1,5,74.4186046511628,,,,,11.0,,3.0,1.0,8.0,2.0,,,,2.0,,2.0,5.0,,,1.0,1.0,,-0.35,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,40.0,34.0,2.0,,0.0,17.0,18.0,17.0,22.0,7.0,,,,78.0,58.0,6.8,10.0,288.61473421568,26.0,123.06,28.56,"{'original': 6.8, 'alternative': 6.9}",2,0.07,0.38,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,85.0,,100.0,,,1.0,1.0,,1.0,5.0,5.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,-0.14,1.0,1.0,1.0,,,,,,,,
14015535,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,44.0,37.0,4.0,1.0,1.0,23.0,25.0,14.0,19.0,4.0,,,,90.0,55.0,7.2,10.0,233.04170295404,22.0,33.915,30.66,"{'original': 7.2, 'alternative': 7.4}",0,0.62,0.16,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,84.0909090909091,25.0,100.0,,,1.0,1.0,1.0,2.0,2.0,6.0,,,,1.0,,1.0,,1.0,,3.0,,1.0,,1.0,,,1.0,,,,,,,
14015535,home,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,20.0,12.0,,,0.0,,1.0,12.0,19.0,3.0,,,,90.0,40.0,7.0,14.0,157.89387965009,15.0,105.0,21.945,"{'original': 7, 'alternative': 7.3}",1,0.13,0.47,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,5,7,60.0,,,100.0,,1.0,,3.0,3.0,10.0,8.0,,1.0,1.0,2.0,,3.0,5.0,1.0,,2.0,1.0,2.0,-0.3,2.0,,2.0,,,,,,,,
14015535,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,False,26.0,20.0,3.0,2.0,0.0,3.0,4.0,17.0,22.0,2.0,,,,90.0,35.0,7.8,10.0,133.45980931393,16.0,29.085,17.64,"{'original': 7.8, 'alternative': 7.2}",1,0.17,0.27,-0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,76.92307692307693,66.66666666666666,,,,1.0,,3.0,2.0,7.0,4.0,1.0,,,,,2.0,2.0,,,,,2.0,0.51,1.0,1.0,2.0,,1.0,,,,,,
14015535,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,10.0,6.0,1.0,,0.0,2.0,3.0,4.0,7.0,,,,,63.0,33.0,5.7,16.0,84.9542427702,10.0,23.52,13.86,"{'original': 5.7, 'alternative': 6.2}",2,-0.12,0.12,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,1,6,60.0,,,,,1.0,,1.0,,7.0,1.0,,2.0,,,1.0,5.0,1.0,,,,1.0,1.0,-0.54,3.0,1.0,1.0,,,,,,,,
