player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",True,save,regular,"{'x': 12, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 12.9}",0.07421,0.07874,6544102,90,4.0,5601,"{'start': {'x': 58, 'y': 12}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 87.1}}",1,699,201,shot,,
"{'name': 'Bojan Pavićević', 'slug': 'bojan-pavicevic', 'shortName': 'B. Pavićević', 'position': 'F', 'jerseyNumber': '9', 'userCount': 8, 'gender': 'M', 'id': 1112732, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ب. بافيتشيفيتش'}}}",False,miss,corner,"{'x': 10, 'y': 57, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.2, 'z': 9.8}",0.1249,,6544101,90,1.0,5451,"{'start': {'x': 57, 'y': 10}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 90.2}}",1,849,51,shot,,
"{'name': 'Ilija Martinović', 'slug': 'ilija-martinovic', 'shortName': 'I. Martinović', 'position': 'D', 'jerseyNumber': '25', 'userCount': 22, 'gender': 'M', 'id': 286837, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا مارتينوفيتش', 'hi': 'इलिजा मार्टिनोविक', 'bn': 'ইলিজা মার্টিনোভিচ'}, 'shortNameTranslation': {'ar': 'إ. مارتينوفيتش', 'hi': 'ई. मार्टिनोविक', 'bn': 'আই. মার্টিনোভিচ'}}}",False,save,set-piece,"{'x': 12, 'y': 45, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.1, 'z': 8.3}",0.0694,0.2229,6544100,86,,5142,"{'start': {'x': 45, 'y': 12}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 91.7}}",5,258,2442,shot,,
"{'name': 'Ilija Tučević', 'firstName': '', 'lastName': '', 'slug': 'ilija-tucevic', 'shortName': 'I. Tučević', 'position': 'D', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 812745, 'fieldTranslations': {'nameTranslation': {'ar': 'إليا توتشيفيتش', 'hi': 'इलिजा तुसेविक', 'bn': 'ইলিজা টুসেভিচ'}, 'shortNameTranslation': {'ar': 'إ. توتشيفيتش', 'hi': 'आई. तुसेविच', 'bn': 'আই. টুসেভিচ'}}}",True,save,free-kick,"{'x': 28, 'y': 81, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.7, 'z': 23.3}",0.02368,0.02788,6544105,83,,4940,"{'start': {'x': 81, 'y': 28}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 76.7}}",8,460,2240,shot,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,goal,regular,"{'x': 3, 'y': 46, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 13.7}",0.7615,0.8785,6544099,81,,4810,"{'start': {'x': 46, 'y': 3}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 86.3}}",10,590,2110,shot,regular,
"{'name': 'Mario Gjolaj', 'firstName': '', 'lastName': '', 'slug': 'mario-gjolaj', 'shortName': 'M. Gjolaj', 'position': 'M', 'jerseyNumber': '14', 'userCount': 11, 'gender': 'M', 'id': 1063202, 'fieldTranslations': {'nameTranslation': {'ar': 'ماريو جولاي'}, 'shortNameTranslation': {'ar': 'م. جولاي'}}}",True,block,regular,"{'x': 14, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1317,,6544098,81,,4807,"{'start': {'x': 46, 'y': 14}, 'block': {'x': 46, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",10,593,2107,shot,,"{'x': 14, 'y': 46, 'z': 0}"
"{'name': 'Nikola Jovićević', 'firstName': '', 'lastName': '', 'slug': 'nikola-jovicevic', 'shortName': 'N. Jovićević', 'position': 'D', 'jerseyNumber': '6', 'userCount': 2, 'gender': 'M', 'id': 1035787, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا يوفيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. يوفيتشيفيتش'}}}",True,goal,own-goal,"{'x': 4, 'y': 52, 'z': 0}",other,low-centre,"{'x': 0, 'y': 50, 'z': 20}",,,6544103,75,,4441,"{'start': {'x': 52, 'y': 4}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,959,1741,shot,own,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",False,save,regular,"{'x': 11, 'y': 52, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.9, 'z': 17}",0.1429,0.123,6544097,71,,4255,"{'start': {'x': 52, 'y': 11}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 83}}",20,1145,1555,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,save,regular,"{'x': 6, 'y': 38, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 45.4, 'z': 21.8}",0.05656,0.615,6544096,69,,4099,"{'start': {'x': 38, 'y': 6}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 78.2}}",22,1301,1399,shot,,
"{'name': 'Aldin Adžović', 'firstName': '', 'lastName': '', 'slug': 'aldin-adzovic', 'shortName': 'A. Adžović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 3, 'gender': 'M', 'id': 797928, 'fieldTranslations': {'nameTranslation': {'ar': 'ألديـن أديـزوفيتش', 'hi': 'एल्डिन अडज़ोविक', 'bn': 'আলডিন অ্যাডজোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أديـزوفيتش', 'hi': 'ए. अदज़ोविक', 'bn': 'এ. অ্যাডজোভিচ'}}}",True,miss,corner,"{'x': 23, 'y': 67, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 57.7, 'z': 53.3}",0.001114,,6544095,66,,3915,"{'start': {'x': 67, 'y': 23}, 'end': {'x': 42.3, 'y': 0}, 'goal': {'x': 42.3, 'y': 46.7}}",25,1485,1215,shot,,
"{'name': 'Marko Đurišić', 'slug': 'marko-durisic', 'shortName': 'M. Đurišić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 14, 'gender': 'M', 'id': 843005, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو دوريسيتش', 'hi': 'मार्को ड्यूरिशिक', 'bn': 'মার্কো ডুরিসিক'}, 'shortNameTranslation': {'ar': 'م. دوريسيتش', 'hi': 'एम. ड्यूरिशिक', 'bn': 'এম. ডুরিসিক'}}}",False,block,regular,"{'x': 23, 'y': 63, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03112,,6544094,64,,3837,"{'start': {'x': 63, 'y': 23}, 'block': {'x': 63, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1563,1137,shot,,"{'x': 23, 'y': 63, 'z': 0}"
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,goal,regular,"{'x': 5, 'y': 44, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 3.2}",0.5947,0.7845,6544093,59,,3485,"{'start': {'x': 44, 'y': 5}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 96.8}}",32,1915,785,shot,regular,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",True,save,regular,"{'x': 12, 'y': 43, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 10.1}",0.2531,0.1871,6544092,57,,3417,"{'start': {'x': 43, 'y': 12}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 89.9}}",34,1983,717,shot,,
"{'name': 'Nenad Krivokapić', 'firstName': 'Nenad', 'lastName': 'Krivokapić', 'slug': 'nenad-krivokapic', 'shortName': 'N. Krivokapić', 'position': 'F', 'jerseyNumber': '11', 'userCount': 33, 'gender': 'M', 'id': 1149284, 'fieldTranslations': {'nameTranslation': {'ar': 'نينا كريفاكبيتش'}, 'shortNameTranslation': {'ar': 'ن. كريفاكبيتش'}}}",True,save,regular,"{'x': 12, 'y': 69, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.7, 'z': 23.8}",0.03671,0.06193,6544091,36,,2144,"{'start': {'x': 69, 'y': 12}, 'end': {'x': 53.3, 'y': 0}, 'goal': {'x': 53.3, 'y': 76.2}}",10,556,2144,shot,,
