match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,accurateCross,wonTackle,dispossessed,wonContest,shotOffTarget,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015626,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,10.0,8.0,,,0.0,2.0,2.0,6.0,8.0,1.0,1.0,3.0,,,,90.0,27.0,7.0,6.0,111.82922061132,11.0,24.166019522406,1.0,,"{'original': 7, 'alternative': 7.6}",5,-0.05,0.28,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,6,5,80.0,,,,,,1.0,3.0,6.0,9.0,,2.0,,4.0,2.0,32.21509998781,33.708655802331,1.0,0.27,2.0,,2.0,,2.0,1.0,,2.0,1.0,1.0,,1.0,,
14015626,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,8.0,8.0,,,0.0,2.0,2.0,6.0,6.0,,1.0,1.0,,,,24.0,11.0,6.8,2.0,62.449516290591,5.0,53.452176921635,3.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.31,0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,100.0,,,1.0,,,1.0,,,,,,,19.562154271168,52.975940712403,2.0,,,,,1.0,,1.0,,,,,,,,
14015626,away,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,4.0,2.0,,,0.0,,1.0,2.0,3.0,1.0,1.0,,,,,13.0,8.0,6.7,2.0,6.4578708565595,1.0,5.3139623440798,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,0.05,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,50.0,,,,,,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,
14015626,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,43981,FK Radnički 1923,1146073,Bogdan Marinkovic,bogdan-marinkovic,G,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,515378,FK Radnički 1923,1853867,Thomas Ude,thomas-ude,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
