player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Vieljeux Prestige Mboungou', 'firstName': '', 'lastName': '', 'slug': 'vieljeux-prestige-mboungou', 'shortName': 'V. P. Mboungou', 'position': 'M', 'jerseyNumber': '29', 'userCount': 260, 'gender': 'M', 'id': 923865, 'fieldTranslations': {'nameTranslation': {'ar': 'بريستيج مبونغو', 'bn': 'ভিয়েলজেউক্স প্রেস্টিজ মবুঙ্গৌ', 'hi': 'विएलजेक्स प्रेस्टीज म्बोंगौ'}, 'shortNameTranslation': {'ar': 'ف. ب. مبونغو', 'bn': 'ভি. পি. মবুঙ্গৌ', 'hi': 'वी.पी. म्बोंगौ'}}}",True,miss,set-piece,"{'x': 5.5, 'y': 65.8, 'z': 0}",right-foot,right,"{'x': 0, 'y': 37.6, 'z': 1.4}","{'x': 3.5, 'y': 63.5, 'z': 0}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6938681,90,2.0,5506,"{'start': {'x': 65.8, 'y': 5.5}, 'block': {'x': 63.5, 'y': 3.5}, 'end': {'x': 62.4, 'y': 0}, 'goal': {'x': 62.4, 'y': 98.6}}",1,794,106,shot
"{'name': 'Bogdan Petrović', 'firstName': 'Bogdan Petrovic', 'slug': 'bogdan-petrovic', 'shortName': 'B. Petrović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 62, 'gender': 'M', 'id': 1586205, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان بتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بتروفيتش'}}}",True,miss,set-piece,"{'x': 12.6, 'y': 47, 'z': 0}",head,high,"{'x': 0, 'y': 48.7, 'z': 90.3}",,"{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6938651,90,,5353,"{'start': {'x': 47, 'y': 12.6}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 9.7}}",1,47,2653,shot
"{'name': 'Slobodan Urošević', 'slug': 'slobodan-urosevic', 'shortName': 'S. Urošević', 'position': 'D', 'jerseyNumber': '72', 'userCount': 119, 'gender': 'M', 'id': 312170, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان أوروسيفيتش', 'bn': 'স্লোবোদান উরোসেভিচ', 'hi': 'स्लोबोदान उरोसेविक'}, 'shortNameTranslation': {'ar': 'س. أوروسيفيتش', 'bn': 'এস. উরোসেভিচ', 'hi': 'एस. उरोसेविक'}}}",True,save,corner,"{'x': 3.3, 'y': 38.9, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.5, 'z': 12}","{'x': 0.3, 'y': 45.7, 'z': 0}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6938631,86,,5145,"{'start': {'x': 38.9, 'y': 3.3}, 'block': {'x': 45.7, 'y': 0.3}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 88}}",5,255,2445,shot
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,save,regular,"{'x': 8.9, 'y': 46.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 1.9}","{'x': 1.5, 'y': 49.1, 'z': 0}","{'name': 'Nikola Simić', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 22, 'gender': 'M', 'id': 805915, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش', 'bn': 'নিকোলা সিমিচ', 'hi': 'निकोला सिमिक'}, 'shortNameTranslation': {'ar': 'ن. سيميتش', 'bn': 'এন. সিমিচ', 'hi': 'एन. सिमिक'}}}",6938591,84,,5018,"{'start': {'x': 46.2, 'y': 8.9}, 'block': {'x': 49.1, 'y': 1.5}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 98.1}}",7,382,2318,shot
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",False,block,assisted,"{'x': 13.2, 'y': 55, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 19}","{'x': 6.6, 'y': 51.8, 'z': 0}","{'name': 'Nikola Simić', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 22, 'gender': 'M', 'id': 805915, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش', 'bn': 'নিকোলা সিমিচ', 'hi': 'निकोला सिमिक'}, 'shortNameTranslation': {'ar': 'ن. سيميتش', 'bn': 'এন. সিমিচ', 'hi': 'एन. सिमिक'}}}",6938590,84,,5016,"{'start': {'x': 55, 'y': 13.2}, 'block': {'x': 51.8, 'y': 6.6}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 81}}",7,384,2316,shot
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,miss,corner,"{'x': 6.4, 'y': 53.2, 'z': 0}",head,left,"{'x': 0, 'y': 63.5, 'z': 9.7}",,"{'name': 'Nikola Simić', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 22, 'gender': 'M', 'id': 805915, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش', 'bn': 'নিকোলা সিমিচ', 'hi': 'निकोला सिमिक'}, 'shortNameTranslation': {'ar': 'ن. سيميتش', 'bn': 'এন. সিমিচ', 'hi': 'एन. सिमिक'}}}",6938577,83,,4945,"{'start': {'x': 53.2, 'y': 6.4}, 'end': {'x': 36.5, 'y': 0}, 'goal': {'x': 36.5, 'y': 90.3}}",8,455,2245,shot
"{'name': 'Szabolcs Mezei', 'firstName': '', 'lastName': '', 'slug': 'szabolcs-mezei', 'shortName': 'S. Mezei', 'position': 'M', 'jerseyNumber': '26', 'userCount': 116, 'gender': 'M', 'id': 947036, 'fieldTranslations': {'nameTranslation': {'ar': 'سابولتش ميزاي'}, 'shortNameTranslation': {'ar': 'س. ميزاي'}}}",True,miss,assisted,"{'x': 17.2, 'y': 66.9, 'z': 0}",left-foot,left,"{'x': 0, 'y': 62.5, 'z': 13.9}","{'x': 6.8, 'y': 47.5, 'z': 0}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6938576,82,,4885,"{'start': {'x': 66.9, 'y': 17.2}, 'block': {'x': 47.5, 'y': 6.8}, 'end': {'x': 37.5, 'y': 0}, 'goal': {'x': 37.5, 'y': 86.1}}",9,515,2185,shot
"{'name': 'Mohamed Cissé', 'firstName': 'Mohamed Cisse', 'lastName': '', 'slug': 'mohamed-cisse', 'shortName': 'M. Cissé', 'position': 'F', 'jerseyNumber': '10', 'userCount': 52, 'gender': 'M', 'id': 1133670, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد سيسي', 'bn': 'মোহাম্মদ সিসে', 'hi': 'मोहम्मद सिस्से'}, 'shortNameTranslation': {'ar': 'م. سيسي', 'bn': 'এম. সিসি', 'hi': 'एम. सिस्से'}}}",False,miss,assisted,"{'x': 24, 'y': 35.6, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 40.3, 'z': 79.2}",,"{'name': 'Nikola Simić', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 22, 'gender': 'M', 'id': 805915, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش', 'bn': 'নিকোলা সিমিচ', 'hi': 'निकोला सिमिक'}, 'shortNameTranslation': {'ar': 'ن. سيميتش', 'bn': 'এন. সিমিচ', 'hi': 'एन. सिमिक'}}}",6938560,80,,4789,"{'start': {'x': 35.6, 'y': 24}, 'end': {'x': 59.7, 'y': 0}, 'goal': {'x': 59.7, 'y': 20.8}}",11,611,2089,shot
"{'name': 'Mohamed Cissé', 'firstName': 'Mohamed Cisse', 'lastName': '', 'slug': 'mohamed-cisse', 'shortName': 'M. Cissé', 'position': 'F', 'jerseyNumber': '10', 'userCount': 52, 'gender': 'M', 'id': 1133670, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد سيسي', 'bn': 'মোহাম্মদ সিসে', 'hi': 'मोहम्मद सिस्से'}, 'shortNameTranslation': {'ar': 'م. سيسي', 'bn': 'এম. সিসি', 'hi': 'एम. सिस्से'}}}",False,save,assisted,"{'x': 22.2, 'y': 27, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.9, 'z': 0.6}","{'x': 1.8, 'y': 48.7, 'z': 0}","{'name': 'Nikola Simić', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 22, 'gender': 'M', 'id': 805915, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش', 'bn': 'নিকোলা সিমিচ', 'hi': 'निकोला सिमिक'}, 'shortNameTranslation': {'ar': 'ن. سيميتش', 'bn': 'এন. সিমিচ', 'hi': 'एन. सिमिक'}}}",6938539,80,,4753,"{'start': {'x': 27, 'y': 22.2}, 'block': {'x': 48.7, 'y': 1.8}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 99.4}}",11,647,2053,shot
"{'name': 'Andrej Petrović', 'slug': 'andrej-petrovic', 'shortName': 'A. Petrović', 'position': 'M', 'jerseyNumber': '80', 'userCount': 83, 'gender': 'M', 'id': 1406133, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بتروفيتش'}, 'shortNameTranslation': {'ar': 'أ. بتروفيتش'}}}",True,miss,assisted,"{'x': 19.3, 'y': 42.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 43.5, 'z': 68.1}",,"{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6938530,78,,4637,"{'start': {'x': 42.1, 'y': 19.3}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 31.9}}",13,763,1937,shot
