match_id,round,match_date,match_datetime,status,homeTeam_id,homeTeam_name,homeTeam_formation,awayTeam_id,awayTeam_name,awayTeam_formation,homeScore_period1,homeScore_period2,homeScore_total,awayScore_period1,awayScore_period2,awayScore_total
14147310,1,2025-08-04,2025-08-04 18:00:00,Ended,37956,FK Arsenal Tivat,3-4-2-1,6219,FK Jedinstvo Bijelo Polje,4-2-3-1,1.0,1.0,2.0,0.0,0.0,0.0
14147408,1,2025-08-04,2025-08-04 18:00:00,Ended,6216,OFK Petrovac,4-4-2,7581,FK Bokelj Kotor,4-2-3-1,1.0,1.0,2.0,0.0,0.0,0.0
14147300,1,2025-08-04,2025-08-04 18:00:00,Ended,6226,FK Dečić Tuzi,4-1-4-1,327162,Mladost DG,4-2-3-1,2.0,1.0,3.0,0.0,2.0,2.0
14147319,1,2025-08-04,2025-08-04 18:00:00,Ended,24312,FK Jezero,4-4-2,5143,FK Budućnost Podgorica,4-2-3-1,1.0,0.0,1.0,0.0,2.0,2.0
14147314,1,2025-08-04,2025-08-04 19:00:00,Ended,6224,FK Sutjeska Nikšić,4-2-3-1,36019,FK Mornar Bar,4-2-3-1,0.0,3.0,3.0,0.0,0.0,0.0
14147315,2,2025-08-10,2025-08-10 18:00:00,Ended,36019,FK Mornar Bar,4-2-3-1,37956,FK Arsenal Tivat,5-4-1,0.0,2.0,2.0,2.0,0.0,2.0
14147309,2,2025-08-10,2025-08-10 18:00:00,Ended,5143,FK Budućnost Podgorica,3-4-3,6224,FK Sutjeska Nikšić,4-2-3-1,0.0,0.0,0.0,0.0,1.0,1.0
14147297,2,2025-08-10,2025-08-10 18:00:00,Ended,7581,FK Bokelj Kotor,4-1-4-1,327162,Mladost DG,4-4-2,0.0,2.0,2.0,1.0,1.0,2.0
14147301,2,2025-08-10,2025-08-10 18:00:00,Ended,6216,OFK Petrovac,4-2-3-1,24312,FK Jezero,4-2-3-1,0.0,1.0,1.0,0.0,1.0,1.0
14147313,2,2025-08-10,2025-08-10 19:00:00,Ended,6219,FK Jedinstvo Bijelo Polje,4-3-2-1,6226,FK Dečić Tuzi,4-2-3-1,0.0,0.0,0.0,0.0,1.0,1.0
14147447,3,2025-08-17,2025-08-17 18:00:00,Ended,327162,Mladost DG,4-2-3-1,6219,FK Jedinstvo Bijelo Polje,4-3-3,2.0,3.0,5.0,0.0,2.0,2.0
14147367,3,2025-08-17,2025-08-17 18:00:00,Ended,24312,FK Jezero,4-2-3-1,7581,FK Bokelj Kotor,4-2-3-1,0.0,2.0,2.0,0.0,2.0,2.0
14147298,3,2025-08-17,2025-08-17 18:00:00,Ended,6226,FK Dečić Tuzi,4-2-3-1,36019,FK Mornar Bar,4-2-3-1,1.0,1.0,2.0,1.0,0.0,1.0
14147307,3,2025-08-17,2025-08-17 18:00:00,Ended,37956,FK Arsenal Tivat,3-4-3,5143,FK Budućnost Podgorica,5-3-2,0.0,1.0,1.0,0.0,0.0,0.0
14147323,3,2025-08-17,2025-08-17 19:00:00,Ended,6224,FK Sutjeska Nikšić,4-2-3-1,6216,OFK Petrovac,4-4-2,1.0,0.0,1.0,1.0,0.0,1.0
14147365,4,2025-08-24,2025-08-24 17:00:00,Ended,7581,FK Bokelj Kotor,4-2-3-1,6219,FK Jedinstvo Bijelo Polje,4-2-3-1,0.0,1.0,1.0,0.0,1.0,1.0
14147303,4,2025-08-24,2025-08-24 17:30:00,Ended,6216,OFK Petrovac,4-1-4-1,37956,FK Arsenal Tivat,5-4-1,0.0,0.0,0.0,0.0,0.0,0.0
14147311,4,2025-08-24,2025-08-24 18:00:00,Ended,24312,FK Jezero,4-2-3-1,6224,FK Sutjeska Nikšić,4-4-2,1.0,1.0,2.0,0.0,1.0,1.0
14147299,4,2025-08-24,2025-08-24 18:00:00,Ended,5143,FK Budućnost Podgorica,4-1-4-1,6226,FK Dečić Tuzi,4-2-3-1,1.0,1.0,2.0,0.0,0.0,0.0
14147302,4,2025-08-24,2025-08-24 18:30:00,Ended,36019,FK Mornar Bar,4-2-3-1,327162,Mladost DG,4-2-3-1,1.0,1.0,2.0,1.0,0.0,1.0
14147304,5,2025-08-30,2025-08-30 15:00:00,Ended,37956,FK Arsenal Tivat,3-4-3,24312,FK Jezero,4-4-2,2.0,0.0,2.0,1.0,1.0,2.0
14147312,5,2025-08-30,2025-08-30 17:00:00,Ended,6219,FK Jedinstvo Bijelo Polje,4-2-3-1,36019,FK Mornar Bar,4-2-3-1,2.0,0.0,2.0,1.0,0.0,1.0
14147374,5,2025-08-30,2025-08-30 18:00:00,Ended,6224,FK Sutjeska Nikšić,4-1-3-2,7581,FK Bokelj Kotor,4-2-3-1,3.0,2.0,5.0,0.0,2.0,2.0
14147317,5,2025-08-31,2025-08-31 17:00:00,Ended,6226,FK Dečić Tuzi,4-4-1-1,6216,OFK Petrovac,4-2-3-1,1.0,1.0,2.0,1.0,1.0,2.0
14147308,5,2025-08-31,2025-08-31 18:00:00,Ended,327162,Mladost DG,4-2-3-1,5143,FK Budućnost Podgorica,4-4-2,0.0,3.0,3.0,1.0,0.0,1.0
14147320,6,2025-09-13,2025-09-13 14:00:00,Ended,24312,FK Jezero,4-4-2,6226,FK Dečić Tuzi,4-2-3-1,2.0,2.0,4.0,0.0,0.0,0.0
14147316,6,2025-09-13,2025-09-13 15:30:00,Ended,7581,FK Bokelj Kotor,4-2-3-1,36019,FK Mornar Bar,4-2-3-1,0.0,1.0,1.0,1.0,1.0,2.0
14147322,6,2025-09-13,2025-09-13 16:30:00,Ended,6216,OFK Petrovac,4-2-3-1,327162,Mladost DG,4-2-3-1,2.0,2.0,4.0,0.0,0.0,0.0
14147321,6,2025-09-13,2025-09-13 17:00:00,Ended,5143,FK Budućnost Podgorica,4-2-3-1,6219,FK Jedinstvo Bijelo Polje,4-1-4-1,1.0,0.0,1.0,0.0,1.0,1.0
14147318,6,2025-09-13,2025-09-13 18:30:00,Ended,6224,FK Sutjeska Nikšić,4-3-1-2,37956,FK Arsenal Tivat,5-4-1,0.0,2.0,2.0,0.0,0.0,0.0
14147328,7,2025-09-17,2025-09-17 14:00:00,Ended,6219,FK Jedinstvo Bijelo Polje,4-1-4-1,6216,OFK Petrovac,4-2-3-1,1.0,0.0,1.0,0.0,0.0,0.0
14147326,7,2025-09-17,2025-09-17 15:30:00,Ended,37956,FK Arsenal Tivat,5-4-1,7581,FK Bokelj Kotor,4-1-4-1,2.0,0.0,2.0,0.0,1.0,1.0
14147325,7,2025-09-17,2025-09-17 16:30:00,Ended,327162,Mladost DG,4-2-3-1,24312,FK Jezero,4-3-1-2,0.0,0.0,0.0,0.0,1.0,1.0
